A	B
0	0
1	1
2	2|3
3|4	4
5	5
6	6
7	
8	
9|10	7
11|12	8
13	
14|15	9
16|17	10
18|19	11
20|21	12
22|23	13
24|25	14
26|27	15
28	16|17
29	18|19
30	20
31	21
32|33	22
34	23|24
35	25|26
36|37	27
38|39	28
40|41	29
42|43	30
44	31
45|46	32
47	33
48|49	34
50|51	35
52	
53|54	36
55|56	37
57|58	38
59	39
60	40
61	41
62|63	42
64	43
65	44
66|67	45
68|69	46
70|71	47
72|73	48
74|75	49
76	50
77	51
78	52
79	53
80|81	54
82|83	55
84|85	56
86|87	57
88	58
89|90	59
91	60
92	61|62
93	63
94	64|65
95	66
96	67
97|98	68
99|100	69
101	70
102	71|72
103	73
104|105	74
106	75
107	76
108	77|78
	79
109	80
110|111	81
112	82
113|114	83
115|116	84
117|118	85
119	86|87
120	88
121	89|90
122	91|92
123	
124|125	93
126|127	94
128	95|96
129	97|98
130	99
131	100
132|133	101
134	102
135	103|104
136	105
137	106|107
138	108|109
139	110
	111
140	112|113
141|142	114
143	115|116
144|145	117
146	118
147	119
148|149	120
150|151	121
152|153	122
154	123
155	124
156|157	125
158	126
159	127
160	128
161|162	129
163|164	130
165	
166|167	131
168	
169	
170	
171	132
172|173	133
174|175	134
176	135
177	
178	136
179|180	137
181|182	138
	139
183|184	140
185|186	141
187|188	142
189	
190	143
191	144
192	145
193|194	146
195	147
196|197	148
198|199	149
200	
201	
202	
203	150
204|205	151
206	
207|208	152
209	
210|211	153
212	154
213|214	155
215	
216|217	156
218|219	157
