A	B
0|1	0
2	1
3|4	2
5	3|4
	5
6|7	6
8	7
9	8
10|11	9
12|13	10
14	
15	
16|17	11
18|19	12
20|21	13
22	14
23	15|16
24	17
25	18|19
26	20
27	21
28	22
29	23
30	24|25
31	
32|33	26
34	27
35	28|29
36	30
37	31
38	32
39|40	33
41|42	34
43	35
44	
45	
46|47	36
48	
49	
50	37
51|52	38
53	39
54|55	40
56|57	41
58	
59	42|43
60	44
61|62	45
63	46|47
64|65	48
66|67	49
68|69	50
70	51
71	52
72|73	53
74|75	54
76	55
77	56
78	57|58
79	
80|81	59
82	60|61
83|84	62
85|86	63
87	64
88	65|66
89	67
90	68
91|92	69
93	70
94	71
95	72
96	73|74
97	75
98	76
99	77
100	78|79
101	80
102	81
103	82
104	83
105|106	84
107	85|86
108	87|88
109	89
110	90
111	91
112	92
113	93
114|115	94
116|117	95
118|119	96
120	
121	97
122	98|99
123	100
124|125	101
126	102
127	103
128	104
129	105|106
130	107
131	108
132	109|110
133	111|112
134	113
135	114|115
136	116
137	117
138|139	118
140	119|120
141	121|122
142	123
143	124
144	125
145|146	126
147|148	127
149	128
150	129|130
151	131|132
152	
153|154	133
155	134
156	135
157|158	136
159	
160	
161|162	137
163|164	138
165	
166	139
167|168	140
169	141
170	
171|172	142
173	
174	143
175|176	144
177|178	145
179|180	146
181	
182	147
183	148
184	149
185	150
186	151
187	152
188|189	153
190	154
191	155
192	156|157
193|194	158
195	159
196	160
197	161
198	162
199|200	163
201	164
202	165
203	166
204|205	167
206	168
207|208	169
209	170
210|211	171
212	172
213|214	173
215	174
216	175
217	176
218	177
219	178
