A	B
0	
1|2	0
3	
4|5	1
6	2
7|8	3
9	4
10|11	5
12|13	6
14	7
15	8
16	
17	9|10
18|19	11
20	12
21	13
22|23	14
24	15
25	16|17
26	18
27	19
28	20
29	21
30	22
31|32	23
33	24
34|35	25
36	26|27
37	28|29
38|39	30
40|41	31
42	32|33
43	34
44	35
45	36
46|47	37
48|49	38
50	39
51	40|41
52	42
53	43
54	44
55	45|46
56|57	47
58	48
59	49
60|61	50
62|63	51
64	52|53
65	54|55
66|67	56
68	57|58
69	59
70	60
71	61
72	62|63
73	64|65
74	66
75|76	67
77|78	68
79	69
80|81	70
82	71|72
83|84	73
85|86	74
87	75
88	76|77
89|90	78
91	79|80
92	81
93	82
94	83
95	84
96	85|86
97	87
98|99	88
100	89
101	90
102	91|92
103	93
104	94
105|106	95
107	96|97
108	98|99
109	100
110|111	101
112	102|103
113	104
114|115	105
116	106
117	107
118	108
119	109
120	110|111
121	112|113
122	114|115
123|124	116
125	117
126	118
127	119
128	120|121
129	122|123
130	124
131	125
132	126
133	127
134|135	128
136|137	129
138	130
139	131
140|141	132
142|143	133
144	134
145	135|136
146|147	137
148|149	138
150	139
151	140
152|153	141
154	142
155|156	143
157|158	144
159|160	145
161	146
162	147
163|164	148
165|166	149
167	150
168|169	151
170	152
171|172	153
173	154|155
174|175	156
176	157
177|178	158
179|180	159
181|182	160
183|184	161
185	162
186|187	163
188|189	164
190|191	165
192|193	166
194	167
195	168
196|197	169
198	170
199|200	171
201	172
202	173|174
203|204	175
205|206	176
207|208	177
209|210	178
211	179
212|213	180
214|215	181
216	182
217	183
218|219	184
