0|1	Ostenso, |quod nec in potentiis naturalibus, 	Ist que en las potencias naturals 	0
2	nec in sensibus habent esse virtutes: 	ne en las sensuals no han a esser las 	1
3|4	restat ostendere, |quomodo distinguuntur virtutes, 	xirtuts:resta a xeine coz son partidas 	2
5	et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 	e com stan en lenteniment e en lo apetit. deu esser distinccio delas xirtuts 	3
6	et de huiusmodi potentiis: 	e de aquestas potencias. 	4
7|8	nam virtutum quaedam sunt intellectuales, |quaedam morales, 	Car delas xirtuts algunas son intellectuals altres morals. 	5
9	quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, 	altres que tenen lo mig entre las intellectuals e |morals.. Uirtuts intellectuals son aquellas, 	6|7
		que sõ en lenteniment speculatiu. 	8
10	cuiusmodi sunt scientiae speculatiuae, 	ço es las sciencias speculatiuas. 	9
11|12	ut naturalis Philosophia, |Geometria, Metaphysica, 	axicom philosophia natural geometria e methaphisica e las altras 	10
13	et caetera talia. 		
14|15	Virtutes vero simpliciter morales sunt illae, |quae sunt in appetitu, 	semblants.¶Las xirtuts de tot morals son las que stan en lo appetit. 	11
16|17	siue appetitus ille sit sensitiuus, |siue intellectiuus, 	ara sia sensitiu o intellectiu. 	12
18|19	cuiusmodi sunt Iustitia, |Temperantia, Fortitudo, 	e son iusticia temperancia fortitut e mansuetut e las altras. 	13
		delas qualssingularment hauẽ atractar. 	14
20	Mansuetudo, 	Las xirtuts 	15
21|22	et caetera talia, |de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, 	que tenen lo migentre las intellectuals e morals. 	16
23	sunt virtutes existentes in intellectu practico, 	son las que stan en lenteni¬ment pratich. 	17
24	ut Prudentia, 	axicom es prudencia 	18
25	et aliae virtutes sibi annexae. Prudentia autem, 	e las altras acostadas a ella. 	19
26	secundum Commentatorem super libris Ethicorum, 	Car prudencia segons lo comentador 	20
27	media est inter virtutes morales, 	sobre lo sise delas ethicas te lo migentre las xirtuts morals e intellectuals. 	21
28	et intellectuales; computari tamen potest cum virtutibus moralibus: 	mas pot esser comptada ab las uirturs morals. 	22
29	nam Prudentia non est nisi in hominibus bonis, 	que prutencia solament es enlos bons 	23
30|31	sicut nec virtutes morales: praui enim homines |et si possunt esse scientes, 	homens.e las altras xiituts mo tals 	24
32|33	astuti, et versipelles; |prudentes tamen esse non possunt, 	per lo semblant. Car los homens mals poden esser moltscients mas no prudents. 	25
34	ut suo loco patebit. 	Segons aço en son lochsera manifest. 	26
35	Inde est ergo quod dicitur 6 Ethic’ 	E per ço es scrit en lo sise delas ethicas. 	27
36	quod impossibile est prudentem esse non existentem bonum. 	que no ꝑot es ser prudent. lo qui no es 	28
37|38	Dimissis ergo virtutibus huiusmodi intellectualibus, |ut dimissis scientiis speculatiuis, 	bo.¶Partidas las xii tuts intellectuals 	29
39|40	de prudentia, |et de virtutibus moralibus est tractandum. Suscepimus enim (ut pluries diximus) 	e las sciencias speculatiuas deu esser tractat telas ututs morals. 	30
41	praesens opus, 	Car prenem la present obra 	31
42	non ut sciamus, 	segons moltas uegacias hauen cit: no perque lopian 	32
43|44	sed ut boni fiamus: |quae bonitas, 	mas paue liaz sets bos ⁊ 	33
45	sine prudentia et virtutibus moralibus, 	la qual bondat sens prudencia 	34
46	nobis in esse non potest. Has autem virtutes, 	e las altras xirtuts moralsno poria esser. 	35
47	in intellectu, et appetitu sic esse contingit. Dictum est enim, 	E aquestas xirtuts podẽ esser en aquesta manera en lo enteniment e en lo appetit. |Car ia es dit 	36|37
48	virtutem esse aliquid 	que xirtut es alguns cosa segons rao. 	38
49	secundum rationem: 	Es necessari 	39
50	oportet ergo esse rationalem potentiam, in qua potest esse virtus. 	donchs:que la potencia on ha esser |uirtut:sia racional. 	40|41
51	Rationale autem duplex est secundum Philosophum, 	E la cosa racionales en duas maneras |segons lo philosoph en lo primer delas 	42|43
52|53	per essentiam, |et per participationem. 	ethicas.ço es per essencia e per participacio. 	44
54	Intellectus autem est rationalis per essentiam. 	lo entenimentes racional per 	45
55	Appetitus vero per participationem. 	essencia.e lo appetit per participacio. 	46
56|57	Nam appetitus licet non sit ipse intellectus, |vel ipsa ratio essentialiter, 	Car lo appetit per be no sia enteniment o pura rao essencialment : 	47
58	dicitur tamen participare rationem, 	pero ell es dit participar rao: 	48
59	quia est aptus natus rationi obedire. Potentiae autem naturales, et sensus, 	per tal com es apte obeir a a¬quella. 	49
60	nec sunt rationales per essentiam, 	Mas las potencias naturals e los senys no son racionals per essencia 	50
61	quia non sunt ipsa ratio: 	perque no son la rao: 	51
62	nec ratione participant, 	ne participã de rao perȩo 	52
63|64	quia per se, |et secundum quod huiusmodi non obediunt rationi. Igitur in sensibus, 	que ꝑ si e segons q̃ son tals no obeexen a la rao. Dõhs las uirtuts no han a esser en los senys 	53
65	et in potentiis naturalibus 	ne en las potẽcias naturals 	54
66	(ut supra dicebatur) 	segons damunt hauem dit. 	55
67|68	non habent esse virtutes, |sed solum esse habent in intellectu, et appetitu. In nobis autem duplex est appetitus, 	mas han a esser solamẽt en lo enteniment e en lo appetit.¶En nosaltres es doble apetit. 	56
69|70	intellectiuus, |et sensitiuus. 	ço es intellectiu e sensitiu. 	57
71	Nam sicut appetitus naturalis sequitur formam naturaliter adeptam, 	Car axicom lo appetit na¬tural seguex la forma naturalment 	58
72|73	sic appetitus cognitiuus sequitur formam per cognitionem apprehensam. |Sicut enim grauia, 	apresa:axi lo appetit cognitiu seguex la forma presa per conaxença. Car axicom las cosas greus per ço 	59
74	ex eo quod habent formam grauis, 	com han forma de cosa greu: 	60
75|76	sequitur ea quaedam naturalis inclinatio, |et quidam appetitus naturalis, 	les segueix alguna inclinacio natural 	61
77	ut naturaliter desiderent esse deorsum: 	ab la qual appeteix en esser baix : 	62
78	sic habentia cognitionem prout habent in seipsis formam apprehensam, 	per semblant aquellas cosas que han conaxença perque hã en si forma presa: 	63
79	sequitur quaedam inclinatio, 	les segueix alguna inclinacio 	64
80|81	et quidam appetitus |secundum formam illam. 	e appetit se'gons aquella forma. 	65
82	Propter quod sicut in nobis duplex est cognitio, sensitiua, et intellectiua: 	Herque axicom es en nos dobla conaxença |ço es sensitiua e intellectiua, 	66|67
83	sic etiam est in nobis duplex appetitus, 	axi es en nos doble ap¬petit. 	68
84|85	videlicet, |sensitiuus, 	çõ es sensitiu 	69
86	qui sequitur formam apprehensam per sensum: 	que segueĩx la forma presa per lo seny. 	70
87	et intellectiuus, 	e intellectiu qui segueix la forma presa |per lo 	71|72
88|89	qui sequitur formam apprehensam per intellectum. Appetitus autem sensitiuus duplex est. |Nam cum animalia sint supra inanimata, 	enteniment.¶Mas lo appetit sensitiu es doble. Car com las cosas animadas sien superiors a las inanimadas : 	73
90|91	si natura elementis |et rebus inanimatis dedit duplicem potentiam, 	si naturs ha dada dobla potencia als elements e a las cosas inanimadas. 	74
92|93	unam per quam tendunt in propriam quietem, |et aliam per quam resistunt, 	uns per la qual xan en son propri repos. altra per la qual con¬trastan 	75
94	et agunt in prohibentia, et in contraria: 	e resesteixen contra las cosas contrarias : 	76
95	multo magis hanc duplicem potentiam natura dedit ipsis animalibus, 	molt mes natura ha dada aquesta potencis a las cosas animacias. 	77
