0|1	Ostenso, |quod nec in potentiis naturalibus, 	lentenimẽt̃. E enlo appecimẽt o en la 	0
2|3	nec in sensibus habent esse virtutes: |restat ostendere, 	uoluntat.manera son deꝑtides les uirturs/ 	1
4	quomodo distinguuntur virtutes, 	Een qual mana estan en lentenimẽt/ 	2
5	et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 	e en lappetimẽt o enla uolũtat Deu donq̃s esser donada distĩccio e deꝑciment dels uirturs/ 	3
6	et de huiusmodi potentiis: 	E daq̃stes porẽcies/ 	4
7	nam virtutum quaedam sunt intellectuales, 	Quar de les uircuts algunes son intellectuals/ 	5
8	quaedam morales, 	E algunes morals E algunes migyances ent̾ les intellecruals 	6
9|10	quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, |cuiusmodi sunt scientiae speculatiuae, 	e les morals ¶Uirtuts intellectuals Cõ dices aqlłs qui son en lencenimẽt speculatiu axicõ les scĩes speculatiues 	7
11|12	ut naturalis Philosophia, |Geometria, Metaphysica, 	⁊natural philosophia/ geometria mathemanica eles alts semblãs/ 	8
13|14	et caetera talia. |Virtutes vero simpliciter morales sunt illae, 	Mas les nirtuts de tot morals sõ aq̃llsqͥ sõ en lauoliuitat sia q̃ la uoluntar sia sensitiua o intellectiua/ 	9
15|16	quae sunt in appetitu, |siue appetitus ille sit sensitiuus, 	E aq̃stes sõ iusticia 	10
17|18	siue intellectiuus, |cuiusmodi sunt Iustitia, 	cẽꝑancia/ forcheleasimplea eles alt̾s aytals dels q̈ls 	11
19|20	Temperantia, Fortitudo, |Mansuetudo, 	singularmẽt nos hauẽ atractar/ 	12
21|22	et caetera talia, |de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, 	Mas les uirturs migyanc̾es ent̾ les incellectuals e les morals son aq̃lłs uirtuts 	13
23|24	sunt virtutes existentes in intellectu practico, |ut Prudentia, 	qui estan en lenteniment pratich Axi cõ es prudecia o saieha eles alt̾s uirtuts acostades osemblans aella/. 	14
25	et aliae virtutes sibi annexae. Prudentia autem, 		
26|27	secundum Commentatorem super libris Ethicorum, |media est inter virtutes morales, 	Quar prudẽcia o sameha segõs lo comẽcador sobre lo libre dełsethiq̃s es nugyançera ent̾ leᷤ uirtuts morals eintellectuals/. 	15
28	et intellectuales; computari tamen potest cum virtutibus moralibus: 	Empo ella pot eẽr cõtada ałs uirtuts morals/ 	16
29	nam Prudentia non est nisi in hominibus bonis, 	Quar prudẽcia osauieha no es |si no solamẽt en los bons homẽs /. axi cõ ne les alt̾s uirtuts 	17|18
30	sicut nec virtutes morales: praui enim homines 	morals¶Quar los homẽs maluats 	19
31	et si possunt esse scientes, 	e si ells poden esser sciẽts 	20
32	astuti, et versipelles; 	o sabens de gr̃a ascucia e dereu̾sa pell/. 	21
33|34	prudentes tamen esse non possunt, |ut suo loco patebit. 	E mpo ells no poden esser sauis o prudẽs segõs q̃ aço ensõ loch sera maifestat/. 	22
35	Inde est ergo quod dicitur 6 Ethic’ 	E ꝑtales est̾ en lo.ui. libre deles echiq̃s/ 	23
36	quod impossibile est prudentem esse non existentem bonum. 	Que nos pot fer q̃ aq̃ll 	24
37|38	Dimissis ergo virtutibus huiusmodi intellectualibus, |ut dimissis scientiis speculatiuis, 	qia saui qͥ no es bo MDonq̃s deꝑtides les uirtuts intellectuals/. s deꝑtides les scies speculatiues deu eẽr posa tractat deles uirtuts morals/. 	25
39|40	de prudentia, |et de virtutibus moralibus est tractandum. Suscepimus enim (ut pluries diximus) 	Quar nos p̾nen lap̾sent obra segons q̃ 	26
41|42	praesens opus, |non ut sciamus, 	molt̃s uagades haueni dit no ꝑtal q̃ sapiam/ 	27
43	sed ut boni fiamus: 	Mas per ral q̃ bons siã 	28
44|45	quae bonitas, |sine prudentia et virtutibus moralibus, 	fecs/ la q̈l bonea sens prudençia o sens sauiea 	29
46|47	nobis in esse non potest. Has autem virtutes, |in intellectu, et appetitu sic esse contingit. Dictum est enim, 	nesẽs les uirtuts morals en nos no poria esser/. S aq̃stes uirtuts podeneẽr en aq̃sta man̾a enlentenimẽr en lappe-.x.8tanec o en la uoluntat. 	30
48|49	virtutem esse aliquid |secundum rationem: 	Quar ia es dit q̃ uirtut es alguã cosa segõs raho/ 	31
50	oportet ergo esse rationalem potentiam, in qua potest esse virtus. 	Coue donq̃s q̃ lapotẽcia en la q̈lha esser la uirtut sia racional/ 	32
51	Rationale autem duplex est secundum Philosophum, 	Mas la cosa raçional es en dues manẽs segõs lo philosoph/ 	33
52	per essentiam, 	ço es assaber ꝑeencia 	34
53	et per participationem. 	e ꝑ participacio. 	35
