0|1	Ostenso, |quod nec in potentiis naturalibus, 	stenso quod nec in poᷤnaturalibus 	0
		et appetitu. 	1
2	nec in sensibus habent esse virtutes: 	nec in sensibus habent esse uirtut 	2
3	restat ostendere, 	es.Rest at ostendere quo modo distiguntur iltut es 	3
4	quomodo distinguuntur virtutes, 	et quo modo in incllcum 	4
5	et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 	et appetitue xistunt. |Distinguendum est ergo de uirtutibus 	5|6
6	et de huiusmodi potentiis: 	et de huius 	7
7|8	nam virtutum quaedam sunt intellectuales, |quaedam morales, 	poͫ.Na nuirtutum 	8
9	quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, 	quedam sunt intellectum alesquedam moralesquedam medie inter intellectum ales 	9
10|11	cuiusmodi sunt scientiae speculatiuae, |ut naturalis Philosophia, 	et morales uirtutes intellectum ales dunrilleque sunt in intellectum speclaratiuo. 	10
12	Geometria, Metaphysica, 	cuius modisc̃ie sunt speclatiue 	11
13|14	et caetera talia. |Virtutes vero simpliciter morales sunt illae, 	ut naturalis ph̾ia. geo.metͥ. me tha et ceterat alia. uirtut esuo simpͥmorales sunt illeque sunt in appetitu. 	12
15|16	quae sunt in appetitu, |siue appetitus ille sit sensitiuus, 	sun appetitus ile sit sensiterssum 	13
17	siue intellectiuus, 	intellectiuus.cuimo ina sunt sticiatempanͣ. fortitudo. mansue tudo acetam talia dequibus sum us singliter tͣctaturi. uirtutes amedie interin allcunales 	14
18	cuiusmodi sunt Iustitia, 	et morales sunt uirtutes 	15
19|20	Temperantia, Fortitudo, |Mansuetudo, 	ex non tesᷤin mallcum primacticout pͥdentia talie uirtutes 	16
21|22	et caetera talia, |de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, 	sibi aune xe prima deucia autem ẜcommentatorem 	17
23|24	sunt virtutes existentes in intellectu practico, |ut Prudentia, 	superlib et 	18
25	et aliae virtutes sibi annexae. Prudentia autem, 	b.media est 	19
26|27	secundum Commentatorem super libris Ethicorum, |media est inter virtutes morales, 	interuirtut es moraleᷤ 	20
28	et intellectuales; computari tamen potest cum virtutibus moralibus: 	et intellectumales computaritum potest cum uirtutibus moralibus 	21
29	nam Prudentia non est nisi in hominibus bonis, 		
30|31	sicut nec virtutes morales: praui enim homines |et si possunt esse scientes, 	.Nam prudentia non memnisi homnibus bouis sicut nec uirtut es morales. prima ui.n. homiues et si possent ess e scientes. hastuti etu̾ 	22
32|33	astuti, et versipelles; |prudentes tamen esse non possunt, 	si pelles prudent estum esse non possunt 	23
34	ut suo loco patebit. 	ut suo loco 	24
35	Inde est ergo quod dicitur 6 Ethic’ 	patebit.Inde engᷤ quod dicitur.uiͦ. |et hoc . 	25|26
36|37	quod impossibile est prudentem esse non existentem bonum. |Dimissis ergo virtutibus huiusmodi intellectualibus, 	quod imper pᷝͤ est pͥdentem esse non ente n bonum.UOmissi sgni uirtutibus intellectum alibi 	27
38	ut dimissis scientiis speculatiuis, 	et diumissis scus 	28
39|40	de prudentia, |et de virtutibus moralibus est tractandum. Suscepimus enim (ut pluries diximus) 	speclaratiuis.de prima denͣ et de uͥtutibus moralibus esse tͣctander. Suscepimo donut płies 	29
41	praesens opus, 	diximus opos 	30
42|43	non ut sciamus, |sed ut boni fiamus: 	ut non sciamus .niut boni fiamus 	31
44|45	quae bonitas, |sine prudentia et virtutibus moralibus, 	.que bouitas sum pͥdenͣ et untutibi moralibus nob ̾ines se non potest. 	32
46	nobis in esse non potest. Has autem virtutes, 	has autem uirtutesin intellectu 	33
47|48	in intellectu, et appetitu sic esse contingit. Dictum est enim, |virtutem esse aliquid 	et appetitusic esse ꝯtmngit. dcm̃ est.n. uirtutem esse ad 	34
49	secundum rationem: 		
50|51	oportet ergo esse rationalem potentiam, in qua potest esse virtus. |Rationale autem duplex est secundum Philosophum, 	ẜronem.o rgnie est rationalem potentiam in qͣpouit esse uirtus. Ronale autem dupłt est secundum phoc m. 	35
52	per essentiam, 	per essentiam 	36
53	et per participationem. 	et perpartici pationem. 	37
54	Intellectus autem est rationalis per essentiam. 	Intellectus a est ratio nalemper essentiam. 	38
55	Appetitus vero per participationem. 	appetitus uoper 	39
56|57	Nam appetitus licet non sit ipse intellectus, |vel ipsa ratio essentialiter, 	participationem.Nam appetitus lici non sit ipse intellectus uel ipsa ratio esse naturaliter. dicitur tum partici pareratione. 	40
58	dicitur tamen participare rationem, 	quare est aptus natus rationiobe et dire. 	41
59	quia est aptus natus rationi obedire. Potentiae autem naturales, et sensus, 	poͤautem nͣles |et sensus 	42|43
60	nec sunt rationales per essentiam, 	nec sunt rationalespereemur 	44
61|62	quia non sunt ipsa ratio: |nec ratione participant, 	quare non ipsa ratio sunt nec ratione participant 	45
63	quia per se, 	quare per se et secundum quod huius . 	46
64|65	et secundum quod huiusmodi non obediunt rationi. Igitur in sensibus, |et in potentiis naturalibus 	non obe diunt rationi. igit in sensibi et in poᷤnaturalibus 	47
66|67	(ut supra dicebatur) |non habent esse virtutes, 	ut supradicebatur non habent esse uirtut es sisolum essehunt inmallcum tappetitu. 	48
68	sed solum esse habent in intellectu, et appetitu. In nobis autem duplex est appetitus, 	In uobis autem dupłt |est appetitus intellectuuꝰ 	49|50
69	intellectiuus, 		
70	et sensitiuus. 	et sensitiuus 	51
71|72	Nam sicut appetitus naturalis sequitur formam naturaliter adeptam, |sic appetitus cognitiuus sequitur formam per cognitionem apprehensam. 	Nam sic ut appetitus uͣlis sequit formnͣliter adeptam. sic appetitus cognituius seqrformper cognitionem apprehensam. Sicut .i. grauia ex eo quod hunt formamguis sequetur 	52
73	Sicut enim grauia, 		
74|75	ex eo quod habent formam grauis, |sequitur ea quaedam naturalis inclinatio, 	eaquedam naturalis inclinatio 	53
76	et quidam appetitus naturalis, 	et quidam appetitus naturalis 	54
77	ut naturaliter desiderent esse deorsum: 	ut nͣliter desiderente est deorsum. 	55
78	sic habentia cognitionem prout habent in seipsis formam apprehensam, 	sic habentia cognitionem 	56
79|80	sequitur quaedam inclinatio, |et quidam appetitus 	pro ut habent inse ipsis formam appbensam sequedam incli natiotq̾d am appetitus 	57
81|82	secundum formam illam. |Propter quod sicut in nobis duplex est cognitio, sensitiua, et intellectiua: 	secundum formam illam. pp̃quod sicut est in nob ̾dup łxcognitio sensitiua 	58
83	sic etiam est in nobis duplex appetitus, 	et intellectia. 	59
84|85	videlicet, |sensitiuus, 	sic est in nob ̾dͭappetitus uidelicet sensituius 	60
86	qui sequitur formam apprehensam per sensum: 	qui sequit form apprehensam persensum. 	61
87|88	et intellectiuus, |qui sequitur formam apprehensam per intellectum. Appetitus autem sensitiuus duplex est. 	et intellectiuusqui sequit form apprehensam per intellectum . 	62
89|90	Nam cum animalia sint supra inanimata, |si natura elementis 	appet itaͥ sensitueldupłest.s 	63
91|92	et rebus inanimatis dedit duplicem potentiam, |unam per quam tendunt in propriam quietem, 	am cum alia suit su prain ainata. sinͣełis trebus maniatis dedit duplicem pom.unam per quam tendunt in 	64
93|94	et aliam per quam resistunt, |et agunt in prohibentia, et in contraria: 	propͥanquietem.et aliam per quam resistunt ragunt in probibentia et in contraria. 	65
95	multo magis hanc duplicem potentiam natura dedit ipsis animalibus, 	multo magerhenat duppotentiamnͣdedit ipsis ałibus 	66
96	quae sunt perfectiora illis. Videmus enim quod ignis naturaliter est calidus, 	que sunt perfconra illis .uidemus.n. |quod igers est non ͣliter cilidꝰ 	67|68
97	et leuis per leuitatem autem tendit in locum proprium, 	et leuis. |per leuitatematendit in locunpropͥum et inqui etem sꝯͥentem 	69|70
98|99	et in quietem sibi conuenientem: |per caliditatem vero agit in contraria: 	.per caliditatem uero agit in qͣria. 	71
