0|1	Ostenso, |quod nec in potentiis naturalibus, 	Ist que en las potẽcias naturals 	0
2	nec in sensibus habent esse virtutes: 	ne en las sensu¬als no han a esser las 	1
3|4	restat ostendere, |quomodo distinguuntur virtutes, 	uirtuts:resta a ueure cõson partidas 	2
5|6	et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, |et de huiusmodi potentiis: 	e com stan enlenteniment e en lo appetit. deu es¬ser distinccio delas uirtuts e ḋ aquestas potẽcias. 	3
7	nam virtutum quaedam sunt intellectuales, 	Car delas uirtuts al¬gunas son intellectuals 	4
8	quaedam morales, 		
9	quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, 	altres mo¬rals altres que tenen lo mig entre las intellectuals e morals. |¶ Ulir¬tuts intellectuals son aq̃llas q̃ son en lentenimẽt speculatiu. 	5|6
10	cuiusmodi sunt scientiae speculatiuae, 	ço es las sciencias speculatiuas. 	7
11|12	ut naturalis Philosophia, |Geometria, Metaphysica, 	axicom philoso phia natural geometria e me¬thaphisica e las altras 	8
13	et caetera talia. 		
14|15	Virtutes vero simpliciter morales sunt illae, |quae sunt in appetitu, 	semblants.¶ Las uirtuts ď tot morals son las que stan en lo appetit ara sia sensi¬ tiu o intellectiu. 	9
16	siue appetitus ille sit sensitiuus, 		
17|18	siue intellectiuus, |cuiusmodi sunt Iustitia, 	e son iusticia temaperancia fortitut e mansuetut 	10
19|20	Temperantia, Fortitudo, |Mansuetudo, 	e las altras delas quals singularmẽt ha¬uem a tractar. 	11
21|22	et caetera talia, |de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, 	Las uirtuts que te¬nen lo mig entre las intellectuals e morals 	12
23	sunt virtutes existentes in intellectu practico, 	son las que stan en lenteni¬ment pratich. 	13
24	ut Prudentia, 	axicõ es prudencia 	14
25	et aliae virtutes sibi annexae. Prudentia autem, 	e las altras acostadas a ella. 	15
26|27	secundum Commentatorem super libris Ethicorum, |media est inter virtutes morales, 	Car prudencia segons lo comẽtador sobre lo sise delas ethicas te lo mig entre las uirtuts morals e intellectuals. 	16
28	et intellectuales; computari tamen potest cum virtutibus moralibus: 	mas pot esser comptada ab las uir¬tuts morals. 	17
29	nam Prudentia non est nisi in hominibus bonis, 	que prudẽcia solamẽtes en los bons 	18
30	sicut nec virtutes morales: praui enim homines 	homẽs.e las altras uirtuts morals per lo semblãt. 	19
31|32	et si possunt esse scientes, |astuti, et versipelles; 	car los homens mals poden esser moltscients 	20
33	prudentes tamen esse non possunt, 	mas no prudents. 	21
34	ut suo loco patebit. 	Segonsaço en son loch sera manifest. 	22
35	Inde est ergo quod dicitur 6 Ethic’ 	e ꝑço es scrit en lo sise delas ethicas, 	23
36|37	quod impossibile est prudentem esse non existentem bonum. |Dimissis ergo virtutibus huiusmodi intellectualibus, 	que no pot esser prudent lo qui no es bo¶Partidas las uirtuts intellectu. als 	24
38	ut dimissis scientiis speculatiuis, 		
39|40	de prudentia, |et de virtutibus moralibus est tractandum. Suscepimus enim (ut pluries diximus) 	e las sciencias speculatiuas deuesser tractat delas uirtuts morals. 	25
41|42	praesens opus, |non ut sciamus, 	car prenem la present obra moltas uegadas hauem dit: no perque sa¬piam 	26
43	sed ut boni fiamus: 	mas perque siam fets bons. 	27
44	quae bonitas, 	la qual bondat sens prudẽcia 	28
45	sine prudentia et virtutibus moralibus, 	e las altras uirtuts morals no poria esẜ. 	29
46	nobis in esse non potest. Has autem virtutes, 	E aq̃stas uirtuts poden esser en 	30
