0	Ostenso, 	st enso 	0
1	quod nec in potentiis naturalibus, 	quod nec in poᷤnaturalibus 	1
2	nec in sensibus habent esse virtutes: 	nec insensibus habent esse uirtut 	2
3|4	restat ostendere, |quomodo distinguuntur virtutes, 	es.R estatostendere quon uirtut es distinguntur 	3
5	et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 	et quo modo in intllectu et appetitue xistum tEst autem distingue |̾dum de uirtutibus 	4|5
6	et de huiusmodi potentiis: 	et de huius poNamu irtutumque decet stͣ 	6
7	nam virtutum quaedam sunt intellectuales, 	intellectuales.que decet 	7
8|9	quaedam morales, |quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, 	morales.qͣ dec et medie int̃ intllectuales 	8
10|11	cuiusmodi sunt scientiae speculatiuae, |ut naturalis Philosophia, 	et morales. intelectualem sd nonrque sunt in intilectus peclaratiuo cͥꝯst̃sciue speclaratiue 	9
12|13	Geometria, Metaphysica, |et caetera talia. 	ut naturalem phoc ia geo metria m̃thaͣicaeterat alia. 	10
14	Virtutes vero simpliciter morales sunt illae, 		
15|16	quae sunt in appetitu, |siue appetitus ille sit sensitiuus, 	uirtut es uero sim pͣmoralesd non rillequ est̃in appetitusium ille sit intllectius sum sensit incͥꝰ sunt iustita. 	11
17	siue intellectiuus, 		
18	cuiusmodi sunt Iustitia, 		
19	Temperantia, Fortitudo, 		
20|21	Mansuetudo, |et caetera talia, 	tenperanͣ. fortiͦ manͦ. 	12
22|23	de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, |sunt virtutes existentes in intellectu practico, 	et taliade quibus sum us simpͬtractatur ꝯ. uirtut es autem medie inter istas sunt ex non tes in intllectu primatico ut prudentia. 	13
24|25	ut Prudentia, |et aliae virtutes sibi annexae. Prudentia autem, 	et alie uirtut es sibi annexe: prudentia. autem ẜcom̃ superliͬet hoc . 	14
26	secundum Commentatorem super libris Ethicorum, 		
27	media est inter virtutes morales, 	media est interuirtu tes morales 	15
28	et intellectuales; computari tamen potest cum virtutibus moralibus: 	et intllectuals. |potest t non comput aͥcum uirtutibus moralibus . 	16|17
29	nam Prudentia non est nisi in hominibus bonis, 	Nam prudenͣ non in hoͥbus boins 	18
30|31	sicut nec virtutes morales: praui enim homines |et si possunt esse scientes, 	sicut nec uirtut es mora łe̾. pruuieͥ hoͥes 	19
32	astuti, et versipelles; 	et sipost ̃esse scientes astuti. |et u̾ 	20|21
33|34	prudentes tamen esse non possunt, |ut suo loco patebit. 	sipells.t non prudͤtese est non post ̃ut suo loco parebͭ.Inon energo quod der.ui. 	22
35	Inde est ergo quod dicitur 6 Ethic’ 	et h. 	23
36|37	quod impossibile est prudentem esse non existentem bonum. |Dimissis ergo virtutibus huiusmodi intellectualibus, 	quod inpo᷑est prudentene est non entem bonon. Dimissis igitur 	24
38	ut dimissis scientiis speculatiuis, 	u̾ͥtu tibus intllectuꝰ 	25
39|40	de prudentia, |et de virtutibus moralibus est tractandum. Suscepimus enim (ut pluries diximus) 	et scinsspeclaratins de prudentia et uirtutibus moraꝰ est tͣtander. Sulc epinꝯe inpuns opꝯin płies dixinꝯ non utstiamꝯ 	26
41	praesens opus, 		
42|43	non ut sciamus, |sed ut boni fiamus: 	sed ut bo infiamꝯ.que bointass non prudentia 	27
44|45	quae bonitas, |sine prudentia et virtutibus moralibus, 	et uirtuꝰ mora ꝰnhoc 	28
46|47	nobis in esse non potest. Has autem virtutes, |in intellectu, et appetitu sic esse contingit. Dictum est enim, 	in esse non potest hiis autem uirtut es esse in intllectu et appeͭͥͥ sic patet. 	29
48	virtutem esse aliquid 	Denm est e in uirtutem esse 	30
49	secundum rationem: 	aͥd secundum 	31
50|51	oportet ergo esse rationalem potentiam, in qua potest esse virtus. |Rationale autem duplex est secundum Philosophum, 	rationem.o ergo esse rationalest poͫ in qͣpoiͦesse uirtus roͣͧ autem du̽emẜ phoc mper eeͣm 	32
52|53	per essentiam, |et per participationem. 	et per parti cipa conemInt lłseͥ 	33
54	Intellectus autem est rationalis per essentiam. 	est rationalem per eeͣm appetitusilo per parti 	34
55|56	Appetitus vero per participationem. |Nam appetitus licet non sit ipse intellectus, 	cipaconem.nam appetitus lic et non sit ipse intllecꝰ 	35
57|58	vel ipsa ratio essentialiter, |dicitur tamen participare rationem, 	uel ipsaratio eeͣliter derrtum participare rationem 	36
59	quia est aptus natus rationi obedire. Potentiae autem naturales, et sensus, 	quare aptus nͣtus est rationiobe dire: |potentiae autem naturał s 	37|38
60	nec sunt rationales per essentiam, 	et sensꝯnec st ̃ratio naturalis sper eeͣm. 	39
61|62	quia non sunt ipsa ratio: |nec ratione participant, 	quare non sunt ipsa ration ec ratiom parti ci	40
63	quia per se, 	pautem.quer perse 	41
64	et secundum quod huiusmodi non obediunt rationi. Igitur in sensibus, 	et secundum quod huius non obediunt rationi. |⟦Iritur 	42|43
		⟧in sensibus 	44
65	et in potentiis naturalibus 	et in poͥ naturalibus 	45
66	(ut supra dicebatur) 	ut supradicebatur 	46
67|68	non habent esse virtutes, |sed solum esse habent in intellectu, et appetitu. In nobis autem duplex est appetitus, 	non habent esse uirtut essed solem in intellectu et appetitu. innƀ autem est dup᷑appetitus. intlłictius. 	47
69	intellectiuus, 		
70	et sensitiuus. 	et sensitius. 	48
71|72	Nam sicut appetitus naturalis sequitur formam naturaliter adeptam, |sic appetitus cognitiuus sequitur formam per cognitionem apprehensam. 	Nam sicut appeꝰ naturalem seͦforan natur alitera deptam.sit appetitus cognitius ̃se forͣͫper cognitiom app̾hensautem: 	49
73	Sicut enim grauia, 	Sicut ein grauia 	50
74	ex eo quod habent formam grauis, 	ex eo quod habent formangrauis seͦ eaquedam incli 	51
75	sequitur ea quaedam naturalis inclinatio, 	an con naturalem 	52
76	et quidam appetitus naturalis, 	et quid annaturalem appeͭ ꝰut 	53
77	ut naturaliter desiderent esse deorsum: 	naturaliter desiderent esse deorsum. 	54
78	sic habentia cognitionem prout habent in seipsis formam apprehensam, 	sic hnoncia cognitiom |proͭhabent 	55|56
79	sequitur quaedam inclinatio, 	in se ipsis for app̾hensam seq᷑que dam inclian conet 	57
80	et quidam appetitus 	quidan appeͭ ꝯ 	58
81	secundum formam illam. 	secundum forꝰillam 	59
82	Propter quod sicut in nobis duplex est cognitio, sensitiua, et intellectiua: 	perpqdersit ̃est innƀ dup̽ cognitio. sensitiua 	60
83|84	sic etiam est in nobis duplex appetitus, |videlicet, 	et intlłictiua sic est innƀ dup̽et appeꝰ.s. 	61
85	sensitiuus, 	sensitius 	62
86	qui sequitur formam apprehensam per sensum: 	̃qui seͦ forꝰ app̾hensam persensum. |et intlect ͥꝯqui seͦ ap̃phens an per intlłm: 	63|64
		appetitinꝯ 	65
87	et intellectiuus, 	et sens ꝯ dup̽ est 	66
88|89	qui sequitur formam apprehensam per intellectum. Appetitus autem sensitiuus duplex est. |Nam cum animalia sint supra inanimata, 	.nam cum animalia sit ̃su prain animata sinatura rebus in animatis 	67
90	si natura elementis 	et ełis 	68
91	et rebus inanimatis dedit duplicem potentiam, 	dedit |duplic est potentiam. 	69|70
92	unam per quam tendunt in propriam quietem, 	unam per quam tendunt in propͥanqui eten 	71
93	et aliam per quam resistunt, 	et alia per quam resistunt 	72
94	et agunt in prohibentia, et in contraria: 	et agunt in per hibenecia et contraria. 	73
95	multo magis hanc duplicem potentiam natura dedit ipsis animalibus, 	multo mager hanc duͦpotentianͣ dedͭ ipsisque sunt perfectiora 	74
96	quae sunt perfectiora illis. Videmus enim quod ignis naturaliter est calidus, 	illis.uidemꝯeͥ |quod ignis en naturalis rcalidꝯ 	75|76
97	et leuis per leuitatem autem tendit in locum proprium, 	et leuis |.per leuitatem 	77|78
98	et in quietem sibi conuenientem: 	et tendit in locum properͥumum qui etem.ͥsibiꝯͥentem 	79
99|100	per caliditatem vero agit in contraria: |ne ergo ignis per quaecunque contraria agentia impediretur, 	per calidiͭ ͤuero agit in contraria. Se ergo ignis perqueu inq contraria agencia inpediretur 	80
101	ne per leuitatem in proprio loco quiesceret, 	ut per leuitaten in propͥo loco |non qui esce ̾t deditei natur 	81|82
102	dedit ei natura potentiam calefactiuam, 	a potentia calesitiamut peream resisteret 	83
103	ut per eam resisteret, et ageret in contraria corruptiua. 	etageret in contraria corruptiua. 	84
104	Si ergo igni, 	Signiiigitur 	85
105|106	et rebus inanimatis natura dedit duplicem potentiam, |unam per quam adipiscuntur propriam quietem, 	et rebus in animatis nͣ lic peruidit 	86
107|108	et aliam per quam agunt in prohibentia et contraria: |multo magis hoc dedit animalibus. Tribuit ergo eis duplicem appetitum sensitiuum, 	multomager hoc deditałibus .triplicem appetitum tͥbuitergo eis. 	87
109	unum per quem prosequuntur propriam quietem, 	unum perquem prosequerentur perpͥanqui etem 	88
110	et propriam delectationem, 	et delecta 	89
111	ut concupiscibilem: 	conm.ut concupistiᷝ 	90
112	et alium per quem resistunt, 	ͤalium perquem resisterent 	91
