0	Ostenso, 		
1|2	quod nec in potentiis naturalibus, |nec in sensibus habent esse virtutes: 	enso quod nec in perotenciisnͣibus nec insensibus habent esse 	0
		uirtutes.R estat 	1
3|4	restat ostendere, |quomodo distinguuntur virtutes, 	ostende quo modo distinguntur uirtut es 	2
5	et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 	et qnon oin intelleum |et appentue xistant. Distiuguender est ergo de uirtutibus 	3|4
6	et de huiusmodi potentiis: 	et de huius potenciis. Nautem uirtutum |quedam sunt 	5|6
7|8	nam virtutum quaedam sunt intellectuales, |quaedam morales, 	intellectuales.quedam morales. 	7
9	quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, 	qͣdam medie inter intellectum ales |et morales uirtutes int llcuales dunr illeque sunt in intellectum 	8|9
10	cuiusmodi sunt scientiae speculatiuae, 	.speclarati no c̾monst |er sciue speclaratiue 	10|11
11|12	ut naturalis Philosophia, |Geometria, Metaphysica, 	ut naturalis phina geonietur amethaͭ 	12
13|14	et caetera talia. |Virtutes vero simpliciter morales sunt illae, 	᷑et cetera alia. 	13
15	quae sunt in appetitu, 	uirtutes uero 	14
16|17	siue appetitus ille sit sensitiuus, |siue intellectiuus, 	sin pͭmora les sunt illeque sunt in appetitus unappetitus ille sit ssitiuussum intellectiuus . c̾monam sunt itiͣ.tenpermͣfortiᵈ ᵈͦmansuꝰͦ 	15
18|19	cuiusmodi sunt Iustitia, |Temperantia, Fortitudo, 	et ceteratliadequibus sum us singularitertͣcaetera 	16
20	Mansuetudo, 	tati.utut es autem medie intert ̃tllcuales 	17
21	et caetera talia, 	et mora les sunt uirtutes 	18
22|23	de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, |sunt virtutes existentes in intellectu practico, 	ex nontes in intellectu primactico 	19
24	ut Prudentia, 	ut prudencia 	20
25	et aliae virtutes sibi annexae. Prudentia autem, 	et alie uirtutes |sibi annexe. 	21|22
26|27	secundum Commentatorem super libris Ethicorum, |media est inter virtutes morales, 	p̾denͣant 	23
28|29	et intellectuales; computari tamen potest cum virtutibus moralibus: |nam Prudentia non est nisi in hominibus bonis, 	secundum conmentatorensu pralibrum ech̃. 	24
30|31	sicut nec virtutes morales: praui enim homines |et si possunt esse scientes, 	mediam interuͥtut es morales 	25
32|33	astuti, et versipelles; |prudentes tamen esse non possunt, 	et intellectum ᷝͤᷤ conputarttum potest cunuirtutibus moraᷝ ͫnam prudenͣ non est nͣlpͥbus boins.sͨnec uirtut es morale s. primaui.n. hominies 	26
34|35	ut suo loco patebit. |Inde est ergo quod dicitur 6 Ethic’ 	et si possentene scientes astuci etu̾ sipelles . prudent estum ene non possternt suo loco patebit.I non est ergo quod dicitur.ui.ech. 	27
36	quod impossibile est prudentem esse non existentem bonum. 	quod inpoᷝͤ est p̾dentem esse non entem bonum. 	28
37	Dimissis ergo virtutibus huiusmodi intellectualibus, 	Dimissis igitur uirtutebus intllcuid 	29
38|39	ut dimissis scientiis speculatiuis, |de prudentia, 	et dimissis sciis speclaratins de prima denͣ 	30
40|41	et de virtutibus moralibus est tractandum. Suscepimus enim (ut pluries diximus) |praesens opus, 	et nisitutibus moralibus est tͣca eteratander. Suscepimus .n. 	31
42|43	non ut sciamus, |sed ut boni fiamus: 	ut płtes dixiuius. p̾spum sopos non ut sciamus. sed ut boͭfiamo doquibo intas sum prudenͣ 	32
44|45	quae bonitas, |sine prudentia et virtutibus moralibus, 	et uirtutibus moralibus nob̃in esse non potest. 	33
46	nobis in esse non potest. Has autem virtutes, 	has uirtutes in intellectum 	34
47|48	in intellectu, et appetitu sic esse contingit. Dictum est enim, |virtutem esse aliquid 	et appetitus iten est contingit. Dcm̃e in est uirtuteneest 	35
49	secundum rationem: 	ad secundum rationem. 	36
50	oportet ergo esse rationalem potentiam, in qua potest esse virtus. 	Oportet ergo ess e ronnalem potentiam in qͣpointur esse uͣtus Qd nale autem dͬest 	37
51|52	Rationale autem duplex est secundum Philosophum, |per essentiam, 	secundum phm̃per essenͣm 	38
53|54	et per participationem. |Intellectus autem est rationalis per essentiam. 	et perparti cipationem intellectos autem est rationalis per ess enͣm.Aipetitus uero per parti 	39
55|56	Appetitus vero per participationem. |Nam appetitus licet non sit ipse intellectus, 	cipationem.nam appetitus licet non sic ipse intellens. 	40
57|58	vel ipsa ratio essentialiter, |dicitur tamen participare rationem, 	uel ipsa ratio esse naturalisr. diciturtum participareronne 	41
59	quia est aptus natus rationi obedire. Potentiae autem naturales, et sensus, 	quare est aptus nat ͦꝰobedire rationi. poͤet̾nͣles |et sꝰnͤ 	42|43
60|61	nec sunt rationales per essentiam, |quia non sunt ipsa ratio: 	ster ratio ᷝͤᷤper ess enͣm. 	44
62	nec ratione participant, 	quare non ipsa ronst̃necronne participant 	45
63	quia per se, 	quare per se 	46
64	et secundum quod huiusmodi non obediunt rationi. Igitur in sensibus, 	et secundum qhuius non|obediuntrom.gͣ in sensibus 	47|48
65	et in potentiis naturalibus 	et in potenciis mͣibus 	49
66|67	(ut supra dicebatur) |non habent esse virtutes, 	ut su pradicebatur non habet essenertut 	50
68|69	sed solum esse habent in intellectu, et appetitu. In nobis autem duplex est appetitus, |intellectiuus, 	es.sed solum esse habent in inapin intellectum 	51
70	et sensitiuus. 	et appetitu. 	52
71|72	Nam sicut appetitus naturalis sequitur formam naturaliter adeptam, |sic appetitus cognitiuus sequitur formam per cognitionem apprehensam. 	Inob ̾at dͧest appetitus in tllc̃iuus et 	53
73|74	Sicut enim grauia, |ex eo quod habent formam grauis, 	ssitiuus.nam sicut appetitus sec formamnaturalisiade partam.S ͨ appetitus cognitiuus sen formam per cognitionem apphendam. sit ̃.n. grauia ex eo quod habet formamgrauisse eaque 	54
75	sequitur ea quaedam naturalis inclinatio, 	dam naturalis inclinatio 	55
76	et quidam appetitus naturalis, 	et quidam appetitus naturalis 	56
77	ut naturaliter desiderent esse deorsum: 	ut naturaliter desiderent esse deorsum. 	57
78|79	sic habentia cognitionem prout habent in seipsis formam apprehensam, |sequitur quaedam inclinatio, 	Sͤ habentia cognitionem prout habet in seipins formam apphensam seͤque daninc łiatio 	58
80	et quidam appetitus 	et quidam appetitus 	59
81	secundum formam illam. 	secundum form amnill autem pp̃ 	60
82|83	Propter quod sicut in nobis duplex est cognitio, sensitiua, et intellectiua: |sic etiam est in nobis duplex appetitus, 	quod sicut est in nob ̃dͫ cogertiossitiua 	61
84|85	videlicet, |sensitiuus, 	et intllanua. 	62
86|87	qui sequitur formam apprehensam per sensum: |et intellectiuus, 	sic est in nob ̾dͤappetitus uidelicet sensitiuus quise forsaprehensamper ẜẜmet intellectiuus 	63
88	qui sequitur formam apprehensam per intellectum. Appetitus autem sensitiuus duplex est. 	qui seͦ foͣm apprehensam. |Apetitus autem sitiuus dͫ est 	64|65
89|90	Nam cum animalia sint supra inanimata, |si natura elementis 	.nam cum alia sint supraanimata sinͣelementis 	66
91|92	et rebus inanimatis dedit duplicem potentiam, |unam per quam tendunt in propriam quietem, 	et rebus in animatis dedͭ dupͤpotentiam. uuan per quam tendunt in propia quietem 	67
93	et aliam per quam resistunt, 	et ali unper quam resistunt 	68
94	et agunt in prohibentia, et in contraria: 	et agunt in prohibenciaet in contraria multo 	69
95	multo magis hanc duplicem potentiam natura dedit ipsis animalibus, 	magis hoc  dupͤpotentiam.nͣ ded ͭipinsalibus que sunt perft̃ioraillem. uideꝰ.ni. 	70
96	quae sunt perfectiora illis. Videmus enim quod ignis naturaliter est calidus, 	quod ignis ennaturaliter calidꝰ 	71
97	et leuis per leuitatem autem tendit in locum proprium, 	et lein sperlenitatem autem tendͭin locum propͥum 	72
98|99	et in quietem sibi conuenientem: |per caliditatem vero agit in contraria: 	et inqui etem sibiꝯͥentem per caliditatem uero agit in contraria. 	73
100	ne ergo ignis per quaecunque contraria agentia impediretur, 	Ne ergo perque ̾ cunqagentia contraria 	74
101	ne per leuitatem in proprio loco quiesceret, 	inpediretur.ne perleuiͭ in propͥoloco |qui ester 	75|76
102	dedit ei natura potentiam calefactiuam, 	et dedit einͣ potentiam caleftinuam 	77
103	ut per eam resisteret, et ageret in contraria corruptiua. 	ut pereamtesisteret |et aget in contraria cormipartiua. 	78|79
