0	Ostenso, 	odt enso 	0
1	quod nec in potentiis naturalibus, 	quod nec in potenciis naturalibus 	1
2	nec in sensibus habent esse virtutes: 	nec in sens ibzhabent esse uirtut |es.R estat 	2|3
3|4	restat ostendere, |quomodo distinguuntur virtutes, 	ostendere quo modo distinguntur uirtutes 	4
5	et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 	et quomodo in intellectu et appetitus existunt. Distingue ndun est de uirtutibus 	5
6	et de huiusmodi potentiis: 	et hiis potenciis 	6
7	nam virtutum quaedam sunt intellectuales, 		
8	quaedam morales, 		
9|10	quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, |cuiusmodi sunt scientiae speculatiuae, 	Namuirtutum qued sunt intellectualesqued morales etque der medie inter morale set intellectuales. Intellectuales dicuntur illeque sunt in intellectus peculatiuo cinus modi sunt sciue speculatiue 	7
11|12	ut naturalis Philosophia, |Geometria, Metaphysica, 	ut naturalisphinaaris metica geometria 	8
13	et caetera talia. 		
14|15	Virtutes vero simpliciter morales sunt illae, |quae sunt in appetitu, 	et taliauirtut es uero simpliiter morales sunt illeque sunt in appetitusiue 	9
16|17	siue appetitus ille sit sensitiuus, |siue intellectiuus, 	appetitus ille fit sensitimissiue intellectiuus Cimis modi iustidatemperantia fortitud omansuetudo 	10
18|19	cuiusmodi sunt Iustitia, |Temperantia, Fortitudo, 	et cetterat aliadequibus sumus singulariter 	11
20|21	Mansuetudo, |et caetera talia, 	trattaturi.Uirtutes uero medie 	12
22|23	de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, |sunt virtutes existentes in intellectu practico, 	inter intellectuales 	13
24|25	ut Prudentia, |et aliae virtutes sibi annexae. Prudentia autem, 	et mora les sunt uirtut es ex ist entes in intellectu practi co ut prudentia 	14
26|27	secundum Commentatorem super libris Ethicorum, |media est inter virtutes morales, 	et alie uirtut es sibi amnexe Prudenciaemmssconmentatorem superlibrum ethitorum est media interuirtutes morales 	15
28	et intellectuales; computari tamen potest cum virtutibus moralibus: 	et intellet tuales |tamen pot est compararicum uirtutibus mora libus 	16|17
29	nam Prudentia non est nisi in hominibus bonis, 	Nam prudencia non dn est |nisi homibus bomssicut 	18|19
30	sicut nec virtutes morales: praui enim homines 	nec uirtut es morales sd ramenim i honnens 	20
31	et si possunt esse scientes, 	et si possitee scientes astuti 	21
32|33	astuti, et versipelles; |prudentes tamen esse non possunt, 	et uer sipelles prudent estamen esse non possunt 	22
34	ut suo loco patebit. 	ut suo loco |patebit.Inde est ergo 	23|24
35	Inde est ergo quod dicitur 6 Ethic’ 	quod dicitur sexto |et hiz 	25|26
36|37	quod impossibile est prudentem esse non existentem bonum. |Dimissis ergo virtutibus huiusmodi intellectualibus, 	quod impossibile est prudentem non entem homuin Dimis fis igitur uirtutes intellectuales 	27
