0|1	Ostenso, |quod nec in potentiis naturalibus, 	Stenso quod nec in potentiis naturalibus 	0
2	nec in sensibus habent esse virtutes: 	nec in sensibus habent esse uirtut 	1
3	restat ostendere, 	es.R estat ostendere. 	2
4	quomodo distinguuntur virtutes, 	quomo do dinst ingi inturtirtut es: 	3
5	et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 	et quomodo in appetituet intellectue xistunt. |Distinguendum est igitur de rirtutibus 	4|5
6	et de huiusmodi potentiis: 	et de huius modi potentiis 	6
7	nam virtutum quaedam sunt intellectuales, 	:nam uirtutum que dam sunt intellectuales: 	7
8	quaedam morales, 	que d azmora 	8
9|10	quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, |cuiusmodi sunt scientiae speculatiuae, 	les:quedam medieicirer iitellectuales et morales. Cutut es intellectuales dicuneur illeque sunt in intellectu. speculariuo euius modi sunt scientie speculatiue: 	9
11|12	ut naturalis Philosophia, |Geometria, Metaphysica, 	ut naturalis philos ophia geometria: 	10
13	et caetera talia. 	met haphisica et ceterat alia: 	11
14	Virtutes vero simpliciter morales sunt illae, 	Uirtut es peros impliciter morales sunt 	12
15|16	quae sunt in appetitu, |siue appetitus ille sit sensitiuus, 	ille:que sunt in appetitusiue appetitus ille sit sensitiuus: 	13
17	siue intellectiuus, 	siue intellectinus : 	14
18|19	cuiusmodi sunt Iustitia, |Temperantia, Fortitudo, 	cuius modi autem suntiusticia remperantia: fortitudo:mansuetudo. et ceterat alia 	15
20	Mansuetudo, 	de quibussum us singul arit er traetaruri. 	16
21	et caetera talia, 	Uirtut es autem medie 	17
22	de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, 	inter in rellectudles 	18
23|24	sunt virtutes existentes in intellectu practico, |ut Prudentia, 	et morales sunt uirtut escristentes in iitellectu practicout prudentia 	19
25	et aliae virtutes sibi annexae. Prudentia autem, 	et alie mirtut es sibl annexe. 	20
26	secundum Commentatorem super libris Ethicorum, 	Prudentia autem sederm conmentatorem super libris 	21
27	media est inter virtutes morales, 	et hicorum media est interuirtutes morales 	22
28	et intellectuales; computari tamen potest cum virtutibus moralibus: 	et intellectuales: |computaritamen potest 	23|24
29	nam Prudentia non est nisi in hominibus bonis, 	cum uirtutibus moralibus :naz prudentia non est nisi in hominibus bonis: 	25
30	sicut nec virtutes morales: praui enim homines 	sicut nec uirtut es morales: |praui enim homines 	26|27
31	et si possunt esse scientes, 	et si possunt esse scienres astuti 	28
32|33	astuti, et versipelles; |prudentes tamen esse non possunt, 	et uer sipelles. prudent estamen esse non possinit 	29
34	ut suo loco patebit. 	ut suo los copatebit 	30
35	Inde est ergo quod dicitur 6 Ethic’ 	.Inde est ergo |quod dicitut .ui.ethi 	31|32
36|37	quod impossibile est prudentem esse non existentem bonum. |Dimissis ergo virtutibus huiusmodi intellectualibus, 	et corum quod impossibile est prudentem esse non er nonrem bonum. Dimissis ergo uirtutibus buius modi initellectualibus 	33
38	ut dimissis scientiis speculatiuis, 	:ut dimissis scientiis speculatiuis: 	34
39	de prudentia, 	de prudentia: 	35
40|41	et de virtutibus moralibus est tractandum. Suscepimus enim (ut pluries diximus) |praesens opus, 	et de yirtutibus . moralibus est tractandum. Suscepimus enim ut pluries dicimus presens opus non ut sciamus 	36
42	non ut sciamus, 		
43	sed ut boni fiamus: 	sed ut boni fiamus 	37
44	quae bonitas, 		
45|46	sine prudentia et virtutibus moralibus, |nobis in esse non potest. Has autem virtutes, 	:que bonitas sine prudentia et yirtutibus moralibus nobis inesse non perot est Has auteni uirtutes in in rellectu 	38
47|48	in intellectu, et appetitu sic esse contingit. Dictum est enim, |virtutem esse aliquid 	et appetitu sic esse coutingit dictum est enim uit tutem esse aliquid 	39
49	secundum rationem: 	secundum rationem : 	40
50	oportet ergo esse rationalem potentiam, in qua potest esse virtus. 	oportet etgo esse rationalem potentiam in qua potest esseuirtus 	41
51|52	Rationale autem duplex est secundum Philosophum, |per essentiam, 	.Rationale autem duplex est sederm philos ophumper essentiam 	42
53	et per participationem. 		
54|55	Intellectus autem est rationalis per essentiam. |Appetitus vero per participationem. 	et per participationez Intellectus aurem est rationalis per essentiaz Appetitus uero per participationem 	43
56|57	Nam appetitus licet non sit ipse intellectus, |vel ipsa ratio essentialiter, 	:nam apperitus licet non sit ipse intellectus uel in psaratio essenti aliter. dicitur tamen participarerastionem: 	44
58|59	dicitur tamen participare rationem, |quia est aptus natus rationi obedire. Potentiae autem naturales, et sensus, 	quia est aptus natus rationiobe dire. Porentie autem naturales et sensus: 	45
60	nec sunt rationales per essentiam, 	nec sunt tationalespenessentiam 	46
61	quia non sunt ipsa ratio: 	quia non sunt ipsa ratio: 	47
62	nec ratione participant, 	nec ratione participant 	48
63	quia per se, 	quia per se et scderm 	49
64	et secundum quod huiusmodi non obediunt rationi. Igitur in sensibus, 	quod huius mo di non obediunt rationi. Igitin sensibus 	50
65	et in potentiis naturalibus 	et in potentiis natur alibus 	51
66	(ut supra dicebatur) 	ut fupradicebatur 	52
67	non habent esse virtutes, 	non habent esse uirtuites 	53
68	sed solum esse habent in intellectu, et appetitu. In nobis autem duplex est appetitus, 	:sed solum esse habent in intellectu et appetiris |ue In nobis autem duplex est appetitus. intellectiuus 	54|55
69	intellectiuus, 		
70|71	et sensitiuus. |Nam sicut appetitus naturalis sequitur formam naturaliter adeptam, 	et sensifiuns. Hamnsi eur appetitus nacuralls sequitur formam natura liter 	56
72|73	sic appetitus cognitiuus sequitur formam per cognitionem apprehensam. |Sicut enim grauia, 	adeptam:sie apperitus cognitiuus sequitur foram pemt cognitionem apprehensam. Sicur eniz grauiaex eo. 	57
74|75	ex eo quod habent formam grauis, |sequitur ea quaedam naturalis inclinatio, 	quod habent formam grauis: fequitur ea qͣdam naturalins inclinatio 	58
76	et quidam appetitus naturalis, 	et quidam appetitus naturalis 	59
77	ut naturaliter desiderent esse deorsum: 	ut naturaliper desiderent esse deorsuz sic babentia cognitionem pio 	60
78|79	sic habentia cognitionem prout habent in seipsis formam apprehensam, |sequitur quaedam inclinatio, 	ut habentln selpsis formam appiehensam sequiturque dam melinatio 	61
80|81	et quidam appetitus |secundum formam illam. 	et quidam appetitus scderm formamillam: 	62
82	Propter quod sicut in nobis duplex est cognitio, sensitiua, et intellectiua: 	propter |quod sicur in nobis duplex est coguitio sensitiia et intellectiua: 	63|64
83|84	sic etiam est in nobis duplex appetitus, |videlicet, 	sie 	65
85|86	sensitiuus, |qui sequitur formam apprehensam per sensum: 	etiam est in nobis duplex appetitus yidelicet sensitiuusqsequitur formam apprehensam per sensum 	66
87	et intellectiuus, 	:et intellectiuus 	67
88	qui sequitur formam apprehensam per intellectum. Appetitus autem sensitiuus duplex est. 	qui sequitur formami apprehens az per intellectum : |Alppetitus autem sensitiuus duplex 	68|69
89	Nam cum animalia sint supra inanimata, 	est.Nam cum an ualia sint supramanimatasi notur ae lementis 	70
90	si natura elementis 	et rebus 	71
91|92	et rebus inanimatis dedit duplicem potentiam, |unam per quam tendunt in propriam quietem, 	inanima.tis dedit duplicem potentiam unam per quantendunt in pro priam quietem 	72
93	et aliam per quam resistunt, 	et aliam per quanresistunt 	73
94|95	et agunt in prohibentia, et in contraria: |multo magis hanc duplicem potentiam natura dedit ipsis animalibus, 	et agunt in prohibentia et in contraria multo magis hane duplicem potentiam natutadedit ipsis animalibus que sunt perfectio .raillis 	74
96	quae sunt perfectiora illis. Videmus enim quod ignis naturaliter est calidus, 	.Cidemus enim quod ignis natur alirer encalidus 	75
97	et leuis per leuitatem autem tendit in locum proprium, 	et leuis per le uitatem aurem tendit in locum proprium 	76
98	et in quietem sibi conuenientem: 	et in qui etem sibi conuenientem 	77
99	per caliditatem vero agit in contraria: 	:per caliditatem uero agit in 	78
100	ne ergo ignis per quaecunque contraria agentia impediretur, 	contratia:ne ergo iͥgnis per que cunq contraria agentia impedireturne 	79
101	ne per leuitatem in proprio loco quiesceret, 	per leuitatem in proprio loco 	80
102	dedit ei natura potentiam calefactiuam, 	qui esceret dedit ei natur |a potentiam cale factiua zut 	81|82
