0|1	Ostenso, |quod nec in potentiis naturalibus, 	STEN SO quod nec in potentus naturalibus 	0
2	nec in sensibus habent esse virtutes: 	nec in sensibus habent ess e uirtut 	1
3|4	restat ostendere, |quomodo distinguuntur virtutes, 	es.R est at ostendere quo modo distinguuntur uirtut es: 	2
5	et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 	et quo modo in appetitu |et in intellectu existunt. 	3|4
		Distinguendum est igit de uirturibus 	5
6|7	et de huiusmodi potentiis: |nam virtutum quaedam sunt intellectuales, 	et de hmo di potentiis: nan uirtutum quaedam sunt intellectuales: 	6
8	quaedam morales, 	quaed anmotales: 	7
9	quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, 	quad anmediae inter intellectuales et motales. 	8
10|11	cuiusmodi sunt scientiae speculatiuae, |ut naturalis Philosophia, 	Uictut es intellectuales dicuntur illae quae sunt in intellectus peculatiuocuius monin sunt lcientia especulatiua eiut naturalis philos ophia geometeia: 	9
12|13	Geometria, Metaphysica, |et caetera talia. 	met haphisica et caterat alia. 	10
14	Virtutes vero simpliciter morales sunt illae, 		
15	quae sunt in appetitu, 		
16|17	siue appetitus ille sit sensitiuus, |siue intellectiuus, 	Uirtutes ueros impliciter morales sunt illaeque sunt in appetitusiue appetitus ille sit sensitiuus: siue intellectiuus: 	11
18|19	cuiusmodi sunt Iustitia, |Temperantia, Fortitudo, 	cuius modi autem suntiustitia temperantia: fortitud ormansue tudo. 	12
20|21	Mansuetudo, |et caetera talia, 	et cater at aliade quibus sumus singularitertractaturi. 	13
22	de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, 	Uirtutes autem media inter intellectuales 	14
23	sunt virtutes existentes in intellectu practico, 	et mora les sunt uictut es existentes in in. |tellectu practico 	15|16
24	ut Prudentia, 	ut prudentia 	17
25	et aliae virtutes sibi annexae. Prudentia autem, 	et alia uirtut essibi annexa. |Prudentia autem 	18|19
26	secundum Commentatorem super libris Ethicorum, 	secundum conmentatorem superlibris 	20
27	media est inter virtutes morales, 	et hic orom media est interuirtut es morales et intellectuales: 	21
28	et intellectuales; computari tamen potest cum virtutibus moralibus: 	conputaritamem pot est cum uirtutibus moralibus 	22
29	nam Prudentia non est nisi in hominibus bonis, 	:nan prudentia non est nisi in honoribus bonis: 	23
30	sicut nec virtutes morales: praui enim homines 	sicot nec uirtut es morale s: |prauin.n. homines 	24|25
31	et si possunt esse scientes, 		
32|33	astuti, et versipelles; |prudentes tamen esse non possunt, 	et sipnont esse scientes ast uti et uer sipelles. Prudent estamen esse non possant 	26
34	ut suo loco patebit. 	ut suo locopatebit 	27
35	Inde est ergo quod dicitur 6 Ethic’ 	.Inde est ergo quod dicitur.℥. |et hicorum 	28|29
36	quod impossibile est prudentem esse non existentem bonum. 	quod impossibile est prudentem ess e non ex non tem bonum. 	30
37	Dimissis ergo virtutibus huiusmodi intellectualibus, 	Dimissis ergo uirtutibus huius modi intellectua libus 	31
