A	B
0|1	0
2	1
3	2
4	3
5	4
6|7	5
8	6
9	7|8
10|11	9
12|13	10
14|15	11
16|17	12
18	
19|20	13
21|22	14
23	15|16
24|25	17
26	18
27	19
28	20
29	21
30	22|23
31	24
32	25
33	26
34	27|28
35	29
36	30
37|38	31
39	
40|41	32
42|43	33
44	34
45|46	35
47|48	36
	37
49|50	38
51	39
52	40|41
53|54	42
55	43
56	44
57	45
58|59	46
60	47|48
61	49|50
62|63	51
64|65	52
66	53
67	54
68	55
69|70	56
71	
72	57|58
73|74	59
75	60
76|77	61
78	62
79	63|64
80|81	65
82	66
83|84	67
85|86	68
87|88	69
89|90	70
91|92	71
93	72
94|95	73
96	74
97|98	75
99	76
100|101	77
102	78
103|104	79
105	80
106	
107|108	81
109	82
110|111	83
112	
113	84
114	85
115|116	86
117	
118	
119	
120	
121	
122|123	87
124|125	88
126	
127	
128	89
129	90
130|131	91
132|133	92
134|135	93
136|137	94
138|139	95
140	
141	96
142|143	97
144	98
145|146	99
147	100|101
148	102
149|150	103
151|152	104
153	105
154	106
155|156	107
157|158	108
159|160	109
161|162	110
163|164	111
165|166	112
167	113
168	
169	
170|171	114
172|173	115
174|175	116
176|177	117
178	
179|180	118
181	
182	
183|184	119
185	120|121
186|187	122
188	123
189	124|125
190	126
191	127
192|193	128
194	129
195|196	130
197	131|132
198|199	133
200	134
201	135
202|203	136
204|205	137
206	
207|208	138
209|210	139
211	140
212|213	141
214	142
215	143
216	144
217|218	145
219	
220|221	146
