A	B
0|1	0
2	1|2
3|4	3
5	4
6|7	5
8	6
9	7|8
10	9
11|12	10
13|14	11
15|16	12
17|18	13
19|20	14
21	15
22|23	16
24|25	17
26|27	18
28	19
29|30	20
31	21
32|33	22
34|35	23
36	24
37|38	25
39|40	26
41	
42|43	27
44	28
45	29
46	30
47	31
48	32
49|50	33
51	34
52	35
53|54	36
55	37
56	38
57	39|40
58	41
59	42
60	43
61|62	44
63|64	45
65|66	46
67	47
68	48
69	49
70|71	50
72	51
73|74	52
75|76	53
77	54
78	55
79	56|57
80	58
81	59
82|83	60
84|85	61
86|87	62
88	63
89|90	64
91	65
92|93	66
94	67
95	68
96|97	69
98	70
99	71
100|101	72
102	73
103|104	74
105	75|76
106	77
107|108	78
109	
110|111	79
112|113	80
114|115	81
116|117	82
118	
119|120	83
121|122	84
123	
124|125	85
126|127	86
128|129	87
130	88
131	89|90
132|133	91
134|135	92
136	93
137|138	94
139	
140	
141	95
142	
143|144	96
145	97
146	98
147	99
148	100
149	101
150	102
151|152	103
153	104
154|155	105
156|157	106
158	107|108
159|160	109
161	
162|163	110
164	111
165|166	112
167|168	113
169	
170	
171	
172	114
173|174	115
175|176	116
177|178	117
179	118
180	119
181|182	120
183|184	121
185	122
186|187	123
188|189	124
190|191	125
192|193	126
194	
195|196	127
197	128|129
198|199	130
200|201	131
202	
203|204	132
205|206	133
207	
208	
209|210	134
211|212	135
213	136
214	137
215|216	138
217	139
218|219	140
220|221	141
