A	B
0|1	0
2	1
3	2|3
4	4
5	5
6	6
7	
8|9	7
10	8
11	
12	
13|14	9
15	
16|17	10
18	
19|20	11
21|22	12
23|24	13
25	
26|27	14
28	
29	15
30	16|17
	18
31|32	19
33|34	20
35|36	21
37	
38|39	22
40	
41|42	23
43|44	24
45	25
46	26
47|48	27
49|50	28
51|52	29
53	
54|55	30
56	31
57|58	32
59	33|34
60	35
61	36|37
62	38
63|64	39
65	40
66|67	41
68	
69|70	42
71|72	43
73|74	44
75	45
76	46
77	47
78	48
79|80	49
81	50
82	51
83|84	52
85|86	53
87|88	54
89|90	55
91	
92|93	56
94	57
95	58
96	
97	59|60
98	61
99|100	62
101|102	63
103|104	64
105	65
106	66
107|108	67
109	
110|111	68
112	69
113	70
114	71
115	72
116|117	73
118|119	74
120	75
121|122	76
123	77
124	78|79
125	80
126|127	81
128	82
129|130	83
131	84
132|133	85
134	86|87
135	88
136|137	89
138|139	90
140	
141	
142	
143|144	91
145	92
146	93
147|148	94
149	95
150	96
151|152	97
153	98
154|155	99
156	
157	
158|159	100
160|161	101
162	
163	
164	
165|166	102
167	103
168|169	104
170	105
171	106|107
172	108
173|174	109
175|176	110
177|178	111
179	112|113
180	114
181	115
182	116
183|184	117
185	118|119
186|187	120
188|189	121
190	
191	
192|193	122
194|195	123
196	124
197	125|126
198	127
199	128
200	129
201	130
202|203	131
204	132
205	133
206|207	134
208|209	135
210|211	136
212	
213|214	137
215|216	138
217|218	139
219|220	140
221	
