A	B
0|1	0
2	1|2
3	3
4	4
5|6	5
7|8	6
9	7|8
10	9
11	10
12|13	11
14	
15	12|13
16|17	14
18|19	15
20	16
21	17
22	18
23	19
24	20|21
25	22
26	23
27	24|25
28	26
29	27
30	28|29
31	30
32	31
33	32
34	33|34
35	35
36	36|37
37|38	38
39|40	39
41|42	40
43|44	41
45	42
46|47	43
48	44
49|50	45
51|52	46
53	47
54|55	48
56	49
57	50|51
58	52
59	53
60|61	54
62|63	55
64	56
65	57
66	58
67	59
68	60
69	61
70	62
71	63
	64
72|73	65
74|75	66
76	67
77	68
78	69
79	70|71
80	72
81	73
82	74
83	75|76
84|85	77
86	78
87|88	79
89	80|81
90	82
91	83
92|93	84
94	85|86
95	87
96	88
97	89|90
98	91
99	92
100|101	93
102	94
103|104	95
105	96|97
106	98
107|108	99
109	100
110|111	101
112	102
113|114	103
115	104
116	105
117|118	106
119	107
120|121	108
122	109
123	110
124	111|112
125	113
126|127	114
128	115
129	116
130|131	117
132	118
133	119
134	120|121
135	122
136	123
137	124
138	125
139	126
140|141	127
142|143	128
144	129|130
145	131|132
146	133
147|148	134
149	135
150	136
151|152	137
153	138
154	139
155|156	140
157	141
158	142
159	143
160	144
161|162	145
163	146
164	147
165	148
166	149
167	150
168	151
169	
170|171	152
172	
173	153
174	154
175|176	155
177|178	156
179	157
180	158
181	159
182	160
183|184	161
185	162|163
186	164
187	165
188	166|167
189|190	168
191|192	169
193|194	170
195|196	171
197	172
198	173
199	174
200	175
201|202	176
203|204	177
205	178
206	179
207|208	180
209|210	181
211|212	182
213	183
214	184
215|216	185
217|218	186
219|220	187
221	188
