A	B
0	0
1	1
2	2|3
3	4
4	5
5	6|7
6	8
7	9
8	10
9	11|12
10	13
11|12	14
13|14	15
15	16
16|17	17
18	
19	18
20	19
21|22	20
23	21|22
24|25	23
26	24
27|28	25
29	26
	27
30	28|29
31	30|31
32	32
33	33
34	34|35
35	36
36	37|38
37|38	39
39	
40|41	40
42|43	41
44|45	42
46|47	43
48	44
49|50	45
51|52	46
53|54	47
55	48|49
56	50
57	51|52
58	53
59	54
60	55|56
61	57
62|63	58
64|65	59
66	60
67|68	61
69	62
70	63
71	64
72	65
73	66
74|75	67
76	68
77	69
78	70
79	71
80	72
81|82	73
83	74|75
84|85	76
86	77
87	78
88	79
89	80
90|91	81
92|93	82
94	83|84
95	85
96	86
97	87
98	88|89
	90
99	91
100|101	92
102	93
103|104	94
105	95|96
106	97
107|108	98
109	99
110|111	100
112	
113	101
114	102
115	103
116|117	104
118	
119	105|106
120|121	107
122	108|109
123	110
124	111
125	112
126|127	113
128	114
129	115
130	116
131	117|118
132	119
133|134	120
135	121
136	122
137|138	123
139	124
140	125|126
141	127|128
142	129
143	130
144	131|132
145	133
146	134
147|148	135
149	136|137
150	138
151	139|140
152	141
153	142
154|155	143
156	144
157|158	145
159|160	146
161	147
162	148
163	149
164	150
165	151
166|167	152
168	153
169	154
170|171	155
172|173	156
174|175	157
176	158
177	159|160
178|179	161
180	162
181	163
182	164
183	165
184|185	166
186	167
187	168|169
188|189	170
190	171
191	172
192	173
193	174|175
194	176
195|196	177
197	178|179
198	180
199|200	181
201|202	182
203|204	183
205	
206	184
207|208	185
209|210	186
211	187
212	188
213	189|190
214	191
215|216	192
217	
218|219	193
220	194
221	195
