A	B
0|1	0
2	1|2
3	3
4	4
5	5|6
6	7
7	8
8	9
9|10	10
11|12	11
13|14	12
15	13|14
16|17	15
18|19	16
20|21	17
22	
23	
24|25	18
26|27	19
28	20
29	21
30	22
31|32	23
33	24
34	25
35	26
36	27
37	28
38|39	29
40|41	30
42|43	31
44	
45	32
46	
47|48	33
49|50	34
51	
52|53	35
54|55	36
56	37
57	38|39
58|59	40
60|61	41
62|63	42
64	43
65	44
66	45
67	46
68	47
69	48
70|71	49
72	50|51
73|74	52
75	53
76	54
77	55
78	56
79	57
80	58
81	59
82|83	60
84	61
85|86	62
87|88	63
89|90	64
91	
92|93	65
94	66
95	
96|97	67
98	68
99	69
100|101	70
102	71
103|104	72
105	73
106	74
107|108	75
109	76
110	77
111	78
112|113	79
114|115	80
116	81
117|118	82
119|120	83
121	84
122|123	85
124|125	86
126|127	87
128	88
129|130	89
131|132	90
133	91
134|135	92
136|137	93
138|139	94
140|141	95
142	
143	
144|145	96
146|147	97
148|149	98
150	99
151|152	100
153	101
154|155	102
156	
157	
158	
159|160	103
161	104
162	
163	
164	
165	
166|167	105
168|169	106
170|171	107
172|173	108
174	109
175|176	110
177|178	111
179	112
180	113
181	114
182	115
183	116
184	117
185	118|119
186|187	120
	121
188|189	122
190	123
191	124
192	125
193	126|127
194	
195|196	128
197	129
198|199	130
200	131
201	132
202|203	133
204|205	134
206|207	135
208|209	136
210	
211	
212	
213	
214	137
215	138|139
216	140|141
217|218	142
219|220	143
221	144
