A	B
0	
1|2	0
3	
4|5	1
6	2
7|8	3
9	4
10	5
11|12	6
13	7
14	8
15	9|10
16|17	11
18	12
19	13
20|21	14
22	15
23	16|17
24|25	18
26|27	19
28|29	20
30	21
31	22
32|33	23
34	24
35|36	25
37	26
38	27
39	28|29
40|41	30
42|43	31
44	32|33
45	34
46	35
47	36
48|49	37
50|51	38
52	39
53	40|41
54	42
55	43|44
56	45|46
57|58	47
59	48
60	49
61|62	50
63|64	51
65	52|53
66	54|55
67	56
68|69	57
70	58|59
71	60
72	61
73	62|63
74	64|65
75	66
76|77	67
78|79	68
80	69
81|82	70
83	71|72
84|85	73
86|87	74
88	75
89	76|77
90|91	78
92	79|80
93	81
94	82
95|96	83
97	84
98	85|86
99	87
100|101	88
102	89
103	90
104	91|92
105	93
106	94
107|108	95
109	96
110	97
111	98|99
112	100
113|114	101
115	102|103
116	104
117|118	105
119	106
120	107
121	108
122	109
123	110|111
124	112|113
125	114|115
126|127	116
128	117
129	118
130	119
131	120|121
132	122|123
133|134	124
135	125
136	126
137	127
138|139	128
140|141	129
142	130
143	131
144|145	132
146|147	133
148	134
149	135|136
150|151	137
152|153	138
154|155	139
156|157	140
158|159	141
160	142
161|162	143
163	144
164|165	145
166	146
167	147
168|169	148
170|171	149
172	150
173|174	151
175	152
176|177	153
178	154|155
179	156
180	157
181|182	158
183	159
184|185	160
186|187	161
188	
189|190	162
191|192	163
193|194	164
195	165
196|197	166
198	167|168
199|200	169
201	170
202|203	171
204	172
205	173|174
206|207	175
208	176
209|210	177
211|212	178
213	179
214|215	180
216|217	181
218	182
219	183
220|221	184
