0|1	Ostenso, |quod nec in potentiis naturalibus, 	stenso quod nec in pos naturalibus . 	0
2	nec in sensibus habent esse virtutes: 	appetitum nec in sensibus habent 	1
3	restat ostendere, 	esse uirtutes restat 	2
4	quomodo distinguuntur virtutes, 	ostendere quomodo distiguntur iltutes . 	3
5	et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 	quomodo in incllcum . appetitu existuntum distin guendum est ergo de uirtutibus . 	4
6|7	et de huiusmodi potentiis: |nam virtutum quaedam sunt intellectuales, 	de huius ponum nam uirtutum quedam sunt intellectuanes 	5
8	quaedam morales, 	quedam morales quedam medie 	6
9	quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, 	inter intullacunes .morales uirtutes intellectuanes dun⟩ illeque sunt |in intellcum speculatiuo 	7|8
10|11	cuiusmodi sunt scientiae speculatiuae, |ut naturalis Philosophia, 	cuius modi scitie sunt speclatiue 	9
12|13	Geometria, Metaphysica, |et caetera talia. Virtutes vero simpliciter morales sunt illae, 	ut naturalis pheria geo metriu metha cceteratalia uirtutes uosimpri morales sunt ille que sunt in appetitum sum appetitus ile sit sensiters sum intellectiuus 	10
14|15	quae sunt in appetitu, |siue appetitus ille sit sensitiuus, siue intellectiuus, 	cuimodi 	11
16|17	cuiusmodi sunt Iustitia, |Temperantia, Fortitudo, 	a sunt sticia tem pantuam fortitudo mansuetudo acetam 	12
18	Mansuetudo, 		
19|20	et caetera talia, |de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, 	talia de quibus sumus singliter tractaturi uirtutes a medie 	13
21|22	sunt virtutes existentes in intellectu practico, |ut Prudentia, 	inter inallcunales mmorales sunt uirtutes exintes in mallcum practico 	14
23	et aliae virtutes sibi annexae. Prudentia autem, 	ut pridentia talie uirtutes |sibi aunexe pradeucia autem 	15|16
24|25	secundum Commentatorem super libris Ethicorum, |media est 	secundum commentatorem super lib etbus media est 	17
26	inter virtutes morales, 	inter uirtutes morales . 	18
27	et intellectuales; computari 	intullacunes computari 	19
28	tamen potest 	tum potest 	20
29	cum virtutibus moralibus: 	cum uirtutibus moralibus 	21
30	nam Prudentia non est nisi in hominibus bonis, 	nam prudentia non mem |nisi hominibus bouis 	22|23
31	sicut nec virtutes morales: praui enim homines 	sicut nec uirtutes morales praui non homines . 	24
32	et si possunt esse scientes, 	si possent esse scientes hastuti . 	25
33	astuti, et versipelles; 	uersi pelles prudentes 	26
34	prudentes tamen esse non possunt, 	tum esse |non possunt 	27|28
35	ut suo loco patebit. 	ut suo loco patebit inde egnes 	29
36	Inde est ergo quod dicitur 6 Ethic’ 	quod dicitur euinodo ethos 	30
37|38	quod impossibile est prudentem esse non existentem bonum. |Dimissis ergo virtutibus 	quod imperp . etie est pridentem esse non entem bonum ue omissis igitur uirtutibus intellacunalibi . 	31
39	huiusmodi intellectualibus, 		
40|41	ut dimissis scientiis speculatiuis, |de prudentia, 	diumissis scus speculatiuis de prudentia . 	32
42|43	et de virtutibus moralibus est tractandum. Suscepimus enim (ut pluries diximus) |praesens opus, 	de uirtutibus moralibus esse tractandere suscepimo n ut pluries diximus opus 	33
44	non ut sciamus, 	ut non sciamus niut 	34
45|46	sed ut boni fiamus: |quae bonitas, 	boni fiamus que bouitas sum 	35
47|48	sine prudentia et virtutibus moralibus, |nobis in esse non potest. Has autem virtutes, 	pridentia ununtu tibi moralibus nobis inesse non potest has autem uirtutes 	36
		inintellectu . 	37
49|50	in intellectu, et appetitu sic esse contingit. Dictum est enim, |virtutem esse aliquid 	appetitu sic esse contmgite dictum est non uirtutem esse 	38
51	secundum rationem: 	ad secundum ronem 	39
52	oportet ergo esse rationalem potentiam, in qua potest esse virtus. 	or igituresse ronalem potentiam |in qua pouit esse uirtus ronale autem duplet est 	40|41
53|54	Rationale autem duplex est secundum Philosophum, |per essentiam, 	secundum philos per essentiam . 	42
55	et per participationem. Intellectus autem est rationalis per essentiam. 	per participatonem intellectus a est ronalis 	43
56	Appetitus vero per participationem. 	per essentiam appetitus uo per participationem 	44
57	Nam appetitus licet non sit ipse intellectus, 	nam appetitus lici non sit ipse intellectus 	45
58|59	vel ipsa ratio essentialiter, |dicitur tamen participare rationem, 	uel ipsa ratio essentialiter diciturtum participare rone 	46
60	quia est aptus natus rationi obedire. Potentiae autem naturales, et sensus, 	quare est aptus |natus romi obe. 	47|48
