0|1	Ostenso, |quod nec in potentiis naturalibus, 	stenso quod nec in pos naturalibus 	0
2	nec in sensibus habent esse virtutes: 	nec in sensibus habent |esse uirtutes 	1|2
3|4	restat ostendere, |quomodo distinguuntur virtutes, 	restatostendere quomodo uirtutes distinguntur. 	3
5	et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 	quomodo in intellectu appetitu existunt est autem distinguendum de uirtutibus 	4
6|7	et de huiusmodi potentiis: |nam virtutum quaedam sunt intellectuales, 	.de huius po nam uirtutum quedam stima intellectuales quedam morales 	5
8	quaedam morales, 	quamdem medie 	6
9	quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, 	inter intellectuales . |morales intellectuales dicuntur 	7|8
10	cuiusmodi sunt scientiae speculatiuae, 	que sunt in intilectu speculatiuo 	9
11|12	ut naturalis Philosophia, |Geometria, Metaphysica, 	cuius sunt scine speculatiue 	10
13|14	et caetera talia. Virtutes vero simpliciter morales sunt illae, |quae sunt in appetitu, 	ut naturalis philosophia geome tria menthantia cicta talia uirtutes uerosimpliciter morales dicuntur ille que sunt in appetitu 	11
15|16	siue appetitus ille sit sensitiuus, siue intellectiuus, |cuiusmodi sunt Iustitia, 	siue ille sit intellectiuus sum sensitiuusclius sunt iustitiam tenperantiam fortio manon . 	12
17|18	Temperantia, Fortitudo, |Mansuetudo, 	talia 	13
19|20	et caetera talia, |de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, 	de quibus sunus simpliciter tractaturus uirtutes autem medie 	14
21	sunt virtutes existentes in intellectu practico, 	inter istas suntexintes 	15
22|23	ut Prudentia, |et aliae virtutes sibi annexae. Prudentia autem, 	in intellectu pratico ut prudentiam . alie uirtutes sibi annexe prudentiam autem 	16
24|25	secundum Commentatorem super libris Ethicorum, |media est 	secundum comum super liciter ethos media est 	17
26|27	inter virtutes morales, |et intellectuales; computari 	inter uirtutes morales . intellectuales potest 	18
28	tamen potest 	tamen computari 	19
29|30	cum virtutibus moralibus: |nam Prudentia non est nisi in hominibus bonis, 	cum uirtutibus moralibusam prudentia non in hominibus bonis 	20
31	sicut nec virtutes morales: praui enim homines 	sicut nec uirtutes moralere pruui enim homines . 	21
32|33	et si possunt esse scientes, |astuti, et versipelles; 	si post esse scientes astutiu . uersipelles tamen prudentesesse 	22
34|35	prudentes tamen esse non possunt, |ut suo loco patebit. 	non post ut suo loco pareb ue inem est ergo 	23
36	Inde est ergo quod dicitur 6 Ethic’ 	quod dum eui etho 	24
37|38	quod impossibile est prudentem esse non existentem bonum. |Dimissis ergo virtutibus 	quod inpo utur est prudentem 	25
39|40	huiusmodi intellectualibus, |ut dimissis scientiis speculatiuis, 	esse non entem bononem dimissis igitur uirtutibus intellectuus . scinis speculatiuis deprudentia . 	26
41	de prudentia, 		
