0|1	Ostenso, |quod nec in potentiis naturalibus, 	in potenciis nanilibus 	0
2	nec in sensibus habent esse virtutes: 	nec insensibus habent 	1
3|4	restat ostendere, |quomodo distinguuntur virtutes, 	esse uirtutes restatostendere quomodo distinguntur uirtutes . 	2
5	et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 	quomodo in intellectu . appetitu existunt distinguendum est ergo de uirtutibus . 	3
6	et de huiusmodi potentiis: 	de huius potenciis 	4
7|8	nam virtutum quaedam sunt intellectuales, |quaedam morales, 	nam uirtutum quedam sunt intellentuales quedam morales quedam 	5
9|10	quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, |cuiusmodi sunt scientiae speculatiuae, 	medie interintellectuales . moralessuitutes intellectuales dicuntur inlle que sunt inintellectu speculatiuo 	6
11|12	ut naturalis Philosophia, |Geometria, Metaphysica, 	cuius modi sunt scine speculatiue uut naturalis pobentia geometria mechaphicapio . 	7
13|14	et caetera talia. Virtutes vero simpliciter morales sunt illae, |quae sunt in appetitu, 	cetera talia uirtutes uerosimplicer morales sunt ille que sin appetitu 	8
15	siue appetitus ille sit sensitiuus, siue intellectiuus, 	siue appetitus ille sit sensitiuus siue intellectiuus 	9
16|17	cuiusmodi sunt Iustitia, |Temperantia, Fortitudo, 	cuiusmodi autem sunt uisticia tenperantia fortiqeu o mansue ae o 	10
18	Mansuetudo, 	et ceta talia de quibus sumus singulariter tractaturs 	11
19	et caetera talia, 	ututes autem medie 	12
20|21	de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, |sunt virtutes existentes in intellectu practico, 	inter intenllectuales .morales sunt ututes exintes inintellectu 	13
22|23	ut Prudentia, |et aliae virtutes sibi annexae. Prudentia autem, 	ut pratencia . alie uirtutes sibri amuxtem predencia 	14
24|25	secundum Commentatorem super libris Ethicorum, |media est 	an secundum conuicatorem super librum echocus media est 	15
26	inter virtutes morales, 	inter uirtutes morales . 	16
27	et intellectuales; computari 	intellectuales computari 	17
28|29	tamen potest |cum virtutibus moralibus: 	tamen potest cum ututibus moralibet 	18
30	nam Prudentia non est nisi in hominibus bonis, 	nam prudencia |non mestnon 	19|20
31	sicut nec virtutes morales: praui enim homines 	hominibus bonis sicut |nec uirtutes morales praui eii homines 	21|22
32|33	et si possunt esse scientes, |astuti, et versipelles; 	et si possent esse scientes astuti cem scientes astuti i scipelles uersi pelles prudentes 	23
34	prudentes tamen esse non possunt, 	tamenesse |non possunt 	24|25
35	ut suo loco patebit. 	ut suo locopatebite inde est ergo 	26
36	Inde est ergo quod dicitur 6 Ethic’ 	quod dicitur eui echocus 	27
37	quod impossibile est prudentem esse non existentem bonum. 	quodinpol etie est prudentem esse |non entem dem bonum . 	28|29
38|39	Dimissis ergo virtutibus |huiusmodi intellectualibus, 	dimissis igitur mnaturatutibus intellectualibus . 	30
40	ut dimissis scientiis speculatiuis, 	dimissis sciis speculatiuis 	31
41	de prudentia, 	de prendencia . 	32
42|43	et de virtutibus moralibus est tractandum. Suscepimus enim (ut pluries diximus) |praesens opus, 	deuertutibus moralibus est tractandum suscepimus nut pluries diximus prosens opus ut non sciamus 	33
44	non ut sciamus, 		
45|46	sed ut boni fiamus: |quae bonitas, 	sed ut boni fiamusque bonitas sine prudencia . 	34
47	sine prudentia et virtutibus moralibus, 		
48|49	nobis in esse non potest. Has autem virtutes, |in intellectu, et appetitu sic esse contingit. Dictum est enim, 	uirtutibus moralibus nobis inesse non potestas autem uirtutesinintellectu . appetitu sic esse contingit dccum est non uirtutem esse a did sensi ronum 	35
50	virtutem esse aliquid 	oportet ergo esse rannalem potentiam 	36
51|52	secundum rationem: |oportet ergo esse rationalem potentiam, in qua potest esse virtus. 	in qua ponitur esse uirtus ronnale autem duplex est 	37
