0	Ostenso, 	odetenso 	0
1	quod nec in potentiis naturalibus, 	quod nec in potenciis naturalibus 	1
2	nec in sensibus habent esse virtutes: 	nec in sensibus habent |esse uirtutes 	2|3
3	restat ostendere, 	restat ostendere 	4
4	quomodo distinguuntur virtutes, 	quo modo distinguntur uirtutes 	5
5	et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 	et quomodo in intellectu et appetitu sexistunt . |distinguendum est de uirtutibus 	6|7
6	et de huiusmodi potentiis: 	et hiis potenciis 	8
7	nam virtutum quaedam sunt intellectuales, 	nam uirtutum qued sunt intellectuales quedmorales 	9
8	quaedam morales, 	et quedum medie 	10
9	quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, 	inter morales |et intellectuales intellectuales dicuntur ille que sunt in intellectu 	11|12
10	cuiusmodi sunt scientiae speculatiuae, 	speculatiuocinusmodi sunt scine speculatiue 	13
11|12	ut naturalis Philosophia, |Geometria, Metaphysica, 	ut naturalis phina arismetica geometria 	14
13|14	et caetera talia. Virtutes vero simpliciter morales sunt illae, |quae sunt in appetitu, 	et talia uir tutes uero simp liiter morales sunt ille que sunt in appetitu 	15
15	siue appetitus ille sit sensitiuus, siue intellectiuus, 	siue appetitus ille fit sensitimis 	16
16|17	cuiusmodi sunt Iustitia, |Temperantia, Fortitudo, 	siue intellectiuus cimismodi iustida temperantia fortitudo mansuetudo 	17
18	Mansuetudo, 		
19	et caetera talia, 	et cettera talia 	18
20	de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, 	de quibus sumus singulariter trattaturi uirtutes uero medie inter intellectuales et morales sunt uirtutes existentes 	19
21|22	sunt virtutes existentes in intellectu practico, |ut Prudentia, 	in intellectu practicout prudentia 	20
23	et aliae virtutes sibi annexae. Prudentia autem, 	et alie uirtutes |sibi amnex e prudencia emm ss conmentatorem 	21|22
24|25	secundum Commentatorem super libris Ethicorum, |media est 	super librum ethitorum est media 	23
26	inter virtutes morales, 	inter uirtutes morales 	24
27|28	et intellectuales; computari |tamen potest 	et intellettuales tamen potest comparari 	25
29	cum virtutibus moralibus: 	cum uirtutibus moralibus 	26
		nam prudencia 	27
30	nam Prudentia non est nisi in hominibus bonis, 	non dnest |nisi homibus boms 	28|29
31	sicut nec virtutes morales: praui enim homines 	sicut |nec uirtutes mora les sdram enimi honnens 	30|31
32	et si possunt esse scientes, 	et si possit ee scientes astuti 	32
33	astuti, et versipelles; 	et uersipelles 	33
34	prudentes tamen esse non possunt, 	prudentestamen |esse non possunt 	34|35
35	ut suo loco patebit. 	ut suo loco patebite 	36
36	Inde est ergo quod dicitur 6 Ethic’ 	inde est ergo |quod dicitur sexto ethim 	37|38
37|38	quod impossibile est prudentem esse non existentem bonum. |Dimissis ergo virtutibus 	quod impossibile est prudentem non entem homuin. dimisfis igitur uirtutes intellectuales 	39
39	huiusmodi intellectualibus, 		
40|41	ut dimissis scientiis speculatiuis, |de prudentia, 	et saienciis speculatiuis de prudencia 	40
42|43	et de virtutibus moralibus est tractandum. Suscepimus enim (ut pluries diximus) |praesens opus, 	et de uirtutibus inoralibus est trattandum suscepmius enm 	41
44|45	non ut sciamus, |sed ut boni fiamus: 	ut pluries diximus presens opus non ut sciamus sumut boni fiamus que honitas sineprudentia 	42
46|47	quae bonitas, |sine prudentia et virtutibus moralibus, 	et sine uirtutibus moralibus nobis iuesse 	43
48	nobis in esse non potest. Has autem virtutes, 	non potest has autem uirtates intellectu 	44
49|50	in intellectu, et appetitu sic esse contingit. Dictum est enim, |virtutem esse aliquid 	et appetitu 	45
51|52	secundum rationem: |oportet ergo esse rationalem potentiam, in qua potest esse virtus. 	sicesse contingit dictum est enm uirtutem esse aliquidem sgem ronnem oportet ergo ronnalem potenciam 	46
53|54	Rationale autem duplex est secundum Philosophum, |per essentiam, 	in qua pomitur esse uirtus lacionale autem dupplex est ss phem per essentiam 	47
55	et per participationem. Intellectus autem est rationalis per essentiam. 	et per participationem intellectus auten ronnalest |per essentiam med appetituc est rannalis 	48|49
56	Appetitus vero per participationem. 	per participationem 	50
57	Nam appetitus licet non sit ipse intellectus, 	nam apetitus licet |non sit intellectus 	51|52
58	vel ipsa ratio essentialiter, 	siue ipsa ratio essencialit dicitur 	53
59	dicitur tamen participare rationem, 	tamen participare ronnem 	54
60	quia est aptus natus rationi obedire. Potentiae autem naturales, et sensus, 	quare est aytus natus racioni obedire idotentie autemnales |et sensus 	55|56
61	nec sunt rationales per essentiam, 	nec sintt rannales per essetiam 	57
62|63	quia non sunt ipsa ratio: |nec ratione participant, 	quare non sunt ipsa racio nec ronnem participant 	58
64|65	quia per se, |et secundum quod huiusmodi non obediunt rationi. Igitur in sensibus, 	quare per se nec sem quod himusmodi non obediunt ronum igitur in sensibus 	59
66	et in potentiis naturalibus 	et in potenciis naturalibus 	60
67|68	(ut supra dicebatur) |non habent esse virtutes, 	ut supra dictum est non habent esseuirtutes 	61
69	sed solum esse habent in intellectu, et appetitu. 	sed solum habent esse in appetitu 	62
70	In nobis autem duplex est appetitus, intellectiuus, 	et intellectu in nobis autem dupplex est appetitus scilicet intellectiuus 	63
71	et sensitiuus. 	et sensituius 	64
72	Nam sicut appetitus naturalis sequitur formam naturaliter adeptam, 	nam 	65
73	sic appetitus cognitiuus sequitur formam per cognitionem apprehensam. 	sicut appetitus naturalis sequitur formam apprehensam per cognicionem 	66
74|75	Sicut enim grauia, |ex eo quod habent formam grauis, 	sicut enim grama ex eo quod habent formam grauem seguitur 	67
76	sequitur ea quaedam naturalis inclinatio, 	ea quedum naturalis inclinacio 	68
77	et quidam appetitus naturalis, 	et quid appetitus naturalis 	69
78	ut naturaliter desiderent esse deorsum: 	ut naturaliter desiderent esse deorsum 	70
79	sic habentia cognitionem prout habent in seipsis formam apprehensam, 	sic humana cognoscentia 	71
80	sequitur quaedam inclinatio, 	prout habent in se ipsis formam apprehensam sequitur qued inclinacio 	72
81|82	et quidam appetitus |secundum formam illam. 	quid appetitus sensus formam illam propter 	73
83	Propter quod sicut in nobis duplex est cognitio, sensitiua, et intellectiua: 	quod sicut est in nobis dupplex cognicio sensitiua |et intellectiua sic est in nobis dupplex 	74|75
84|85	sic |etiam est in nobis duplex appetitus, 	appetitus sensituus 	76
86	videlicet, sensitiuus, 	et intellectiuus sensitiuus 	77
87	qui sequitur formam apprehensam per sensum: 	qui sequitur formam apprehensam per sensum 	78
88	et intellectiuus, 	et intellectiuus 	79
89	qui sequitur formam apprehensam per intellectum. Appetitus autem sensitiuus duplex est. 	qui sequitur formam apprehensam per intellectum . 	80
90|91	Nam cum animalia sint supra inanimata, |si natura elementis 	appetitus autem sem situius dupplex est nam cum animalia sint supra animata sic natura calidis 	81
92|93	et rebus inanimatis dedit duplicem potentiam, |unam per quam tendunt in propriam quietem, 	et rebus inanimatis dedit dupplicem potenciam unam per quam tendunt in propriam quietem 	82
94	et aliam per quam resistunt, 	et aliam |per quam resistunt 	83|84
95	et agunt in prohibentia, 	et agunt in prohibencia 	85
96	et in contraria: 	et in contraria 	86
97	multo magis hanc duplicem potentiam natura dedit ipsis animalibus, 	multo magis hanc dupplitem potenciam natura dedit ipersis animalibus 	87
98	quae sunt perfectiora illis. Videmus enim quod ignis naturaliter est calidus, 	que sunt perfectiora illise uidemus emin |quod ignis 	88|89
		qui est naturaliter calidus 	90
99	et leuis per leuitatem autem tendit in locum proprium, 	et leuis per leuitatem enim tendit in locum propium 	91
100|101	et in quietem sibi conuenientem: |per caliditatem vero agit in contraria: 	et in quietem sibi conueni entem per caliditatem uero agit in contraria 	92
102	ne ergo ignis per quaecunque contraria agentia impediretur, 	ne ergo ignis 	93
103|104	ne per leuitatem in proprio loco quiesceret, |dedit ei natura potentiam calefactiuam, 	per quecumque agencia contraria impediatur qum per leuitatem in proprio loco quiescere posset dedit ei natura potenciam calefactiuam 	94
105	ut per eam resisteret, et ageret in contraria corruptiua. 	ut per eam resisteret |et ageret in contraria corruptiuiam 	95|96
106	Si ergo igni, 	si igitur natura dedit igni 	97
107|108	et rebus inanimatis natura dedit duplicem potentiam, |unam per quam adipiscuntur propriam quietem, 	et rebus inanimatis dupplicem potentia una per quam adipiscuntur propriam quietem 	98
109	et aliam per quam agunt in prohibentia et contraria: 	et aliam per quam agunt in prohibencia 	99
110|111	multo magis hoc dedit animalibus. |Tribuit ergo eis duplicem appetitum sensitiuum, 	et contraria multo magis hoc dedit animalibus tribint ergo eis dupplicem appetitum sensituium unum per quem prosequuntur propriam quietem 	100
112	unum per quem prosequuntur propriam quietem, 		
113	et propriam delectationem, 	et propriam delectationem 	101
114	ut concupiscibilem: 	ut concupiscenciontem 	102
115	et alium per quem resistunt, 	et alium per quem resistunt 	103
116|117	et aggrediuntur prohibitiua, |ut contraria, 	et aggreduuntur prohibentia contraria ut irascibilem ita 	104
118	ut irascibilem. 		
119	Ita quod concupiscibilis se habet sicut leuitas, 	quod concupiscibilisse habent |sicut grauitas 	105|106
120|121	vel grauitas, |in leuibus, 	et leuitas in grauibus 	107
122	et grauibus. Irascibilis vero se habet quasi caliditas, 	et leuibus irascibilis se habent |sicut caliditas 	108|109
123	vel frigiditas in eis. 	et frigiditas in eis 	110
124	Nam sicut grauia per grauitatem recedunt a loco sursum tanquam a non conueniente, 	nam sicut grauia per grauitatem desi recedunt aloco sursum tam quam a non conueniente 	111
125	et tendunt in locum deorsum tanquam ad locum conuenientem, 	et tendunt in locum deorsum tamquam in locum sibi conuenientem 	112
126|127	et conformem: |per frigiditatem vero resistunt contrariis, 	et conformem per frigiditatem uero re sistunt contrariis 	113
128	ne corrumpantur a propria natura, 	ne corrumpantur a propria natura 	114
129	et deserant propria loca, 	et deserant propria loca 	115
130	et propriam quietem. 	et propriam quietem 	116
131	Sic animalia per concupiscibilem fugiunt mala tristia, 	sic animalia |per concupiscibilem fugunt 	117|118
132	et prosequuntur bona delectabilia. 	mala tristia 	119
133|134	Per irascibilem vero aggrediuntur contraria, |quae possent ea ab huiusmodi delectationibus prohibere. 	et prosequumtur bona delectabilia per irascibilem uero aggredumtur contraria que possent ab huius delectabilibus prohibere 	120
135	Ut Leo per concupiscibilem pergit, 	ut leo per concupiscibilem pergit 	121
136	ut prosequatur cibum 	ut prosequatur cibum 	122
137|138	tanquam quid delectabile: |per irascibilem vero aggreditur animalia illa volentia ipsum prohibere in cibo adepto. 	tanque aliquid delectabilem per irascibilem aggreditur animalia uolencia ipsum prohibere acibo adepto 	123
139	Propter quod bene dictum est, 	et quod hec uirtus sit data anim malibus signum potest adduci 	124
140	quod concupiscibilis respicit bonum, 	quod sensin se offert continue |nam canes 	125|126
141	et malum 	cum inueumt |a limentum non cessant 	127|128
142	secundum se: 	donec posuerint 	129
143	irascibilis vero respicit bonum, 	in occulto 	130
144	et malum inquantum habent rationem difficilis, 	et hoc facunt |ut elongentur ab obstaculo propter quod bene dictum est 	131|132
145	et ardui. Nam cum bonum 	quod concupiscibilis respicit bonum 	133
146	secundum se dicat prosequendum, 	et malum sensum se diascibilis uero respicit bonum 	134
147|148	malum vero quid fugiendum: |concupiscibilis, 	et malum inqued atum habent ronnem difficilis 	135
149	quae secundum se tendit in quietem 	et ardui |nam 	136|137
150	et in bona delectabilia, 	cum bonum sensum se dicat 	138
151	et fugit mala tristia, 	quid prosequendum malum uero |quid fugiendum concupiscibilis 	139|140
152	pro obiecto habet mala, 	sensum se tendit in quuietem 	141
153	et bona sensibilia 	et in bona delectabilia 	142
154|155	secundum se considerata. Irascibilis vero, |secundum quam aggredimur, 	et fugit mala tristia pro obiecto enim habet bona et mala sensum se considerata irascibilis uero sensu quod aggredimur 	143
156	et resistimus prohibentibus, 	et resistimus prohibentibus 	144
157|158	et nociuis, |tendit in bona, et mala sensibilia, 	et nociuis tendit in bona 	145
159|160	non secundum se considerata, |sed ut habent rationem ardui, 	et in mala non sensum se considerata sed ut habentronnem ardui 	146
161	et difficilis: 	et difficilis 	147
162	nam arduitas, 	nam arduitas 	148
163	et difficultas potissime sunt repugnantia, 	et difficultas potissime sunt repugnancia 	149
164	et prohibentia, 	et prohibentia 	150
165	ne possimus consequi bonum, 	ne possimus consequi bonum 	151
166|167	et vitare malum. Imperfecto ergo egisset natura, |si dedisset animalibus concupiscibilem, 	et uitare malum imperfecte ergo fecisset natura si dedisset animalibus concupiscibilem 	152
