0|1	Ostenso, |quod nec in potentiis naturalibus, 	stenso quod nec in potentus naturalibus 	0
2	nec in sensibus habent esse virtutes: 	nec in sensibus habent |esse uirtutes 	1|2
3	restat ostendere, 	restat 	3
4	quomodo distinguuntur virtutes, 	ostendere quomodo distinguuntur uirtutes* 	4
5	et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 	et quomodo in appetituet in intellectu existuntungingundumq est igit de uirturibus 	5
6|7	et de huiusmodi potentiis: |nam virtutum quaedam sunt intellectuales, 	et de hmoni potentiisam uirtutum quaedam sunt intellectuales quaedam motales* quadam mediae 	6
8	quaedam morales, 	inter intellectuales 	7
9	quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, 	et motalesouictus intellectuales dicuntur illae quae sunt in intellectu speculatiuo 	8
10	cuiusmodi sunt scientiae speculatiuae, 	cuiusmodi sunt lcientiae speculatiuae⟩ 	9
11	ut naturalis Philosophia, 	naturalis philosophia 	10
12|13	Geometria, Metaphysica, |et caetera talia. Virtutes vero simpliciter morales sunt illae, 	geometeia methaphisica et catera taliaueatrutes uero simpliciter morales sunt illaeque sunt in appetitu 	11
14	quae sunt in appetitu, 		
15	siue appetitus ille sit sensitiuus, siue intellectiuus, 	siue appetitus ille sit sensitiuus : |siue intellectiuus 	12|13
16|17	cuiusmodi sunt Iustitia, |Temperantia, Fortitudo, 	cuiusmodi autem sunt iustitia temperantiatusqoruto 	14
18	Mansuetudo, 		
19	et caetera talia, 	et catera |talia 	15|16
20	de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, 	de quibus sumus singulariter tractaturiouirtus autem media inter intellectuales 	17
21	sunt virtutes existentes in intellectu practico, 	et morales sunt uictut es existentes in intellectu practico 	18
22	ut Prudentia, 	ut prudentia 	19
23	et aliae virtutes sibi annexae. Prudentia autem, 	et alia uirtutes |sibi annexaperduentia autem 	20|21
24	secundum Commentatorem super libris Ethicorum, 	secundum conmentatorem |super libris ethicorom media est 	22|23
25|26	media est |inter virtutes morales, 	inter uirtutes morales 	24
27	et intellectuales; computari 	et intellectuales : 	25
28	tamen potest 	conputaritamen potest 	26
29	cum virtutibus moralibus: 	cum uirtutibus moralibus : 	27
30	nam Prudentia non est nisi in hominibus bonis, 	nam prudentia |non est 	28|29
31	sicut nec virtutes morales: praui enim homines 	nisi in honoribus bonisu |sicut nec uirtutes morales* prauinenhosineset 	30|31
32|33	et si possunt esse scientes, |astuti, et versipelles; 	si possunt esse scientes astuti et uersipelles 	32
34	prudentes tamen esse non possunt, 	prudentes |tamen esse non possant 	33|34
35	ut suo loco patebit. 	ut suo loco patebit inde est ergo 	35
36	Inde est ergo quod dicitur 6 Ethic’ 	quod dicitur diodhicorum 	36
37	quod impossibile est prudentem esse non existentem bonum. 	quod impossibile est |prudentemesse 	37|38
38	Dimissis ergo virtutibus 	non exintentem bonuendimissis ergo uirtutibus 	39
39|40	huiusmodi intellectualibus, |ut dimissis scientiis speculatiuis, 	huiusmodi intellectua libusutur dimissis sentemtiis speculatiuis de prudentia 	40
41	de prudentia, 		
42|43	et de virtutibus moralibus est tractandum. Suscepimus enim (ut pluries diximus) |praesens opus, 	et de uirtutibus moralibus est tractandum suscepimus" 	41
44|45	non ut sciamus, |sed ut boni fiamus: 	ut pluries diximus praesens opus non ut sciamussusd ut boni fianus 	42
46	quae bonitas, 	qua bonitas 	43
47	sine prudentia et virtutibus moralibus, 	sine prudentia 	44
48	nobis in esse non potest. Has autem virtutes, 	et uirtutibus moralibus nobis inesse non potest . 	45
49|50	in intellectu, et appetitu sic esse contingit. Dictum est enim, |virtutem esse aliquid 	has autem uirtutes in intellectu et appetitu sic esse contingitomctum estensuirtutem esse aliquid 	46
51|52	secundum rationem: |oportet ergo esse rationalem potentiam, in qua potest esse virtus. 	em rationemaporet ergo esse ronnalem potentiam in qua potest esse uirtus ronnale autem duplex est 	47
53	Rationale autem duplex est secundum Philosophum, 	secundum philosophum 	48
54	per essentiam, 	per essentiam 	49
