0	Ostenso, 		
1|2	quod nec in potentiis naturalibus, |nec in sensibus habent esse virtutes: 	morales nõ son en los poderios nat᷑ales nĩ en los sescos/. 	0
3	restat ostendere, 		
4|5	quomodo distinguuntur virtutes, |et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 	Et mostrado en q̈l man̾a hã de seer eñl entẽdimiẽto ⁊ eñl appetito/. 	1
6	et de huiusmodi potentiis: 	Pues q̃ assi esauemos de departir destas útudes et destos pod̾ios en q̈l man̾a son 	2
7|8	nam virtutum quaedam sunt intellectuales, |quaedam morales, 	enllos/.Ca alguãs dłas útudes son intellectuales ⁊ algũas morales/. 	3
9	quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, 	Et alguãs median̾as entre las intellectuales ⁊ las morales/ ¶Las útudes intellectuałs son dich̃as aqlłas q̃ son eñl entẽdimiẽto especulatiõ 	4
10	cuiusmodi sunt scientiae speculatiuae, 	assi cõmo son las sçias especulatias q̃ estã eñl entẽdimiẽto 	5
11|12	ut naturalis Philosophia, |Geometria, Metaphysica, 	assi cõmo la pħia nat᷑al ⁊ la geometria⁊ la methaphisica ⁊ las oẗs sciãs tałs 	6
13	et caetera talia. Virtutes vero simpliciter morales sunt illae, 	¶Mas las útudes sinple mẽte morales son aq̃llas 	7
14	quae sunt in appetitu, 	q̃ son eñl appetito 	8
15	siue appetitus ille sit sensitiuus, siue intellectiuus, 	si q́ersea intellectiuo |si q́er sea senseriuo/ 	9|10
16|17	cuiusmodi sunt Iustitia, |Temperantia, Fortitudo, 	Et estas tales utudes son iustiçia ⁊ teꝑãça ⁊ fortaleza ⁊ mãsedũbre ⁊ las oẗs talsdłas 	11
18	Mansuetudo, 	q̈les auemos de fablar 	12
19	et caetera talia, 	en este libͦespeçial mẽte de cada una dellas 	13
20|21	de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, |sunt virtutes existentes in intellectu practico, 	¶Mas las útudes median̾as entre las intellectuales ⁊ las morales son aq̃llas q̃estã eñl entẽdimiẽto p̈tico ⁊ obrador 	14
22	ut Prudentia, 	Assi cõmo es la p̈dençia 	15
23	et aliae virtutes sibi annexae. Prudentia autem, 	q̃ es regla detech̃a ꝑa biẽ ob̈r. |Et las oẗs útudes q̃ se ayũtã aesta/. 	16|17
24|25	secundum Commentatorem super libris Ethicorum, |media est 	Ca la p̈dençia segũt q̃ dize el comẽtador sobre el libro de las etḧs 	18
26|27	inter virtutes morales, |et intellectuales; computari 	es median̾a entre las útudes motales ⁊ entre las intellectuales/. 	19
28|29	tamen potest |cum virtutibus moralibus: 	Enꝑo puede se cõtar con las útudes morales 	20
30	nam Prudentia non est nisi in hominibus bonis, 	por q̃ la p̈dençia nõ es sinõ en los buenos om̃s/. 	21
31	sicut nec virtutes morales: praui enim homines 	Assi cõmo las útudas morales nõ son sinõ en los buenos 	22
32|33	et si possunt esse scientes, |astuti, et versipelles; 	Ca los malos om̃s maguera seã sabidors̃⁊ faldridos ⁊ engãnosos enꝑo nõ pueden ser p̈dentes nĩ sabios 	23
34	prudentes tamen esse non possunt, 	assi cõmo lo ꝓuatemos en su 	24
35|36	ut suo loco patebit. |Inde est ergo quod dicitur 6 Ethic’ 	logar¶Et por ende dize el pħo eñl sexto libro dłasetḧs. 	25
37	quod impossibile est prudentem esse non existentem bonum. 	ca nõ puede ser el om̃e p̈dente⁊ sabio ⁊ nõ ser bueno/. 	26
38	Dimissis ergo virtutibus 	Pues q̃ 	27
39	huiusmodi intellectualibus, 	assi es dexando aparte las útudes intellectuales |⁊ 	28|29
40|41	ut dimissis scientiis speculatiuis, |de prudentia, 	las sciãs especulatĩas q̃ sõeñl entẽdimiẽto especulatĩo/. 	30
42|43	et de virtutibus moralibus est tractandum. Suscepimus enim (ut pluries diximus) |praesens opus, 	Aq́ solamẽte auemos de fablar dła p̈dençia ⁊ dłas útudes morales q̃ sõ eñl entẽdimiẽto p̈tico/o eñl appetito/. 	31
44	non ut sciamus, 	Ca alsi cõmo muchas uezes auemos |dich̃o tomamos esta ob̈ p̾sente ⁊ esta scĩa nõ por q̃ nos faga sabidores de scia 	32|33
45	sed ut boni fiamus: 	mas por q̃ nos faga buenos/. 	34
46	quae bonitas, 	La q̈l bondat nõ puede ser en nos 	35
47	sine prudentia et virtutibus moralibus, 	sin la p̈dençia ⁊ sin las oẗs u̾tũdes morales/. 	36
48|49	nobis in esse non potest. Has autem virtutes, |in intellectu, et appetitu sic esse contingit. Dictum est enim, 	Mas estas útudes assi cõuiene q̃ seã eñl entẽdimiẽto ⁊ eñl appetito/. 	37
50|51	virtutem esse aliquid |secundum rationem: 	Ca dich̃o es q̃ la útud es alguã cosa segũt razõ ⁊ por ende cõuiene q̃ sea pod̾io razonable aq̃l en q̃ esta la útud 	38
52	oportet ergo esse rationalem potentiam, in qua potest esse virtus. 	¶Mas deuedes saber q̃ podeno razonable ẽs en dos man̾as 	39
53	Rationale autem duplex est secundum Philosophum, 	segũt dize el pħo |¶Uno es porsu essençia ⁊ 	40|41
54	per essentiam, 	por si misino 	42
55	et per participationem. Intellectus autem est rationalis per essentiam. 	¶Et otͦ por participaçiõ ⁊ por cõuensẽçia/. |El entãdemiẽto es pod̾io Razonable ⁊ de razon 	43|44
56	Appetitus vero per participationem. 	por eençia etparte.¶.laSẽgũda por si mismo/. |Mas el appecito es razonable 	45|46
57|58	Nam appetitus licet non sit ipse intellectus, |vel ipsa ratio essentialiter, 	por partiçipaçõ ⁊ por cõueniẽçia Ca el appetito maguer nõ sea el entẽdimiẽto nĩ sea la razõ 	47
59	dicitur tamen participare rationem, 	por eẽnçia Enꝑo partiçipa cõ la razõ 	48
60	quia est aptus natus rationi obedire. Potentiae autem naturales, et sensus, 	por q̃es apareiado ⁊ inclinado de obedesçer al entẽdimiẽto ⁊ ala razõ 	49
61|62	nec sunt rationales per essentiam, |quia non sunt ipsa ratio: 	mas los pod̾ios nat᷑ales ⁊ los sesos nõ son razonabłspor eẽnçia/. 	50
63|64	nec ratione participant, |quia per se, 	Ca nõ son entẽdimiẽto nĩ razõ nĩ tomã ꝑte de entẽdimiẽto nĩ de razõ por q̃ 	51
65	et secundum quod huiusmodi non obediunt rationi. Igitur in sensibus, 	por si ⁊ en q̈nto son de tal condiçiõ nõ obedesçẽ ala razõ/¶ |Et pues q̃ 	52|53
66	et in potentiis naturalibus 	assi es en los sesos nĩ |en los pod̾ios nat᷑ales nõ pueden ser lasu̾tudes 	54|55
67	(ut supra dicebatur) 	assi cõmo ya dixiemos desuso 	56
68|69	non habent esse virtutes, |sed solum esse habent in intellectu, et appetitu. 	Mas sola mẽte estas útudes hã de seer eñl entẽdi miẽto ⁊ eñl appetito/. 	57
70	In nobis autem duplex est appetitus, intellectiuus, 	Mas en nos ay dos apetitos/ |¶Uno dł entẽdimiẽto/. 	58|59
71	et sensitiuus. 	Et otͦ dł seso/. 	60
72	Nam sicut appetitus naturalis sequitur formam naturaliter adeptam, 	Ca assi cõmo el appetito nat᷑al sigue asu forma nat᷑al mẽte auida/. 	61
73	sic appetitus cognitiuus sequitur formam per cognitionem apprehensam. 	assi el appetito conosçedor sigue la forma rescebida oauida |por el conosçimiẽto/ ¶Uerbi 	62|63
74	Sicut enim grauia, 	gr̃a¶Assi cõmo todas las cosas pesadas por q̈nto hã forma de pesadura/. |Entãto se sigue aellas un appetito ⁊ una inclinaco nat᷑al 	64|65
75	ex eo quod habent formam grauis, 	por q̃ desseã nat᷑al/. 	66
76|77	sequitur ea quaedam naturalis inclinatio, |et quidam appetitus naturalis, 	mẽte descender ayuso/ ¶ 	67
78|79	ut naturaliter desiderent esse deorsum: |sic habentia cognitionem prout habent in seipsis formam apprehensam, 	Bien assi las cosas q̃ han conosçimiẽto ẽ q̈nto hã en si mismas aq̃lla forma 	68
80	sequitur quaedam inclinatio, 	conosçida 	69
81|82	et quidam appetitus |secundum formam illam. 	sigue se aellos una inclinaçiõ ⁊ unapetito segũt aq̃lla forma/. 	70
83	Propter quod sicut in nobis duplex est cognitio, sensitiua, et intellectiua: 	Por la q̈lcosa |assi cõmo en nos ay dos conosçimientos uno dł seso ⁊ otͦ dt entẽdimiẽto 	71|72
84|85	sic |etiam est in nobis duplex appetitus, 	assi en nos ay dos appetitos uno sen ssitiuo q̃ 	73
86|87	videlicet, sensitiuus, |qui sequitur formam apprehensam per sensum: 	sigue la forma tomada ⁊ conoscida 	74
88	et intellectiuus, 	por el seso/. 	75
89	qui sequitur formam apprehensam per intellectum. Appetitus autem sensitiuus duplex est. 	Et el otͦ ĩtellectiuo q̃ sigue la forma tomada ⁊ cõnosçida por entẽdimiẽto. |¶Mas el appetito sẽssitiuo es endos man̾as 	76|77
90|91	Nam cum animalia sint supra inanimata, |si natura elementis 	ca cõmo las aiãlias sean sobre las cosas q̃ nõ hã alma. 	78
92	et rebus inanimatis dedit duplicem potentiam, 	si la nat᷑a dłos helemẽtos dio atodas las cosas q̃ |nõ han alma dos appetitos ⁊ dos pod̾ios/. 	79|80
93	unam per quam tendunt in propriam quietem, 	Uno por el q̈luan asu logar ꝗpio 	81
94	et aliam per quam resistunt, 	enq̃ se saluan ⁊en q̃ fuelgã/. Et dioles otͦ pod̾io 	82
95|96	et agunt in prohibentia, |et in contraria: 	po elq̈l conẗdizẽ alos sus conẗrios ⁊ 	83
97	multo magis hanc duplicem potentiam natura dedit ipsis animalibus, 	obrancõtra los q̃ las enbargã/. Mucħo mas lanat᷑a dio alas aĩalias estos dos pod̾ics 	84
98	quae sunt perfectiora illis. Videmus enim quod ignis naturaliter est calidus, 	por q̃ son mas acabadas q̃ las cosas q̃ nõ han alma/. |Ca ueemos nos q̃ el fuegonatal mẽte es caliẽte ⁊ liuiano ⁊ 	85|86
99	et leuis per leuitatem autem tendit in locum proprium, 	por la li uiãdat sube arriba asu logar ꝓpio 	87
100|101	et in quietem sibi conuenientem: |per caliditatem vero agit in contraria: 	et asu folgura/. Et por la calẽtura obra conẗ sus cõẗrios destruyendo los ⁊ gastando los/. 	88
102	ne ergo ignis per quaecunque contraria agentia impediretur, 	pues q̃ assi es por q̃ el fuego nõ fuese enbargado 	89
103	ne per leuitatem in proprio loco quiesceret, 	por los sus conẗrios q̃ nõ podiesse sobir por su lyuiandat asu lugar 	90
104	dedit ei natura potentiam calefactiuam, 	do auia de folgar dio le nat᷑a pod̾io de escalẽtar |con 	91|92
105	ut per eam resisteret, et ageret in contraria corruptiua. 	que pudiesse uençer ⁊ corrõper asus cõẗrios/. 	93
106	Si ergo igni, 	Et pues q̃ 	94
107|108	et rebus inanimatis natura dedit duplicem potentiam, |unam per quam adipiscuntur propriam quietem, 	assi es si la nat᷑a/. dio alas cosas q̃ nõ hã alma estos dos pod̾ios/ uno por q̃ pudiessẽ yr assu lugar ⁊ asu folgura/. 	95
109	et aliam per quam agunt in prohibentia et contraria: 	Et otͦ por q̃ pudiessen uẽçer ⁊ corrõper asus cõẗrios much̃o mas la nat᷑a dio estos dos pod̾ios alas aialias 	96
110	multo magis hoc dedit animalibus. 	q̃ son mas acabadas 	97
111	Tribuit ergo eis duplicem appetitum sensitiuum, 	¶Et pues q̃ |assi es dioles dos appetitos/. 	98|99
112	unum per quem prosequuntur propriam quietem, 	Uno senssituio 	100
113|114	et propriam delectationem, |ut concupiscibilem: 	por el q̈l alcãçan su ꝓpia folgura ⁊ su ꝓpia delectaçiõ 	101
115	et alium per quem resistunt, 	assi cõmo es el appetito desseador/ |¶Et dioles otro appetito 	102|103
116	et aggrediuntur prohibitiua, 	por el qual cõẗdizen ⁊ uan conẗ todas aq̃llas cosas q̃ les q́erẽ enbargar ⁊ cõtrallar 	104
117|118	ut contraria, |ut irascibilem. 	assi cõmo es el appetito enssãnador con q̃ se enssanaua/. 	105
119	Ita quod concupiscibilis se habet sicut leuitas, 	En tal man̾aq̈l appetito cobdiçiador sea en las aĩalias 	106
120	vel grauitas, 	assi cõmo liuandat ⁊ 	107
121	in leuibus, 	assi cõmo pesadura seã en las cosas liuionas⁊ pesadas/. 	108
122	et grauibus. Irascibilis vero se habet quasi caliditas, 	Mas el appetito enssãnador sea 	109
123	vel frigiditas in eis. 	assi cõmo la calentura o la frial dar enlłas/. |Ca assi cõmo las cosas pesadas 	110|111
124	Nam sicut grauia per grauitatem recedunt a loco sursum tanquam a non conueniente, 	por su pesadura se partẽ dł logar desuso |assi cõmo dł logar q̃ nõ los cõuiene/. 	112|113
125	et tendunt in locum deorsum tanquam ad locum conuenientem, 	Et desçiẽdẽ al logar de yuso |assi cõmo al logar q̃ les es cõuenible 	114|115
126|127	et conformem: |per frigiditatem vero resistunt contrariis, 	por nat᷑a ⁊ por la frialdat se arrefierẽ de sus cõtrios 	116
