0	avoir trové	que queria fallar muy de grado	0
1|2	Si li conte tote s' aventure is|si com vos avés oi dire ça arrieres	e luego le conto todo como le auia conel contesçido|asi como el cuento lo a deuisado	1|2
3|4	tant|qu' il conoist bien	e luego entendio boores	3
5|6	que c' est il|qu' ele quiert a	que ael andaua ella buscando	4
7|8	Mais|por le coros de la mort al seneschal ne se volt fere conoistreains li respont« Certesdamoiselechevalier	mas porel pesar dela muerte del senescal no se quiso fazer conosçer antele rrespondio çierto donçella al cauallero	5
9|10	qui porte escu blanc ne conois je nul|— En non Dieusirefet elece 1 poise moi chierement	que traia blancas armas no conozco yo Pardios dixo la donçella mucho me Pesa caramjente	6
11	Et il n' en tient plus a li paroleains part	e boores non quiso conella|mas estar	7|8
12	si tost com il l' ot commandee a Dieu a	e acomendo la a dios|e fuese	9|10
13	et chevalche en tel maniere jusqu' a tierce tant	e andubo tanto	11
14	qu' il vint a l' issue de la forest	que salio dela floresta	12
15	et il torne a destre vers un chemin viés	e dexo el camino|e tomo a mano derecha vn camino pequeño	13|14
16	et ancien	e biejo lleno de yerba	15
17	si ne demora gueres	e non andubo mucho	16
18	qu' il vint a une eve P lee	porque llego a vn valle	17
		Por do corria vn agua muy negra	18
19	et parfonde	e fea|e fonda	19|20
20	mais il n' i trueve pont ne gué ne passage nul	e non fallo puente|por do Pudiese pasar	21|22
21	Et il regarde d' autre part de 1 l' eve	e cato dela otra parte Del agua	23
22|23|24	si voit I|petit chastel molt bien seantclos de mur bateillié tot entor a la roonde|ll regarde grant piece le chas tel	e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor|e el cato gran pieça el castillo	24|25
25	dont la façons li plest molt a regarder	ca mucho se pagaua delo catar	26
26	puis s' en torne contreval la riviere	e despues torno la rribera ayuso	27
27	por savoir s' il i peust trover ne pont ne gué	Por saber|si podria fallar puente|Por do pasase	28|29|30
28	mais il n' en trueve point	mas el no pudo fallar ninguna	31
29|30|31	et quant il voit|qu' il n' i passera|si ne set	e boores desque esto vido no sabia	32
32	que fere	que se façer	33
33|34	que retorner ne voldroit il mie|31	ca el no se queria tomar en ninguna manera	34
35|36	Atant voit issir del chastel une damoisele|qui ert tote nue en sa chemise	Ansi estando vio del castillo salir vna donçella en camisa	35
37	si le menoient troi vilain molt vilainement a	que traian quatro rribaldos muy sañudamente	36
38	et tenoit chescuns une hache en sa main	e cadavno traia enla mano vna lança	37
39|40	et ele crioit quanque ele pooit crier|por els	e ella daua vozes	38
41|42|43	qui li faisoient tel honte|et tel laidure|qu' il la venoient batant tot contreval la riviere	quanto podia dar|e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar	39|40
