0	avoir trové	queria fallar muy de grado|e luego le conto todo	0|1
1	Si li conte tote s aventure issi com vos avés oi dire ça arrieres	como le auia conel contesçido|asi como el cuento lo a deuisado	2|3
2	tant qu il conoist bien	e luego entendio boores	4
3	que c est il qu ele quiert a	que ael andaua ella buscando	5
4	Mais por le coros de la mort al seneschal ne se volt fere conoistreains li respont Certesdamoiselechevalier	mas porel pesar dela muerte del senescal no se quiso fazer conosçer antele rrespondio çierto donçella al cauallero	6
5|6	qui porte escu blanc ne conois je nul|En non Dieusirefet elece poise moi chierement	que traia blancas armas no conozco yo Pardios dixo la donçella mucho me Pesa caramjente	7
7	Et il n en tient plus a li paroleains part	e boores non quiso conella|mas estar	8|9
8	si tost com il l ot commandee a Dieu a	e acomendo la a dios|e fuese	10|11
9	et chevalche en tel maniere jusqu a tierce tant qu il vint a l issue de la forest;	e andubo tanto|que salio dela floresta	12|13
10	et il torne a destre vers un chemin viés	e dexo el camino|e tomo a mano derecha vn camino pequeño	14|15
		e biejo lleno de yerba	16
11	et ancien;	e non andubo mucho	17
12	si ne demora gueres qu il vint a une eve P lee	porque llego a vn valle|Por do corria vn agua muy negra	18|19
13	et parfonde	e fea|e fonda	20|21
14	mais il n i trueve pont ne gué ne passage nul	e non fallo puente|por do Pudiese pasar	22|23
15	Et il regarde d autre part de l eve	e cato dela otra parte Del agua	24
16|17	si voit I|petit chastel molt bien seantclos de mur bateillié tot entor a la roonde	e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor	25
18	ll regarde grant piece le chastel	e el cato gran pieça el castillo	26
19	dont la façons li plest molt a regarder	ca mucho se pagaua delo catar	27
20	puis s en torne contreval la riviere	e despues torno la rribera ayuso	28
21	por savoir s il i peust trover ne pont ne gué	Por saber|si podria fallar puente	29|30
		Por do pasase	31
22	mais il n en trueve point	mas el no pudo fallar ninguna	32
23|24	et quant il voit qu il n i passera|si ne set	e boores desque esto vido no sabia	33
25	que fere	que se façer	34
26	que retorner ne voldroit il mie	ca el no se queria tomar en ninguna manera	35
27|28	Atant voit issir del chastel une damoisele|qui ert tote nue en sa chemise	Ansi estando vio del castillo salir vna donçella en camisa	36
29	si le menoient troi vilain molt vilainement a	que traian quatro rribaldos muy sañudamente	37
30	et tenoit chescuns une hache en sa main;	e cadavno traia enla mano vna lança	38
31|32	et ele crioit quanque ele pooit crier|por els	e ella daua vozes	39
33	qui li faisoient tel honte	quanto podia dar	40
34	et tel laidure qu il la venoient batant tot contreval la riviere	e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar	41
35	Et quant la damoisele vit le chevalier de l autre part de ! l eve	e quando la donçella vio a bores dela otra parte del agua començo a dar vozes	42
36	si commence a crier Hagentilz chevalierssecorés ceste damoisele	e a deçir ay jentil cauallero acorred a esta donçella	43
37	que cist ribaut vuelent ocirre	que estos Ribaldos me quieren	44
38	Hafrans homne m i laissiés morirse vos onques eustes pitié de nule gentil damoisele	ansi matar ay buen cauallero|si nunca oviste piedad de donçella auelda agora de mi	45|46
39	Quant Boors ot ce qu ele li prie	e no me dexedes	47
40	si pitousement qu'il la secore	asi morir|Quando boores oyo lo	48|49
41	si ne set	que la donçella deçia no supo	50
42	que fere	que façer	51
43	kar volentiers li aidast s il peust;	ca muy de grado la quisiera acorrer	52
44	mais il voit l eve noire	si pudiese Mas el agua hera muy fonda	53
45	et parfonde	e peligrosa	54
		e negra	55
46	et si perilluse qu il cuide bien noiers il se met dedens;	e bien cuidaua morir|si se y Metiese	56|57
47	et d'autre part il voit cele	e dela otra parte veya la donçella	58
48	qui si durement crie merci;	que muy afincada mente le pedia merçed	59
49	si l'em prent tels pitiés qu il en laisse totes poors	e ovo tal piedad della|que le fiço todo el miedo perder	60|61
50	et fet le signe de la crois en mi son vis	e fiço la señal dela cruz sobre	62
51	puis enbrace l escu	si e enbraço el escudo	63
52	et broche le cheval des esperons	e firio al cauallo de las espuelas	64
53	et se fiert en l eve	e lanço se en el agua	65
54|55	Et li chevals fu fors|si commence a noer	e el cauallo començo de nadar luego	66
56	si tost com il ot terre perdue	e perdio tierra en tal manera	67
57	si l enporte d autre part de la rive a quelque paine	que paso dela otra parte del agua	68
58	mais ançois ot beu de l eve li uns	mas ante beuio el cauallo del agua	69
59	et li autre		
