0	avoir trové	Sire fait elle enuellopee quil ne la pouoit cengnoistre pour pour ce|que ie le uouldroie auoir trouue	0|1
1|2	Si li conte tote s aventure issi com vos avés oi dire ça arrieres|tant qu il conoist bien	si luy compte toute son auanture tant quil cengnoit bien	2
3	que c est il qu ele quiert a	que cest celle|qui le quiert	3|4
4	Mais por le coros de la mort al seneschal ne se volt fere conoistre ains li respont Certes damoisele chevalier	Mais pour le couroust quil a du sencchal|et de sa mort ne se uoult faire congnoistre	5|6
		mes leur respont certes damoiselle ie ne cengnois mie le cheualier	7
5	qui porte escu blanc ne conois je nul	qui porte les blances armes	8
6	— En non Dieu sire fet ele ce poise moi chierement	En nen dieu fait elle il me poyse monlt chierement	9
7	Et il n en tient plus a li parole ains part	A|donc sen part	10|11
8	si tost com il l ot commandee a Dieu a	et ne uoult plus parler il la commandee a dieu|et sen ua	12|13
9	et chevalche en tel maniere jusqu a tierce tant qu il vint a l issue de la forest;	et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies tant quil uint a lissue de la forest	14
10|11	et il torne a destre vers un chemin viés|et ancien;	et il tourna a destre uers ung petit chemyn uieil:	15
12	si ne demora gueres qu il vint a une eve P lee	si ne demoura gueres quil uint en une uallee	16
		ou il couroit une eau monlt roidde la quelle estoit grande	17
13	et parfonde	et parfonde	18
14	mais il n i trueve pont ne gué ne passage nul	et ne treuue ne pont ne planche par ou il puisse passer	19
15|16	Et il regarde d autre part de l eve|si voit I	Sy regarde de laultre part de leaue	20
17	petit chastel molt bien seant clos de mur bateillié tot entor a la roonde	et uoit ung beau chastel monlt bien seant|et bien cloz de muraille tout entour	21|22
18	ll regarde grant piece le chastel	Il regarde le chastel grant pieche	23
19	dont la façons li plest molt a regarder	car monlt luy plaisoit a uoir	24
20|21	puis s en torne contreval la riviere|por savoir s il i peust trover ne pont ne gué	puis sen tourne contre ual la riuiere pour scauoir sil pouroit trouuer ne pont ne gue par le	25
		quel il puisse passer	26
22	mais il n en trueve point	mes il nen truue point	27
23	et quant il voit qu il n i passera	Et il uoit ce	28
24	si ne set	si ne scait	29
25	que fere	que faire	30
26	que retorner ne voldroit il mie	car retourner ne uoulloit pas	31
27	qui ert tote nue en sa chemise	A tant uoit yssir une damoiselle du chastel la quelle estoit toute nue en sa chemise	32
28	si le menoient troi vilain molt vilainement a	sy la menoient quatre ribaulx monlt felonneusement	33
29	et tenoit chescuns une hache en sa main;	et tenoient chascun en sa main ung coustel trenchant	34
30	et ele crioit quanque ele pooit crier	Et la damoiselle crioit tant comme elle pouoit pour la laidure	35
31	por els	et honte	36
32	qui li faisoient tel honte	que telx ribaulx luy faisoient	37
