a	b	c	d	e
0	avoir trové	Sire fait elle enuellopee quil ne la pouoit cengnoistre pour pour ce|que ie le uouldroie auoir trouue	queria fallar muy de grado|e luego le conto todo	auoir troue fait elle	avere trovato
1|2|3	Si li conte tote s aventure issi com vos avés oi dire ça arrieres|tant qu il conoist bien|que c est il qu ele quiert a	si luy compte toute son auanture tant quil cengnoit bien|que cest celle|qui le quiert	como le auia conel contesçido|asi como el cuento lo a deuisado|e luego entendio boores|que ael andaua ella buscando	si li conte toute sauenture|si com li contes la retrait cha en arriere|Tant que il connoist bien quele le quiert	Si gli conta tutta sua aventura|si come el libro l à trattato qua adietro|tanto che conosce bene|che ciò est elli quelli cui ella chiede
4	Mais por le coros de la mort al seneschal ne se volt fere conoistre ains li respont Certes damoisele chevalier	Mais pour le couroust quil a du sencchal|et de sa mort ne se uoult faire congnoistre	mas porel pesar dela muerte del senescal no se quiso fazer conosçer antele rrespondio çierto donçella al cauallero	Mais pour le courous quil a del senescal|ne se volt il faire aconnoistre	ma per lo cruccio|ch egli à della morte del siniscalco non
					si vuole fare cognoscere
					anzi le risponde
					: 'Certo
					damigella
					il cavaliere
				Ains li respont	
				Certes damoisele le cheualier	
		mes leur respont certes damoiselle ie ne cengnois mie le cheualier			
5|6	qui porte escu blanc ne conois je nul|— En non Dieu sire fet ele ce poise moi chierement	qui porte les blances armes|En nen dieu fait elle il me poyse monlt chierement	que traia blancas armas no conozco yo Pardios dixo la donçella mucho me Pesa caramjente	qui porte blanches armes ne connois iou mie|Enon dieu sire fait elle che poise moi moult durement	che porta lo scudo bianco non ne so io nulla|—A nome di Dio|dis ella
					ciò pesa a mes
7	Et il n en tient plus a li parole ains part	A|donc sen part	e boores non quiso conella|mas estar		E non tenne più a llei parole|anzi
					si parti
8	si tost com il l ot commandee a Dieu a	et ne uoult plus parler il la commandee a dieu|et sen ua	e acomendo la a dios|e fuese	ors le commande a dieu|& puis sen part de li	si tosto come l à comandata a dDio
9	et chevalche en tel maniere jusqu a tierce tant qu il vint a l issue de la forest;	et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies tant quil uint a lissue de la forest	e andubo tanto|que salio dela floresta	& cheuauche en tel maniere iusques a tierce|Tant que il vint a lissue de la forest	e cavalca tanto in tale maniera infino qua a terza|tanto che viene a l uscita della foresta
10|11	et il torne a destre vers un chemin viés|et ancien;	et il tourna a destre uers ung petit chemyn uieil:	e dexo el camino|e tomo a mano derecha vn camino pequeño|e biejo lleno de yerba|e non andubo mucho	et torne a destre en vn petit chemin viez	|e torna a destra inverso uno camino vecchio|e antico
12	si ne demora gueres qu il vint a une eve P lee	si ne demoura gueres quil uint en une uallee	porque llego a vn valle|Por do corria vn agua muy negra	Si ne demora gaires quil vint en vne moult grant ualee ou il couroit vne aigue grant|et roide	si non dimora guari|che viene a una acqua lata
		ou il couroit une eau monlt roidde la quelle estoit grande			
13	et parfonde	et parfonde	e fea|e fonda	et parfunde	e perfonda
14	mais il n i trueve pont ne gué ne passage nul	et ne treuue ne pont ne planche par ou il puisse passer	e non fallo puente|por do Pudiese pasar	mais il ni troeue ne pont ne passage	ma e' non vi truova né ponte né guado né passaggio nullo
15	Et il regarde d autre part de l eve	Sy regarde de laultre part de leaue	e cato dela otra parte Del agua	Et il regarde de lautre part de laigue	Ed elli isguarda d altra parte dell acqua
16|17	si voit I|petit chastel molt bien seant clos de mur bateillié tot entor a la roonde	et uoit ung beau chastel monlt bien seant|et bien cloz de muraille tout entour	e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor	si y uoit|j|castel moult bien seant|clos de mur bateillie tout entor a la reonde	si vide uno piccolo castello molto ben sedente|chiuso d uno muro battagliato tutto intorno alla ritonda
18	ll regarde grant piece le chastel	Il regarde le chastel grant pieche	e el cato gran pieça el castillo	Il regarde le chastel grant piece	eElli riguarda gran peza il castello
19	dont la façons li plest molt a regarder	car monlt luy plaisoit a uoir	ca mucho se pagaua delo catar	dont la fachons li plaisoit moult a regarder	donde la fazion gli piace molto al riguardare
20|21	puis s en torne contreval la riviere|por savoir s il i peust trover ne pont ne gué	puis sen tourne contre ual la riuiere pour scauoir sil pouroit trouuer ne pont ne gue par le	e despues torno la rribera ayuso|Por saber|si podria fallar puente	puis sen torne contremont la riuiere pour sauoir se il troueroit ne pont ne gue	poscia ritorna tutto contravalle la riviera per sapere se potrebbe trovare né ponte né guado
			Por do pasase		
		quel il puisse passer			
22	mais il n en trueve point	mes il nen truue point	mas el no pudo fallar ninguna	mais il ni trueue nul passage	ma|e non ve ne truova punto
					e quand
23|24	et quant il voit qu il n i passera|si ne set	Et il uoit ce|si ne scait	e boores desque esto vido no sabia	Et quant il voit chou|si ne set	e vede|che non potrà passare|si non sa
25	que fere	que faire	que se façer	que faire	che fare
26	que retorner ne voldroit il mie	car retourner ne uoulloit pas	ca el no se queria tomar en ninguna manera	quar retorner ne volroit il en nulle maniere	ché ritornare non vorebbe elli mica
27|28	|qui ert tote nue en sa chemise	A tant uoit yssir une damoiselle du chastel la quelle estoit toute nue en sa chemise	Ansi estando vio del castillo salir vna donçella en camisa	Lors uoit issir del castel vne damoisele toute nue en sa chemise	?Atanto vide uscire una damigella del castello|ch era tutta ignuda in sua camicia solamente
29	si le menoient troi vilain molt vilainement a	sy la menoient quatre ribaulx monlt felonneusement	que traian quatro rribaldos muy sañudamente	si le menoient|iiij	si lla menavano iiii|rubaldi molto villanamente
				ribaut moult felenessement	
30	et tenoit chescuns une hache en sa main;	et tenoient chascun en sa main ung coustel trenchant	e cadavno traia enla mano vna lança	et tenoit Cascuns en sa main|i	e tenieno ciascuno una acciaia in sua mano
				coutel trenchant	
31|32	et ele crioit quanque ele pooit crier|por els	Et la damoiselle crioit tant comme elle pouoit pour la laidure|et honte	e ella daua vozes	Et elle crioit quamque elle pooit|por chiaus	Ed ella grida quanto|ch ella può gridare per coloro
33	qui li faisoient tel honte	que telx ribaulx luy faisoient	quanto podia dar	qui li faisoient tel laidure	che lle facieno cotale onta
34	et tel laidure qu il la venoient batant tot contreval la riviere	et la menoient batant contre ual la riuiere	e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar	quar il lenmenoient tot contreual la riuiere batant	e tal ladiura|ch elli la menavano battendo tutto contravalle la riviera
35	Et quant la damoisele vit le chevalier de l autre part de ! l eve	Et quant la damoyselle uoit le cheualier de lautre coste de la ry	e quando la donçella vio a bores dela otra parte del agua començo a dar vozes	Et quant elle vit le cheualier de lautre part de laigue	E quando la damigella vide lo cavaliere dall altra parte dell acqua
36	si commence a crier Ha gentilz chevaliers secorés ceste damoisele	uiere commenca a crier|et dire en tell maniere Haa beau	e a deçir ay jentil cauallero acorred a esta donçella	si li commenche a crier|Ha : gentils homs	si gli comincia a gridare|
					gentile huomo
					soccorete questa damigella
				quar secoures ceste damoisele	
		et gentil cheualier secoures ceste damoiselle			
37	que cist ribaut vuelent ocirre	que ces ribaulx ueullent occire	que estos Ribaldos me quieren	que cist ribaut voelent ochirre	che questi rubaldi vogliono uccidere|! Hal
					franco cavaliere
		haa franc homme fait elle me lesres uous ainsi mourir entre les mains de telx paillars			
38	Ha frans hom ne m i laissiés morir se vos onques eustes pitié de nule gentil damoisele	et se uous pitie de moy|car se uous ne me secoures ie suys a la mort liurer	ansi matar ay buen cauallero|si nunca oviste piedad de donçella auelda agora de mi	Pour dieu ne mi laissies ore mie morir|se vous eustes onques pitie de nulle damoisele ne de nulle gentil dame	non mi lasciate uccidere|se voi unque aveste piatà di nulla gentile damigella
39	Quant Boors ot ce qu ele li prie	Et quant boort ouyt quelle le prioit	e no me dexedes	Quant bohors oy|que la damoisele li prioit	“Quando Boordo ode colei|che l priega
40	si pitousement qu'il la secore	si piteusement	asi morir|Quando boores oyo lo	si piteusement de li secorre	si piatosamente|che lla soccorra
41	si ne set	si ne scait	que la donçella deçia no supo	si One sot	si non sa
42	que fere	que faire	que façer	que faire	che fare
43	kar volentiers li aidast s il peust;	car uoulentiers luy allast aider se il peult estre	ca muy de grado la quisiera acorrer	quar volentiers li alast aidier sil peust estre	ché volentieri l andasse ad atare se potesse
44	mais il voit l eve noire	mes il uoit la riuiere parfonde	si pudiese Mas el agua hera muy fonda	mais il voit laigue parfonde	ma|e vede l acqua nera
					e profonda
45	et parfonde	et dangereuse a passer	e peligrosa	& perillouse	e perigliosa
				et noire	
			e negra		
