0|1	Or dit li contes|que tant demora Lanceloz la ou la vielle l ot mené qu il ot passé	Mas agora dexa el Cuento de fablar de don yban y torna a Contar de don lançarote y dela vieja Agora dexa el quento de fablar delos Caualleros	0
2|3	VI|semainnes	que andauan en busca de don lançarote	1
4|5	et lors se santi sains|et haitiés	por contarlo quele auino conla donzella vieja	2
6|7	et desirranz de porter armes|Toz ne fust il mie encor bien gariz se li anuioit li repos	que andaba ensu guarda	3
8	por ce qu il avoit trop longuement geu ce li ert avis	e de otras cosas muchas agora dize el quento	4
9|10	Et il se part de laienz|et les conmande toz a Deu	que lançarote moro bien seis semanas alli dola donzella vieja lo lleuo y entonze se sintio sano	5
11|12	et la vielle li ot aprestees unes armes bonnes|et beles	e deseoso de tomar armas pero no hera aun bien guarido	6
13	et un escu tout nuef;		
14	si se mist en son chemin	mas no le plazia	7
15	et acueilli sa voie aprés la vielle		
16	Quant il ot chevauchié dusqu a midi		
17|18	si ataint I|damoi] cjsele a l entree d une forest	porque yoguiera tanto envn lugar y entonçe se partio dende y la vieja le tenia muy buenas armas y vn escudo blanco y armose y acogiose asu camino conla vieja y desque andubieron asta visperas fallaron ala entrada devna floresta vna donzella	8
19|20	qui chevauchoit I|petit palefroi noir	que andaba envn palafren morzillo y no andaua conella ome del mundo	9
21	et pensoit moult durement	e yba pensando muy fieramente	10
22	et bien paroit a ses iauz qu ele avoit rouges		
23	et anflez qu ele eust ploré	e semejaua|que lloraua mucho	11|12
24	Il la salue	e traia los ojos vermejos	13
25	quant il l aproche	e inchados	14
26|27	et ele lui ausi|Damoisele fait il vos me samblez moult couroucie	e lanzarote saluo la donzella y ella ael donzella dixo el semejame	15
28	et je savroie volentiers l achoison de vostre courouz	que algun gran pesar auedes|e querria sauer	16|17
29	Et bien sachiez	porque ca saued	18
30	que j'i metroie volentiers tout le bon conseil	que os porne todo el mejor consejo	19
31	que je porroie — Certes fait ele il n a home el monde fors Deu	que yo pudiere çierto señor dixo la donzella enel mundo no a ome	20
32	qui consoil i poïst metre	que pudiese poner consejo enesto	21
		porque yo so triste sino dios	22
33	car de ce	e por lo	23
34	dont je cuit estre couroucie sont C	que yo so triste lo debria ser todo el mundo|e se quelo son	24|25
35	mile autre couroucie ne ce n est	mas de çient mill|omes	26|27
36	? mie chose ou je perde seulement	ca esto no es perdida devn	28
37	mais tuit li povre gentil home del monde	ome solo antes lo es de todos los Ricos	29
38	et tuit li riche de la Grant Bretaingne	e delos pobres dela gran bretaña	30
39|40	et d autres terres|— Enon Dieu damoisele faît Lanceloz	e demas delas otras tierras pordios dixo el donzella no es marauilla	31
41	dont n est a il mie merveille se vos en estes couroucie	si uos ende pesa	32
42	et je vos pri	e porende vos Ruego	33
43	que vos me diez	que me digades	34
44	que ce est	que cosa es o	35
45	car puis	que perdida es puesque tantos lo sauen bien melo podedes dezir	36
46	que toutes genz le sevent vos le poez bien dire ce m est' avis	si quisieredes señor dixo la donzella pues vos tan gran sauor auedes delo sauer deçiruosloe marauillome|como lo vos no sauedes	37|38
47	sanz meffait	Ca ya tiempo	39
48|49	— Sire fait ele jel vos dirai|puis que vos avez tel talant del savoir	a que todo el mundo lo saue verdad es dixo la donzella	40
50	et si me merellie mouit	que este pesar me viene	41
51	que vos nei savez	por dos cosas la vna es demi hermana|que me tomo vn cauallero a fuerça y la otra es	42|43
52|53	car toz li mondes le set ja a|Voirs est fait ele	por muerte devn cauallero el mejor del mundo	44
54	que mes couroz est de Jl	que si el fuese viuo el me daria derecho dequien tanto tuerto me fizo	45
55	¡or a force	mas vien se	46
		que es muerto y dire vos	47
56	et d un prodome	como asi es	48
57|58	qui bien men venjast s il fust vis dusqu a ore|Mais il est morz	que quando yo vi el cauallero	49
59	et si vos dirai ot prise ma seror a force ne randre ne la me voloit	que ami hermana tomo|que mela no quiso dar	50|51
60	por proiere ne	por Ruego ni	52
61	por donner		
62	que ge m esmui a aler a la cort le roi Artus	por al fui ala corte del Rey artur	53
63	por faire ma clamor de ce	por me quexar de aquel cauallero	54
64	que li chevaliers m avoit fait sanz raison	que nos tan gran tuerto fizo	55
65|66	Et quant je i fui venue n a mie encor IIl|jorz	e desque llegue ala corte oy a quatro dias	56
67|68	si ne trouvai|qui me respondist de riens	que me quexe no pude fallar quien me Respondiese	57
69	car tuit antandoient a plourer	ca todos no entendian enal sino en llorar	58
70	et a duel faire	e fazer gran duelo	59
71|72	Et quant je vi ce|si fui toute esbahie	e quando esto vi fuy marauillada	60
73|74	si priai a J|escuier	e Rogue a vn escudero	61
75	que il me deist	que me dixese	62
76|77	por quoi il faisoient tel duel|et il me dist	porque lo façia el me dixo este duelo fazen	63
78|79	que c estoit|por Lancelot de Lac	por don lanzarote de lago	64
		que es muerto y otrosi porla Reyna ginebra	65
80	qui morz estoit	que esta maltrecha	66
		que bien cuidan	67
		que no guaresçera	68
81	Et quant je vi	e quando yo vi	69
82|83	que je n i porroie riens faire de ma besoingne|si me parti ier matin dolante	que no podia ay adouar demi façienda Partime dende muy triste	70
84	et couroucie de la mort au bon chevalier	e muy cuitada porla mi muerte del buen cauallero deque todo el mundo se fallara en mengua	71
85|86	dont touz li mons avra soufraite|car jamais ne sera hom	ca enel mundo no hauia cauallero	72
87|88	qui ait tel pitié de povre damoisele com il avoit|Si sui trop irie	que tan gran duelo ouiese de donzellas	73
89|90	que je n avrai jamais|qui me face droit de tort	e de pobre gente y de	74
91|92	que l an m a fait|si ne finai	oy	75
93|94	puis de plorer|por la grant pitié	mas no podre fallar quien mi derecho faga y poresto no dexo de llorar porel gran daño	76
95|96	que j ai del prodome|et por la perte	que Resçeui porla muerte del buen Cauallero	77
97|98	que je i ai b;|car se il fust vis	ca si el fuese bibo	78
99	et il seust le grant tort	e supiese el tuerto	79
100	que l an m a fait il m an queist la venjance	que ami fizieron el me daria tal derecho	80
101	que j en fusse liee touz les jorz de ma vie	Porque mi Corazon fuese alegre en	81
102	Et ce est ce	quanto fuese viua agora vistes y sabeis	82
103	por quoi je ai hui tant Ploré	por que lloraua	83
104	Quant Lanceloz an	asi como vistes Como don lançarote estaua muy triste	84
105|106	tant que la roine est|si malade	Por quanto le dixeron quela Reyna ginebra estaua enferma	85
107	si est moult a malaise	Quando Lançarote oyo quela Reyna hera tan enferma pesole ende mucho y	86
