A	B
	0
	1
0	2|3
1	4
2	5
3	6|7
4	8
5	9|10
6	11|12
7	13
8|9	14
	15
10	16
11	17|18
12	19
13	20|21
14	22
15	23|24
	25
16|17	26
18	27
19	28
20	29
21	30
22|23	31
24	32|33
25	34
26	35|36
27	37
28	38
29	39
30	40
31|32	41
33	42
34	43
35|36	44
37	45
38	46|47
39	48
40	49
41|42	50
43	51
44	52
45	53|54
46	55|56
47	
48	57
49	58
50	
51|52	59
53	60|61
54|55	62
56	
57	63|64
58	65
59	66
60	67
61	68
62|63	69
	70
64|65	71
66	72
67	73|74
68|69	75
70|71	76
	77
72	78
73	79
74	80|81
75|76	82
77	
78	
79	83
80	84
81	85
82	86|87
83	88
84|85	89
86|87	90
88	91|92
89|90	93
91	94
92	95|96
93	97
94	98
95	99
96	100
	101
97	102|103
98	104
99	105
100	106
101|102	107
103|104	108
105	
106	109
107	110
108	111|112
109	113
110|111	114
112	115|116
113	117|118
114	119|120
115|116	121
117	122
118|119	123
120|121	124
122	125|126
123|124	127
125	128|129
126	130
127|128	131
129	132
130|131	133
132|133	134
134	
135	
136	135
137|138	136
139	
140	
141	137
142	138
143|144	139
145|146	140
147|148	141
149|150	142
151	143|144
152	145
153	146
154	
155	147|148
156	149
157	150
158|159	151
	152
160|161	153
162	
163|164	154
165	
166	155
167	
168	156
169	
170|171	157
172	158
173	159|160
174	161
175	162
176|177	163
178	164
179	165|166
180	167
181	168
182	169
183	170|171
184|185	172
186	173|174
187	175
188	176|177
189	178
190	179
191	180
192	181
193	182
194	183|184
195	185
196|197	186
198	187|188
199|200	189
201	190|191
202	192
203	
204	193
205	194
206	195|196
207	197
208	198
209	199
	200
210|211	201
212	
213	202
214|215	203
216	204
217|218	205
219|220	206
221	207
222|223	208
224|225	209
226	
227	
