A	B
	0
0	1
1	2
2	3|4
	5
3|4	6
5	7
6	8|9
7|8	10
9	11
10|11	12
12	13
13|14	14
15	15
16	
17	16
18	17
19	18
20	19
21	20
22	21
23	22
24	23
25	24
26|27	25
28	26
29	27|28
30	29
31	30
32	31
	32
33	33
34	34
35	35
36	36
37	37
38|39	38
40	39
41	
42|43	40
44	41
45	42
46	43
47	
48	44
49	45
50	46
51	47
52	48
53	
54	49
55	
56|57	50
58	
59	51
60	
61	52
62	53
63	54
64	55
65	
66	
67	56
68	
69|70	57
71|72	58
73	59
74	60
75	61
76	62
77	63
78	64
79	
80	65
81	66
82	67|68
83	69
84	70
85	71
86|87	72
88|89	73
90	74
91	75
92	76
93	77
94	78
95	
96|97	79
98	80
99	81
100	82
101	83
102	84
103	85
104	
105	86
106	87|88
107|108	89
109	90
110	91
111	92
112	93
113	94|95
114	96
115	97
116	98
117|118	99
119	100
120	
121	101
122	102|103
123	
124|125	104
126	105
127	106
128	107
129	
130	108
131	109
132|133	110
134|135	111
136	112
137	
138	113|114
139	115
140	
141|142	116
143|144	117
145	118
146	119
147	120
148	121
149	
150	122
151	
152	123
153	124
154	125
155	126
156	
157	127
158	128
159	129
160|161	130
162|163	131
164|165	132
166	133
167	
168	134
169|170	135
171|172	136
173	
174	137
175|176	138
177	139
178	140
179	141
180|181	142
182	143
183	144
184|185	145
186	
187|188	146
189	147
190	148
191|192	149
193	
194	150
195	151
196	
197	152
198	153
199	154
200	
201	155
202	
203	156
204	157
205	158
206	159
	160
207	161
208	162
209	163|164
210	165
	166
	167
	168
	169
	170
	171
211	172
212	173
213	174
214	175
	176
215	177
216	178
217|218	179
219	180
220	181
	182
	183
221	184
	185
222	186
223	187
	188
224	189|190
225	191|192
	193
	194
	195
226	196
227	
