A	B
0	
1	
2	
3	
4|5	0
6	1|2
7|8	3
9	4
10	5
11	6
12	7
13	8
14	9
15	10|11
16|17	12
18	13
19	14
20	15
21	16
22	17
23	18
24|25	19
	20
26	21
27|28	22
29	23
30	24
31	25
32	26
33	27
34	28|29
35	30
36	31
37	32|33
	34
38	35|36
39	37
40	38
41	39
42	40
	41
43	42|43
44	44
45	45
46	46
47	47
48	48
49	49
50	50
51	51
52	52
	53
53|54	54
55	55
56	56
57|58	57
59	58
60	59
61	60
62|63	61
64|65	62
66	63
67	64
68	65
69	66
70|71	67
72	68
73	69|70
74	71
75	72
76	73
77	74|75
78	76
79	77|78
80	79|80
81	81
82	82|83
83	84
84	85
85	86
86	87
87	88
88	89
89	90
90	91|92
91	93
92	94|95
93	96
94	97
95	98|99
96	100|101
97|98	102
99|100	103
101	104
102	105
103|104	106
105	107
106	108|109
107	110
	111
	112
108	113
109	114|115
110	116
111|112	117
	118
113	119|120
	121
114	122
115	123
116	124
117	125
118|119	126
120	127|128
121	129|130
	131
122	132|133
123|124	134
125|126	135
127	136|137
128|129	138
130	139
	140
131	141|142
132	143
133	144
134	145
135	146|147
136	148
137	149
138	150
139|140	151
141	152
142|143	153
144	154
145|146	155
147	156|157
148|149	158
150	159
151	160
152|153	161
154	162
155	163
156|157	164
158|159	165
160	166
161|162	167
163	168
164	169
165|166	170
167|168	171
169|170	172
171|172	173
173	174|175
174	176
175	177
176|177	178
178	179
179	180|181
180	182
181	183
	184
	185
182	186
183	187|188
184	189|190
185	191
186	192
187	193
188	
189	194|195
190	196
191	197
192	
193	198
194	199
195	
196	200
197	201
198|199	202
200	
201	
202	203
203|204	204
205	205
206	206
207	207
208|209	208
210	209
211	210
212	211
213	212|213
214	214
215	215
216	216|217
217	218
218	219|220
219	221|222
220	223
221	224
222|223	225
224	226
	227
225	228|229
226	230
227	
