0	Qualiter construenda est nauis		
1	et qualiter committendum nauale bellum		
2	et ad quae bella singula ordinantur		
3	Cap		
4|5	XXIII|In hoc ultimo capitulo tractare volumus aliqua de nauali bello	Chapter XXIII In this laste chapitre we wol trete som what of bataille of schippes	0
6	non tamen oportet circa hoc tantum insistere	but it nedeth not|to abyde longe there aboute	1|2
7|8	quia multa quae dicta sunt in aliis generibus bellorum|applicari poterunt ad naualem pugnam	for manye kynges that ben iseid of othere manere batailles mowe helpe in batailles in schippes	3
9	Circa hoc autem pugnandi genus	And touchynge that manere of figtynge	4
10	primo videndum est	first it is	5
11	qualiter fabricanda fit nauis	to wetynge how a schip scholde be maad	6
12	nam nauis male fabricata	For gif a schip is euel imaad	7
13	ex modica impugnatione hostium de facili perit	it is sone ilost by a litel asaillyng of enemyes	8
14	Sciendum ergo	Panne as Vigesius seith	9
15	quod secundum Vegetium	it is|to wetyng that treen	10|11
16|17	ligna ex quibus construenda est nauis|non sunt de quolibet tempore incidenda	and tymber of the whiche a schip scholde be maad scholde not be ifeld in eche tyme of the gere	12
18	Nam tempore Martii	For in March	13
19	et Aprilis	and in Auerel	14
20	in quo humor incipit in arboribus abundare	whan moche hemour is in treen	15
21	non est bonum incidere arbores	it is not good	16
22	ex quibus fabricanda est nauis	to feile treen of the whiche a schip scholde be maad	17
23	Sed tempore Iulii	But in Iule	18
24|25	et Augusti vel aliquo alio tempore|in quo humor arborum desiccatur	and in Agust other in som other tyme whanne the humour in treen is fordryed	19
		it is good	20
26	ad huiusmodi fabricam incidenda sunt ligna	to feile treen of the whiche a schip scholde be maad	21
27|28	Rursus|non statim incisis lignis est ex eis fabricanda nauis	Also a schip scholde not be made of treen anoon as thei ben ifeld	22
29	sed primo arbores sunt diuidendae per tabulas	but first treen scholde be isawed	23
30	et per ali	and imaad bordes therof	24
31	quod tempus dimittendae	and abyde a certeyne tyme that thei mowe drye	25
32	ut desiccari possint	and clynge	26
33	Nam si ex lignis viridibus construatur nauis	For gif a schip is imaad of grene tymber	27
34	quando naturalis eorum humor expirauerit	whanne the kynde humour passeth|and failleth	28|29
35	contrahuntur ligna	the tymber schrynthek	30
36	et faciunt in nauibus rimas	and matheth in the schip chynes	31
37	quibus in nauibus nihil periculosius esse potest	and cliftes|and no kyng mowe be more perilous than that	32|33
		And it is hard	34
38	Durum est enim intendere simul bellis naualibus	to tathe hede at ones|to batailles of schippes	35|36
39	et exponere se periculis	and to putte hemself	37
40	ne puppis per rimas naufragium patiatur	to peril lest the schippe be brothe other sonk	38
41	Viso qualiter incidenda sunt ligna	For it is iknowe how schip tymber schulde be feld	39
42	et quomodo reseruanda	and be let abyde	40
		for to dryge	41
43	ut ex eis nauis debite valeat fabricari	and clynge|for to mathe wel a schip therof	42|43
44	restat videre	it is	44
45	quomodoin naui bene fabricata committenda sunt bella	to wetynge how in a schip so imaad a bataille scholde be geue	45
46	Habet autem nauale bellum quantum ad aliqua similem modum bellandi	And touchynge som doynge a bataille of schippes hath som manere doynge liehe	46
47	cum ipsa pugna terrestri	to manere doynge of bataille of the feld	47
48	Nam sicut terrestri pugna oportet pugnantes bene armatos esse	For as in bataille of the feld it nedeth that figtynge men be wel iarmed	48
49	et bene se scire a persecutionibus protegere	and cunne wel defende hemself fro strothes	49
50	et hostibus vulnera infligere	and geuen enemyes sore strothes	50
51	sic	and woundes	51
52	et haec requiruntur in bello nauali	and so this nedeth in bataille of the see	52
		And	53
53|54	Immo in huiusmodi pugna oportet homines melius esse armatos|quam in terrestri	also in suche figtynge it nedede that men be betere iarmed than in figtynge in londe	54
55	quia	Panne	55
56	cum pugnatores marini quasi fixi stent in naui	for men that figten in the see stondeth as it were ipigt	56
57|58	et quasi modicum se moueant|melius sustinere possunt armorum pondera	and meuen but a lite thei mowe the better bere heuy armer	57
59	quare eorum armatura grauior esse debet	wherfore here ärmere scholde be the more heuy	58
60	Possumus tamen	But as it longeth	59
61	quantum ad praesens	to this doynge	60
62|63	decem enumerare|per quae marini pugnatores hostes impugnare debent	we may rethene ten by the whiche see figtynge men scholde assaylle here enemyes	61
64|65	Primum est ignis|quem Incendiarium vocant	the firste is fuyre that is icleped incendiarius	62
66	Expedit enim eis habere multa vasa plena pice	For it scholde haue wik hem manye vesselles ful of pich	63
67	sulphure	of brymston	64
68	rasina	of roseyn	65
69	oleo	of oyle	66
70|71	quae omnia sunt|cum stupa conuoluenda	and aile thes scholde be wrapped wik herdene	67
72	Haec enim vasa sic repleta sunt succendenda	And these vesselles so ful scholde be isette afuyre	68
