Rome_W_3_3_23.txt,cat_3_3_22.txt,Val_S_3_3_23.txt,trevisa_3_3_23_norm.txt,gauchy_3_3_22.txt
Qualiter construenda est nauis,Capítol xxiii En qual manera la nau deu ésser feta o edifficada,,,Icy declaire quant on doit faire les gallees de mer
et qualiter committendum nauale bellum,e en qual manera batayla naval o de mar deu ésser feta,,,comment on se doit combatre sur mer
et ad quae bella singula ordinantur Cap XXIII In hoc ultimo capitulo tractare volumus aliqua de nauali bello,e a què són ordonades quescunes batayles En aquest darrer capítol nós volem recomptar algunes coses de la batayla naval,En este postrimero capitulo queremos tractar algunas cosas de la batalla de las naues,Chapter XXIII In this laste chapitre we wol trete som what of bataille of schippes,et a queles choses toutes batailles doivent estre ordonnees en tempz et en lieu Darrain et XXIIe chapitre En ce darrain chapitre de toute ceste euvre nous dirons en brief aucunes choses ou enseignemens des battailles
non tamen oportet circa hoc tantum insistere,emperò no cal estar tant envers açò,·enpero non conuiene de nos de tener çerca esto tanto,but it nedeth not to abyde longe there aboute,qu' on fait sur eaue car moult des choses
,,por que muchas cosas,,
quia multa quae dicta sunt in aliis generibus bellorum applicari poterunt ad naualem pugnam,per tal com moltes coses qui són dites en les altres maneres de batayles poran ésser aplicades a la batayla naval envers aquesta manera de bataylar,que dichas son en las otras maneras de las batallas se podran traer e ayuntar a esta lid de las naues,for manye kynges that ben iseid of othere manere batailles mowe helpe in batailles in schippes,que nous avons dit cy dessus des autres batailles y sont pourfitables
Circa hoc autem pugnandi genus primo videndum est qualiter fabricanda fit nauis,Primerament deu ésser vist en qual manera la nau degya ésser feta,· Mas çerca esta manera de lidiar primeramente es de veer en qual manera es de fazer la naue,And touchynge that manere of figtynge first it is to wetynge how a schip scholde be maad,Et pour ce qu' on ne se peult pas bien combatre sur eaue
nam nauis male fabricata,quar la nau edifficada o feta malament perex,ca la naue mal fecha,For gif a schip is euel imaad,quant les vaisseaulz sont mauvaisement fais
ex modica impugnatione hostium de facili perit Sciendum ergo,per poca batayla de enamichs Donques deu hom saber,por pequena batalla de los enemigos de ligero peresçe · Et pues que assi es conuiene de saber,it is sone ilost by a litel asaillyng of enemyes Panne as Vigesius seith,nous dirons premierement comment on doit faire les nefz
quod secundum Vegetium,segons que diu Vegeti,que segunt que dize vegeçio,it is to wetyng that treen,et gallees
,que,,,
ligna ex quibus construenda est nauis non sunt de quolibet tempore incidenda,·ls fusts dels quals és feta la nau no deuen ésser taylats en quescun temps,que los maderos que se deue fazer la naue non son de taiar en qual si quier tienpo,and tymber of the whiche a schip scholde be maad scholde not be ifeld in eche tyme of the gere,Vegece en l' Art de chevalerie dist
Nam tempore Martii,quar en temps de març,·ca en el tienpo del março,For in March,que en march
et Aprilis,e d' april,e del abril,and in Auerel,et en apvril
in quo humor incipit in arboribus abundare,en lo qual comença habundar la humor en los arbres,en que el humor comiença de abondar,whan moche hemour is in treen,quant les arbres commencent a avoir habondance de seve ou humeur
non est bonum incidere arbores ex quibus fabricanda est nauis,no és bo taylar los arbres dels quals deu ésser feta la nau,e de cresçer en los arboles non es bueno de taiar los arboles de los quales deue ser fecha la naue,it is not good to feile treen of the whiche a schip scholde be maad,on ne doit pas cueillier ne copper les arbres ou mairiens de quoy on doit faire les nefz
Sed tempore Iulii,mas en temps de juliol,· Mas en el tienpo del iullio,But in Iule,ains les doit on cueillier
et Augusti vel aliquo alio tempore in quo humor arborum desiccatur,e d' agost o encara en algun temps en lo qual la humor dels arbres sia seccada,e del agosto o en algun otro tienpo por que los humores de los arboles se secan son de taiar los maderos,and in Agust other in som other tyme whanne the humour in treen is fordryed,et taillier en temps d' aoust et de juynet
,,,it is good,
ad huiusmodi fabricam incidenda sunt ligna Rursus non statim incisis lignis est ex eis fabricanda nauis,a aytal obra los fusts deuen ésser taylats Encara no tant tost com los fust són taylats deu ésser feta d' ells la nau,para esta façion de la naue ·Otrossi taiados los maderos non es luego de fazer la naue dellos,to feile treen of the whiche a schip scholde be maad Also a schip scholde not be made of treen anoon as thei ben ifeld,quant les humeurs des arbres commenchent a sechier Et ne doit on pas faire les nefz
sed primo arbores sunt diuidendae per tabulas,mas primerament los arbres deuen ésser departits,· Mas primero los arboles deuen ser serrados,but first treen scholde be isawed,si tost que les arbres sont tailliés
et per ali,per taules o deu les hom lexar,e partidos,and imaad bordes therof,ains les doit on fendre
,,por tablas,,
,,e por algun tienpo son de dexar,,
quod tempus dimittendae,per algun temps per ço,que esten assi por,and abyde a certeyne tyme that thei mowe drye,et en faire bonnes aisselles
ut desiccari possint,que pusquen ésser seccades,que se puedan secar,and clynge,lesqueles on doit laissier sechier
,,,,et sanchier;
Nam si ex lignis viridibus construatur nauis,quar si la nau és feta de fust verts,ca si la naue se faze de madera verde,For gif a schip is imaad of grene tymber,car se on faisoit les nefz de vert mairien
quando naturalis eorum humor expirauerit,quan la humor lur natural serà fora crida,quando el humor natural dellos se va e se seca,whanne the kynde humour passeth and failleth,quant il avroit perdu le humeur naturele de luy
contrahuntur ligna,estrenyen se los fusts,· los maderos se encogen,the tymber schrynthek,le dit mairien se retrairoit
et faciunt in nauibus rimas,e fan en les naus fenadures obertures,e fazese a venturas en las naues,and matheth in the schip chynes,et seroient es nefz crevaches
