0	Ex regia		
1	ac sanctissima prosapia oriundo suo Domino specialia Domino Philippo primogenito		
2	& haeredi praeclarissimi viri Domini Philippi Dei gratia Illustrissimi Regis francorum		
3	Suus deuotus Fr Aegidius Romanus Ordinis Fratrum Eremitarum S Augustini	El su deuoto fray Gil romano de la orden de sant Agustin	0
4	cum recommendatione seipsum	con muy humildosa recomendacion	1
		assi mesmo	2
5	et ad omnia famulatum	para todo su seruicio	3
6	Clamat Politicorum sententia	La sentencia de las politicas	4
		que quiere dezir sciencia de gouernamiento de las çibdades	5
		dize assi	6
7	omnes principatus non esse aequaliter diuturnos	Que todos los principes no son ygualmente duraderos	7
8	nec aequali periodo singula regimina mensurari	ni tienen mesura todos los gouernamientos singulares|por ygual mesura de tienpo	8|9
9	sed aliqua sunt annualia	Ca algunos gouernamientos son mesurados	10
10	aliqua ad vitam	por vn año	11
11	aliqua vero per haereditatem	e otros|por vida de un ombre	12|13
		Otros	14
12	et successionem in filiis	por heredamiento|e por sucession de fiios	15|16
13	quae quodammodo perpetua iudicantur	que son iuzgados|por las cosas naturales	17|18
		muestran	19
14	Cum igitur	e dizen	20
15|16	nullum violentum esse perpetuum|fere omnia naturalia protestentur	que ninguna co sa puede ser perpetua aqui en la tierra	21
17	qui in se	Aquel	22
18	et in suis posterioribus filiis suum principatuum perpetuari desiderat	que mucho dessea quel su principado sea perpetuado en|si e enlos fijos	23|24
		que vienen enpos del	25
19|20	summopere studere debet|ut sit suum regimen naturale	deue afincadamen te estudiar quel su gouernamiento sea natural	26
21	Nunquam autem naturalis quis rector efficitur	por que nunca puede ser ninguno gouernador natural	27
22|23	si passione|aut voluntate cupiat principari	si siempre quiere gouernar con passion	28
24|25	sed si custos iusti existens absque ratione|et lege nihil statuat imperandum	e con voluntad	29
26	Nam	Mas	30
		aquel que es gouernador de iusticia no deue ordenar ni mandar ninguna cosa sin razon	31
		e sin ley	32
27	(ut testatur Philosophus	Ca segund|que dize el philosopho	33|34
28	) sicut est naturaliter seruus	assi como es naturalmente sieruo	35
29	qui pollens viribus	aquel que es fuerte en el cuerpo|e en las virtudes corporales	36|37
30	deficit intellectu	e fallesçe en el entendimiento	38
31	sic vigens mentis industria	assi aquel|que es virtuoso	39|40
32	et regitiua prudentia	e poderoso en el entendimiento	41
33	naturaliter dominatur	naturalmente es señor	42
		por gouernamiento	43
		e por sabiduria	44
		que es razon derecha en todas las cosas	45
		que ha de fazer	46
34	Quare si vestra generositas gloriosa me amicabiliter requisiuit	Por la qual razon|si la vuestra gloriosa nobleza muy enamorosamente mando	47|48
35|36	ut de eruditione Principum|siue de regimine Regum quendam librum componerem	que yo conpusiesse vn libro de doctrina	49
37	quatenus gubernatione regni secundum rationem	e gouernamiento segund razon	50
38	et legem diligentius circumspecta polleretis regimine naturali	e segund ley pudiessedes naturalmente gouernar vuestro reyno	51
39	ut apparet ad liquidum	assi como manifiestamente paresçe	52
40	non instinctu humano	esta peticion no vino	53
41	sed potius diuino	por ombre|mas vino	54|55
42	huiusmodi petitio postulatur	por dios	56
43	Videtur enim Deus omnipotens	Paresçe|que dios	57|58
44|45	in cuius foemore scribitur|dominus dominantium	que es todo poderoso en cuya vestidura esta escripto	59
		Señor de los señores	60
46	et rex regum	rey de los reyes	61
47	vestrae domus sanctissimae curam gerere specialem	que ouo cuydado dela santa casa vuestra	62
48	cum vestram pudicam	quando inclino la vuestra limpia	63
49	ac venerabilem infantiam inclinauit	e honrrada mançebia	64
50	ut sequens suorum patrum	que sigua las carreras de vuestros padres	65
51	ac praedecessorum vestigia	e de vuestros predecessores donde venides	66
52	in quibus peramplius	en los quales siempre ha	67
53	et perfectius viget	e ouo muy acabadamente	68
54	et viguit zelus fidei	e muy complidamente zelo de fe	69
55	et religio christiana	e de religion christiana	70
		El qual zelo	71
		e amor de fe desseo sienpre guardar las reglas muy iustas	72
56	non passione	no|por passion ni	73|74
57	et voluntate	por voluntad	75
58	sed lege	mas por ley	76
59	et intellectu regulas regni iustissimas cupiat praeseruare	e entendimiento|Pues	77|78
60	Hac igitur requisitione laudabili	assi es|por la vuestra peticion muy loada	79|80
61	et honesta	e muy honesta	81
62	quam mihi reputo in praeceptum	la qual resçibo|por mandamiento	82|83
63	necnon	E avn	84
64	et suffragante bono gentis	por que an esto me induze el bien de la gente	85
65	et communi	e el bien comun	86
66	quod est diuinius quam bonum ali	que es|mas diuinal	87|88
67|68	quod singulare|irrecusabiliter inclinatus	que ningund bien especial ni personal	89
69|70	(auxiliante altissimo|) delectabiliter opus aggrediar	Por ende fuy mouido sin ninguna escusacion con el ayuda de dios de començar con buena voluntad esta obra	90
71	ut vestra reuerenda nobilitas requisiuit	assi como la vuestra nobleza alta demando	91
