0	Ex regia	Son especial seignour nez de ligniee roiale|et sainte	0|1
1	ac sanctissima prosapia oriundo suo Domino specialia Domino Philippo primogenito	Mon seignour phelippe Anz nez filz|et hoir	2|3
2	& haeredi praeclarissimi viri Domini Philippi Dei gratia Illustrissimi Regis francorum	mon seignour phelippe : tres noble roy de france|par la grace de dieu frere Gile de Rome son clere humble	4|5
3	Suus deuotus Fr Aegidius Romanus Ordinis Fratrum Eremitarum S Augustini	et deuot|frere de lordre de sant augustin salut	6|7
4	cum recommendatione seipsum	et quanque il : de seruise	8
5	et ad omnia famulatum	et donneur	9
6	Clamat Politicorum sententia	Li liures de gouuerner les citez nous enseigne	10
7	omnes principatus non esse aequaliter diuturnos	que toutes seignories ne durent pas tant lune cõme lautre	11
8	nec aequali periodo singula regimina mensurari	ne toz les gouuernemenz des seignours	12
9	sed aliqua sunt annualia	et des princes ne sunt pas igaus:	13
10	aliqua ad vitam	quar aucunes seignories durent par lan	14
11	aliqua vero per haereditatem	aucunes par la uie dun home	15
12	et successionem in filiis	Aucunes seignories sunt	16
13	quae quodammodo perpetua iudicantur	qui puent durer tousjors par aucune maniere	17
14	Cum igitur nullum violentum esse perpetuum	par heritage	18
15	fere omnia naturalia protestentur	et par succession de lour hoirs	19
16	qui in se	Dont cil	20
17	et in suis posterioribus filiis suum principatuum perpetuari desiderat	qui desirre sa seignorir a faire durer en soi|et en ses hoirs	21|22
18	summopere studere debet	il doit diligenment entendre a ce	23
19	ut sit suum regimen naturale	que il ait maniere naturel a gouerner son pueple|por ce que nature preuue	24|25
		que chose	26
20	Nunquam autem naturalis quis rector efficitur	que est faite a force etcontre nature nen puet durer tousjors|Et nuls nest naturel gouerneurres	27|28
21	si passione	Se il couoite a seienorir par maluaise uolente ou pour aucu malueis desirrer|[[	29|30
22	aut voluntate cupiat principari	]] re le seignourie|si est a force	31|32
23	sed si custos iusti existens absque ratione	et contre nature|Mes ell est gouerneur naturel	33|34
24	et lege nihil statuat imperandum	qui nestablit ne ne commande fors ce|que loy	35|36
25	Nam	et raisons enseigne|et ce est ce	37|38
26	(ut testatur Philosophus	que le phylosophe dient	39
27	) sicut est naturaliter seruus	que cil	40
28	qui pollens viribus	qui a force de cõs	41
29	deficit intellectu	et defaut de soutillete dentendement	42
30	sic vigens mentis industria	et dengni est sers par nature|Et cil	43|44
31	et regitiua prudentia	qui a soutillete dentendement|et sens pour gouerner soi	45|46
32	naturaliter dominatur	et autrui doit estre seignour par nature	47
33	Quare si vestra generositas gloriosa me amicabiliter requisiuit	Dont come uit gloriouse noblesce ait requis ammablement|que ie feisse	48|49
34	ut de eruditione Principum	i	50
35	siue de regimine Regum quendam librum componerem	liure|qui ensegnast les roys	51|52
36	quatenus gubernatione regni secundum rationem	et les princes a gouuerner|et eus	53|54
37	et legem diligentius circumspecta polleretis regimine naturali	et leur pueple|pour ce que uous puissiez gouerner naturelment nous	55|56
38|39	ut apparet ad liquidum|non instinctu humano	et uie pueple selonc raison	57
40	sed potius diuino	et loy|Apres ce	58|59
41	huiusmodi petitio postulatur	que uous cest liure diligangment eussiez reguarde	60
42	Videtur enim Deus omnipotens	Bien apert|que ceste requeste uous auez faite plus par mouement de dieu	61|62
43	in cuius foemore scribitur	que par mouement humain	63
44	dominus dominantium	et apert bien	64
45	et rex regum	que dieu en cui poissance il est fait escrit: sires des sires	65
46	vestrae domus sanctissimae curam gerere specialem	et roi des rois ait especiale cure de votre sainte ligniee|et de uotre sainte maison	66|67
47	cum vestram pudicam	quant il a encline	68
48	ac venerabilem infantiam inclinauit	et uotre enfance chaste|et honorable a ce	69|70
49	ut sequens suorum patrum	que uous uoulez garder les bonnes loys	71
50	ac praedecessorum vestigia	et les bonnes costumes du roiaume	72
51|52	in quibus peramplius|et perfectius viget	Et puissiez gouerner uotre roiaume selonc loy raison	73
53|54	et viguit zelus fidei|et religio christiana	non pas par mauuese uolente	74
55	non passione	ne par mauues mouuement	75
56|57	et voluntate|sed lege	et bien en siuez les fez de votre pere	76
58	et intellectu regulas regni iustissimas cupiat praeseruare	et de uous ancesores es quiex parfaitement aresplendi toziors la sainte crestiente|et la foi de sainte Eglise	77|78
59|60	Hac igitur requisitione laudabili|et honesta	Et pour ce ie enclinez sans escusance pour votre requeste loable e enamoree	79
61|62	quam mihi reputo in praeceptum|necnon	laquele ne tieng en commandement	80
63|64	et suffragante bono gentis|et communi	e por bien commun	81
65	quod est diuinius quam bonum ali	que le pueple ipuet auou|qui est plus granz e plus dignes	82|83
66|67	quod singulare|irrecusabiliter inclinatus	que nul bien singuler o laide de dieu faire cest liure delitablement	84
68	(auxiliante altissimo	si comme uotre glorieuse noblece|qui est digne de toute emeur	85|86
69|70	) delectabiliter opus aggrediar|ut vestra reuerenda nobilitas requisiuit	et de toute reuerence ma requis	87
