		To his special lord icome of kynges blood	0
		and of most holy kyn	1
		Ti Sire Phelyp þe eldest sone	2
		and heire of þe passyng clere man Sire Phelyp	3
		by the grace of God most noble kyng of Frensch men	4
		his deuote frere Gyeles Romayn	5
0	Suus deuotus Fr Aegidius Romanus Ordinis Fratrum Eremitarum S Augustini	of þe ordre of frere heremytes of Seint Austeyn	6
1	cum recommendatione seipsum	with recommendacioun hymself	7
2	et ad omnia famulatum	and to al seruyce	8
3	Clamat Politicorum sententia	Politik sentence	9
		þat is sentens of resonable rule	10
4	omnes principatus non esse aequaliter diuturnos	crieth that nougt alle principatus	11
5	nec aequali periodo singula regimina mensurari	þat is to say dignytees	12
6	sed aliqua sunt annualia	and hye astates	13
7	aliqua ad vitam	duren ileche long	14
		noþer al gouernans bien imete with euene duryng of tyme	15
		Bot som dureþ	16
8	aliqua vero	for on zere	17
		and som	18
		for terme of lyf	19
		and som ben idemed perpetual by heritage	20
9	per haereditatem et successionem in filiis	and by successioun in children	21
10	quae quodammodo perpetua iudicantur	Þan	22
11	Cum igitur	for ny	23
		alle kyndeliche thynges witnesseÞ	24
12	nullum violentum esse perpetuum	þat non violent thyng is perpetual	25
13	fere omnia naturalia protestentur		
14	qui in se	he	26
15	et in suis posterioribus filiis suum principatuum perpetuari desiderat	þat desireþ to make his principate perpetual in hymself	27
		and in his children	28
16	summopere studere debet	and successours schal study with gret bysynesse	29
17	ut sit suum regimen naturale	þat is gouer nans be kyndelich	30
18	Nunquam autem naturalis quis rector efficitur	Neuer man is made kyndelich rector	31
19	si passione	þat is to say gouernour	32
20	aut voluntate cupiat principari	zif he desireþ to be prince by passioun	33
21	sed	þat is by suffryng	34
22	si custos iusti existens absque ratione	oþer by wil	35
23	et lege nihil statuat imperandum	Bot gif he is a kepere of rigt he schal ordeyne to commaunde no thing with oute resoun	36
24	Nam	and lawe	37
25	(ut testatur Philosophus	for as þe philosofer seiþ	38
26	) sicut est naturaliter seruus	as he is kyndelich a seruant	39
27	qui pollens viribus	þat is strong of body	40
28	deficit intellectu	and faileþ in wyt	41
		so he	42
29	sic vigens mentis industria	þat is strong of wit	43
30	et regitiua prudentia	and sleigh of konnyng	44
31	naturaliter dominatur	and redy of gouernans | is kyndelich a lord	45
32	Quare	Þer	46
33	si vestra generositas gloriosa me amicabiliter requisiuit	for youre gloryous nobilte requyred me frendly to compone or make a boke of loore of princes oþer of gouernans of kynges	47
34	ut de eruditione Principum	þat ge myzt knowe	48
		and se	49
35	siue de regimine Regum quendam librum componerem	and loke besilich gouernans of a regne by lawe	50
36	quatenus gubernatione regni secundum rationem	and resoun	51
37	et legem diligentius circumspecta polleretis regimine naturali	and be excellent	52
38	ut apparet ad liquidum	þat is to say hym passyng	53
39	non instinctu humano	in kynde gou ernans	54
40	sed potius diuino	as it semeþ clerelich	55
41	huiusmodi petitio postulatur	þat þis peticion is iaxed by excityng of God	56
		and nougt of man	57
		It semeþ	58
42	Videtur enim Deus omnipotens	þat almygty God in whos hemme it is iwrete	59
43	in cuius foemore scribitur		
44	dominus dominantium et rex regum	Lord of lordes	60
		and Kyng of kynges	61
45	vestrae domus sanctissimae curam gerere specialem	” haþ special cure of zoure holy hous	62
46	cum vestram pudicam	for he inclyneþ	63
		þat is to say aboweþ	64
47	ac venerabilem infantiam inclinauit	zoure chaste	65
48	ut sequens suorum patrum	and worthi childhode to folwe þe fores of youre forfadres in þe whiche was gret	66
49	ac praedecessorum vestigia	and parfite loue of þe fey	67
50	in quibus peramplius et perfectius viget et viguit zelus fidei et religio christiana	And Cristene religioun desireþ to kepe	68
		and saue rigtful rules of þe regne by wit	69
51	non passione et voluntate	and lawe	70
52	sed lege et intellectu regulas regni iustissimas cupiat praeseruare	and nougt by silf wille	71
53	Hac igitur requisitione laudabili et honesta	Þan by this noble requysicioun	72
		that is to say bysechyng	73
		and honest	74
54	quam mihi reputo in praeceptum	that I acounte to me precepte	75
		and commandement	76
		and also	77
55	necnon et suffragante bono gentis et communi	for help of good men	78
		and of þe comyn profit	79
56	quod est diuinius quam bonum aliquod singulare	þat is more godelich þan eny synguler profite	80
		I am inclyned	81
57	irrecusabiliter inclinatus	and ibend withoute recusacioun	82
58	(auxiliante altissimo	þat is forsakyng	83
59	) delectabiliter opus aggrediar	to voide	84
60	ut vestra reuerenda nobilitas requisiuit	an auenture with likynge on þis worke by helpe of God as youre worthi nobelte haþ requyred	85
		þat is bysouzt	86
