0	Ex regia	To his special lord icome of kynges blood	0
1	ac sanctissima prosapia oriundo suo Domino specialia Domino Philippo primogenito	and of most holy kyn|Ti Sire Phelyp the eldest sone	1|2
2	& haeredi praeclarissimi viri Domini Philippi Dei gratia Illustrissimi Regis francorum	and heire of the passyng clere man Sire Phelyp|by the grace of God most noble kyng of Frensch men	3|4
3	Suus deuotus Fr Aegidius Romanus Ordinis Fratrum Eremitarum S Augustini	his deuote frere Gyeles Romayn|of the ordre of frere heremytes of Seint Austeyn	5|6
4	cum recommendatione seipsum	with recommendacioun hymself	7
5	et ad omnia famulatum	and to al seruyce	8
6	Clamat Politicorum sententia	Politik sentence|that is sentens of resonable rule	9|10
7	omnes principatus non esse aequaliter diuturnos	crieth that nougt alle principatus|that is	11|12
8	nec aequali periodo singula regimina mensurari	to say dignytees	13
9	sed aliqua sunt annualia	and hye astates|duren ileche long	14|15
10	aliqua ad vitam	nother al gouernans bien imete with euene duryng of tyme|Bot som dureth for on ʒere	16|17
11	aliqua vero per haereditatem	and som for terme of lyf|and som ben idemed perpetual by heritage	18|19
12	et successionem in filiis	and by successioun in children	20
13|14	quae quodammodo perpetua iudicantur|Cum igitur nullum violentum esse perpetuum	Than for nyʒ alle kyndeliche thynges witnesseth that non violent thyng is perpetual	21
15	fere omnia naturalia protestentur		
16	qui in se	he that desireth	22
17	et in suis posterioribus filiis suum principatuum perpetuari desiderat	to make his principate perpetual in hymself|and in his children	23|24
		and successours	25
18|19	summopere studere debet|ut sit suum regimen naturale	schal study with gret bysynesse that is gouernans be kyndelich	26
20	Nunquam autem naturalis quis rector efficitur	Neuer man is made kyndelich rector	27
21	si passione	that is|to say gouernour	28|29
22	aut voluntate cupiat principari	ʒif he desireth|to be prince by passioun	30|31
23	sed si custos iusti existens absque ratione	that is by suffryng|other by wil	32|33
		Bot ʒif he is a kepere of rigt he schal ordeyne	34
24	et lege nihil statuat imperandum	to commaunde no thing withoute resoun	35
25	Nam	and lawe	36
26	(ut testatur Philosophus	for as the philosofer seith	37
27|28	) sicut est naturaliter seruus|qui pollens viribus	as he is kyndelich a seruant that is strong of body	38
29	deficit intellectu	and faileth in wyt	39
30	sic vigens mentis industria	so he that is strong of wit	40
31	et regitiua prudentia	and sleigh of konnyng	41
32	naturaliter dominatur	and redy of gouernans is kyndelich a lord	42
33	Quare si vestra generositas gloriosa me amicabiliter requisiuit	therfor youre gloryous nobilte requyred me frendly	43
34|35	ut de eruditione Principum|siue de regimine Regum quendam librum componerem	to compone or make a boke of loore of princes other of gouernans of kynges	44
36	quatenus gubernatione regni secundum rationem	that ge myzt knowe	45
37	et legem diligentius circumspecta polleretis regimine naturali	and se|and loke besilich gouernans of a regne by lawe	46|47
38	ut apparet ad liquidum	and resoun|and be excellent	48|49
39	non instinctu humano	that is	50
40	sed potius diuino	to say hym passyng|in kynde gouernans	51|52
41	huiusmodi petitio postulatur	as it semeth clerelich that this peticion is iaxed by excityng of God|and nouʒt of man	53|54
42|43	Videtur enim Deus omnipotens|in cuius foemore scribitur	It semeth that almygty God in whos hemme it is iwrete	55
44	dominus dominantium	Lord of lordes	56
45	et rex regum	and Kyng of kynges	57
46	vestrae domus sanctissimae curam gerere specialem	” hath special cure of ʒoure holy hous|for he inclyneth	58|59
47	cum vestram pudicam	that is|to say aboweth	60|61
48	ac venerabilem infantiam inclinauit	ʒoure chaste|and worthi childhode	62|63
49|50	ut sequens suorum patrum|ac praedecessorum vestigia	to folwe the fores of youre forfadres	64
51	in quibus peramplius	in the whiche was gret	65
52|53	et perfectius viget|et viguit zelus fidei	and parfite loue of the fey	66
54	et religio christiana	And Cristene religioun desireth	67
55	non passione	to kepe	68
56	et voluntate	and saue rigtful rules of the regne by wit	69
57	sed lege	and lawe	70
58	et intellectu regulas regni iustissimas cupiat praeseruare	and nougt by silf wille	71
59	Hac igitur requisitione laudabili	Than by this noble requysicioun|that is	72|73
		to say bysechyng	74
60	et honesta	and honest	75
61	quam mihi reputo in praeceptum	that I acounte|to me precepte	76|77
62	necnon	and commandement|and	78|79
63	et suffragante bono gentis	also for help of good men	80
64	et communi	and of the comyn profit	81
65|66	quod est diuinius quam bonum ali|quod singulare	that is more godelich than eny synguler profite	82
67	irrecusabiliter inclinatus	I am inclyned|and ibend withoute recusacioun	83|84
68	(auxiliante altissimo	that is forsakyng	85
69	) delectabiliter opus aggrediar	to voide	86
70	ut vestra reuerenda nobilitas requisiuit	an auenture with likynge on this worke by helpe of God as youre worthi nobelte hath requyred|that is bysouʒt	87|88
