0	To his special lord icome of kynges blood		
1	and of most holy kyn		
2	Ti Sire Phelyp the eldest sone		
3	and heire of the passyng clere man Sire Phelyp		
4	by the grace of God most noble kyng of Frensch men		
5|6	his deuote frere Gyeles Romayn|of the ordre of frere heremytes of Seint Austeyn	El su deuoto fray Gil romano de la orden de sant Agustin	0
7	with recommendacioun hymself	con muy humildosa recomendacion	1
8	and to al seruyce	assi mesmo|para todo su seruicio	2|3
9	Politik sentence	La sentencia de las politicas	4
10|11	that is sentens of resonable rule|crieth that nougt alle principatus	que quiere dezir sciencia de gouernamiento de las çibdades	5
12	that is		
13	to say dignytees	dize assi	6
14|15	and hye astates|duren ileche long	Que todos los principes no son ygualmente duraderos	7
16	nother al gouernans bien imete with euene duryng of tyme	ni tienen mesura todos los gouernamientos singulares	8
17	Bot som dureth	por ygual mesura de tienpo|Ca algunos gouernamientos son mesurados	9|10
18	for on ʒere	por vn año	11
19	and som	e otros	12
20	for terme of lyf	por vida de un ombre	13
		Otros	14
21	and som ben idemed perpetual by heritage	por heredamiento|e por sucession de fiios	15|16
22	and by successioun in children	que son iuzgados|por las cosas naturales	17|18
23	Than	muestran	19
24	for nyʒ alle kyndeliche thynges witnesseth that non violent thyng is perpetual	e dizen|que ninguna co sa puede ser perpetua aqui en la tierra	20|21
25	he that desireth	Aquel	22
26	to make his principate perpetual in hymself	que mucho dessea quel su principado sea perpetuado en	23
27	and in his children	si e enlos fijos	24
28	and successours schal study with gret bysynesse that is gouernans be kyndelich	que vienen enpos del|deue afincadamen te estudiar quel su gouernamiento sea natural	25|26
29|30	Neuer man is made kyndelich rector|that is	por que nunca puede ser ninguno gouernador natural	27
31	to say gouernour		
32|33	ʒif he desireth|to be prince by passioun	si siempre quiere gouernar con passion	28
34	that is by suffryng		
35	other by wil	e con voluntad|Mas	29|30
36|37	Bot ʒif he is a kepere of rigt he schal ordeyne|to commaunde no thing withoute resoun	aquel que es gouernador de iusticia no deue ordenar ni mandar ninguna cosa sin razon	31
38	and lawe	e sin ley	32
39	for as the philosofer seith	Ca segund|que dize el philosopho	33|34
40	as he is kyndelich a seruant that is strong of body	assi como es naturalmente sieruo|aquel que es fuerte en el cuerpo	35|36
		e en las virtudes corporales	37
41	and faileth in wyt	e fallesçe en el entendimiento	38
42	so he that is strong of wit	assi aquel|que es virtuoso	39|40
		e poderoso en el entendimiento	41
		naturalmente es señor	42
43	and sleigh of konnyng	por gouernamiento|e por sabiduria	43|44
44	and redy of gouernans is kyndelich a lord	que es razon derecha en todas las cosas|que ha de fazer	45|46
45	ther	Por la qual razon	47
46	for youre gloryous nobilte requyred me frendly	si la vuestra gloriosa nobleza muy enamorosamente mando	48
47	to compone or make a boke of loore of princes other of gouernans of kynges		
48|49	that ge myzt knowe|and se	que yo conpusiesse vn libro de doctrina	49
50|51	and loke besilich gouernans of a regne by lawe|and resoun	e gouernamiento segund razon	50
52|53	and be excellent|that is	e segund ley pudiessedes naturalmente gouernar vuestro reyno	51
54|55	to say hym passyng|in kynde gouernans	assi como manifiestamente paresçe	52
56	as it semeth clerelich that this peticion is iaxed by excityng of God	esta peticion no vino|por ombre	53|54
57	and nouʒt of man	mas vino|por dios	55|56
		Paresçe	57
58	It semeth that almygty God in whos hemme it is iwrete	que dios|que es todo poderoso en cuya vestidura esta escripto	58|59
59	Lord of lordes	Señor de los señores	60
60	and Kyng of kynges	rey de los reyes	61
61|62	” hath special cure of ʒoure holy hous|for he inclyneth	que ouo cuydado dela santa casa vuestra	62
63	that is		
64|65	to say aboweth|ʒoure chaste	quando inclino la vuestra limpia	63
66	and worthi childhode	e honrrada mançebia	64
67	to folwe the fores of youre forfadres	que sigua las carreras de vuestros padres	65
		e de vuestros predecessores donde venides	66
68	in the whiche was gret	en los quales siempre ha	67
69	and parfite loue of the fey	e ouo muy acabadamente|e muy complidamente zelo de fe	68|69
70	And Cristene religioun desireth	e de religion christiana	70
71	to kepe	El qual zelo	71
72	and saue rigtful rules of the regne by wit	e amor de fe desseo sienpre guardar las reglas muy iustas	72
73	and lawe	no	73
74	and nougt by silf wille	por passion ni|por voluntad	74|75
75	Than by this noble requysicioun	mas por ley|e entendimiento	76|77
		Pues	78
76	that is	assi es	79
77	to say bysechyng	por la vuestra peticion muy loada	80
78	and honest	e muy honesta	81
79	that I acounte	la qual resçibo	82
80	to me precepte		
81	and commandement	por mandamiento	83
82	and also	E avn	84
83	for help of good men	por que an esto me induze el bien de la gente	85
84	and of the comyn profit	e el bien comun|que es	86|87
85|86	that is more godelich than eny synguler profite|I am inclyned	mas diuinal	88
87|88	and ibend withoute recusacioun|that is forsakyng	que ningund bien especial ni personal	89
89|90	to voide|an auenture with likynge on this worke by helpe of God as youre worthi nobelte hath requyred	Por ende fuy mouido sin ninguna escusacion con el ayuda de dios de començar con buena voluntad esta obra	90
91	that is bysouʒt	assi como la vuestra nobleza alta demando	91
