0	To his special lord icome of kynges blood	Al seu especial senyor de reyal	0
1	and of most holy kyn	e sant linatge natural	1
2	Ti Sire Phelyp the eldest sone	En Philip primer|nat	2|3
3	and heire of the passyng clere man Sire Phelyp	e hereter del molt clar senyor En Philip	4
4	by the grace of God most noble kyng of Frensch men	per la gràcia de Déu|rey dels franceses	5|6
5	his deuote frere Gyeles Romayn	lo seu devot frare Egidi de Roma	7
6	of the ordre of frere heremytes of Seint Austeyn	de l orde dels frares ermitans de Sent Agustí	8
7	with recommendacioun hymself	si ab humil recomendació	9
8	and to al seruyce	e en totes coses servidor	10
9	Politik sentence	Clama	11
10	that is sentens of resonable rule	e crida la sentència dels políthics	12
11|12	crieth that nougt alle principatus|that is	que totes les senyories no són egualment perdurables	13
13|14	to say dignytees|and hye astates	ne	14
15|16	duren ileche long|nother al gouernans bien imete with euene duryng of tyme	per egual durada quescuns regiments són mesurats	15
17	Bot som dureth		
18|19	for on ʒere|and som	mas alguns regiments annuals	16
20	for terme of lyf	altres a vida de persona	17
21	and som ben idemed perpetual by heritage	e altres heretat	18
22	and by successioun in children	e successió en los fills	19
23	Than	en alguna perpertual manera són jutgats|E donques com	20|21
24	for nyʒ alle kyndeliche thynges witnesseth that non violent thyng is perpetual	quar totes les coses naturals protesten o confermen|que nenguna cosa violenta o forcívol no sia perpetual	22|23
25	he that desireth	aquell qui destga	24
26	to make his principate perpetual in hymself	que la sua senyoria sia perpetuada|en	25|26
		si mateix	27
27	and in his children	e en los fills darrers	28
28	and successours schal study with gret bysynesse that is gouernans be kyndelich	sobiranament deu estudiar|que lo seu regne sia natural	29|30
29	Neuer man is made kyndelich rector	E nuyl temps algú no serà natural regidor	31
30|31	that is|to say gouernour	si per passió o	32
32|33	ʒif he desireth|to be prince by passioun	per voluntat ell desiga senyoregiar	33
34|35	that is by suffryng|other by wil	mas	34
36	Bot ʒif he is a kepere of rigt he schal ordeyne	si ell és guardador de la cosa justa	35
37	to commaunde no thing withoute resoun	e que no establesca ne ordon res sens rahó ne sens ley|ell serà natural regidor	36|37
38	and lawe	Car	38
39	for as the philosofer seith	segons|que fa testimoni lo natural philòsoph	39|40
40	as he is kyndelich a seruant that is strong of body	axí com aquell qui usa|e habunda en força	41|42
41	and faileth in wyt	e defayll en lo seu enteniment és naturalment servent	43
42	so he that is strong of wit	axí aquell qui ha indústria en la sua pensa	44
43|44	and sleigh of konnyng|and redy of gouernans is kyndelich a lord	e prudència o saviesa regitiva naturalment és fet senyor	45
45	ther	Perquè	46
46	for youre gloryous nobilte requyred me frendly	si la vostra gloriosa generositat amicablement ha request o demanat a mi	47
47|48	to compone or make a boke of loore of princes other of gouernans of kynges|that ge myzt knowe	que de la doctrina dels prínceps o del regiment dels reys yo ordanàs un libre	48
49	and se	per lo qual	49
50	and loke besilich gouernans of a regne by lawe	guardada pus diligentment segons rahó|e ley la governació del regne	50|51
51	and resoun	vós resplandissets	52
52	and be excellent	per regiment natural	53
53	that is	segons	54
54	to say hym passyng	que par clarament	55
55	in kynde gouernans	no|per instrucció humanal	56|57
56	as it semeth clerelich that this peticion is iaxed by excityng of God	ans més divinal|aquesta petició és demanada	58|59
57	and nouʒt of man	Quar	60
58	It semeth that almygty God in whos hemme it is iwrete	sembla que Nostre Senyor Déus Tot Poderós	61
59	Lord of lordes	en la cuxa del qual és scrit senyor dels senyorejants	62
60	and Kyng of kynges	e rey dels reys	63
61	” hath special cure of ʒoure holy hous	de la vostra sancta casa tengua|e haja cura special	64|65
62	for he inclyneth		
63	that is	en so	66
64	to say aboweth	que la vostra munda	67
65|66	ʒoure chaste|and worthi childhode	e honrada infantea ha inclinada que	68
67	to folwe the fores of youre forfadres	seguint les petjades dels seus pares|e predecessors	69|70
68	in the whiche was gret	en los quals longuament	71
69	and parfite loue of the fey	e perfetament fo cel|e amor de la fe	72|73
70	And Cristene religioun desireth	e de la religió christiana	74
71	to kepe	no|per passió ne	75|76
72	and saue rigtful rules of the regne by wit	per voluntat|mas per ley	77|78
73	and lawe	e per rahó	79
		les retgles	80
74|75	and nougt by silf wille|Than by this noble requysicioun	e les costumes justes del regne desija observar	81
76	that is	Donques yo	82
77	to say bysechyng	inclinat sens nenguna excusació|per aquesta loable	83|84
78	and honest	e honesta requisició	85
79|80	that I acounte|to me precepte	la qual reput a mi ésser manament	86
81	and commandement		
82	and also	encara més	87
83	for help of good men	ajudant a mi lo bé de la gent	88
84	and of the comyn profit	el bé comú	89
85	that is more godelich than eny synguler profite	lo qual és pus divinal|que algun bé singular	90|91
86|87	I am inclyned|and ibend withoute recusacioun	anidant a mi l Altíssime	92
88|89	that is forsakyng|to voide	delitablement la obra començaré	93
90|91	an auenture with likynge on this worke by helpe of God as youre worthi nobelte hath requyred|that is bysouʒt	segons la vostra honrada noblesa ha request	94
