0	To his special lord icome of kynges blood	Son especial seignour nez de ligniee roiale	0
1	and of most holy kyn	⁊ sainte	1
2	Ti Sire Phelyp the eldest sone	¶ Mon seignour phelippe Anz nez filz	2
3	and heire of the passyng clere man Sire Phelyp	⁊ hoir	3
4	by the grace of God most noble kyng of Frensch men	mon seignour phelippe : tres noble roy de france par la grace dedieu	4
5	his deuote frere Gyeles Romayn	¶ frere Gile de Rome son clere humble	5
6	of the ordre of frere heremytes of Seint Austeyn	⁊ deuot|frere de lordre de sant augustin salut	6|7
7	with recommendacioun hymself	⁊ quanque il : de seruise	8
8	and to al seruyce	⁊ donneur	9
9|10	Politik sentence|that is sentens of resonable rule	¶Li liures de gouuerner les citez nous enseigne	10
11|12	crieth that nougt alle principatus|that is	que toutes seignories ne durent pas tant lune cõme lautre	11
13	to say dignytees	ne toz les gouuernemenz des seignours	12
14|15	and hye astates|duren ileche long	⁊ des princes ne sunt pas igaus	13
16	nother al gouernans bien imete with euene duryng of tyme	quar aucunes seignories durent par lan|aucunes par la uie dun home	14|15
17	Bot som dureth	¶Aucunes seignories sunt|qui puent durer tousiors par aucune maniere	16|17
18	for on ʒere	par heritage	18
19|20	and som|for terme of lyf	⁊ par succession de lour hoirs	19
		¶	20
21	and som ben idemed perpetual by heritage	Dont cil|qui desirre sa seignorir a faire durer en soi	21|22
22|23	and by successioun in children|Than	et en ses hoirs il doit diligenment entendre a ce	23
24	for nyʒ alle kyndeliche thynges witnesseth that non violent thyng is perpetual	que il ait maniere naturel a gouerner son pueple por ce|que nature preuue	24|25
25	he that desireth	que chose	26
26	to make his principate perpetual in hymself	que est faite a force ⁊contre nature nen puet durer tousiors	27
27|28	and in his children|and successours schal study with gret bysynesse that is gouernans be kyndelich	¶	28
29	Neuer man is made kyndelich rector	Et nuls nest naturel gouerneurres	29
30|31	that is|to say gouernour	Se il couoite a seienorir par maluaise uolente ou pour aucu malueis desirrer	30
32	ʒif he desireth	[[	31
33	to be prince by passioun	]] re le seignourie	32
34	that is by suffryng	si est a force	33
35	other by wil	⁊ contre nature	34
36	Bot ʒif he is a kepere of rigt he schal ordeyne	¶ Mes ell est gouerneur naturel	35
37	to commaunde no thing withoute resoun	qui nestablit ne ne commande fors ce|que loy	36|37
		⁊ raisons enseigne	38
38	and lawe	⁊ ce est ce	39
39	for as the philosofer seith	que le phylosophe dient|que cil	40|41
40	as he is kyndelich a seruant that is strong of body	qui a force de cõs|⁊ defaut de soutillete dentendement	42|43
		⁊ dengni est sers par nature	44
41	and faileth in wyt	¶|Et cil	45|46
42	so he that is strong of wit	qui a soutillete dentendement	47
43	and sleigh of konnyng	⁊ sens pour gouerner soi	48
44|45	and redy of gouernans is kyndelich a lord|ther	⁊ autrui doit estre seignour par nature	49
46	for youre gloryous nobilte requyred me frendly	¶Dont come uit gloriouse noblesce ait requis ammablement|que ie feisse	50|51
47	to compone or make a boke of loore of princes other of gouernans of kynges	i|liure	52|53
48	that ge myzt knowe	qui ensegnast les roys	54
		⁊ les princes a gouuerner	55
49	and se	⁊ eus	56
50	and loke besilich gouernans of a regne by lawe	⁊ leur pueple pour ce|que uous puissiez gouerner naturelment nous	57|58
51|52	and resoun|and be excellent	⁊ uie pueple selonc raison	59
		⁊ loy	60
53	that is	Apres ce	61
54|55	to say hym passyng|in kynde gouernans	que uous cest liure diligangment eussiez reguarde	62
56	as it semeth clerelich that this peticion is iaxed by excityng of God	¶ Bien apert|que ceste requeste uous auez faite plus par mouement de dieu	63|64
57	and nouʒt of man	que par mouement humain	65
58	It semeth that almygty God in whos hemme it is iwrete	⁊ apert bien|que dieu en cui poissance il est fait	66|67
		escrit	68
59	Lord of lordes	sires des sires	69
60|61	and Kyng of kynges|” hath special cure of ʒoure holy hous	⁊ roi des rois ait especiale cure de votre sainte ligniee	70
		⁊ de ur̃e sainte maison	71
62	for he inclyneth	quant il a encline	72
63	that is	⁊ ur̃e enfance chaste|⁊ honorable a ce	73|74
64|65	to say aboweth|ʒoure chaste	que uous uoulez garder les bonnes loys	75
66	and worthi childhode	⁊ les bonnes costumes du roiaume	76
67	to folwe the fores of youre forfadres	¶|Et puissiez gouerner ur̃e roiaume selonc loy raison	77|78
68	in the whiche was gret	non pas par mauuese uolente|ne par mauues mouuement	79|80
69	and parfite loue of the fey	et bien en siuez les fez de votre pere	81
70|71	And Cristene religioun desireth|to kepe	⁊ de uous ancesores es quiex parfaitement aresplendi toziors la sainte crestiente	82
72|73	and saue rigtful rules of the regne by wit|and lawe	⁊ la foi de sainte Eglise	83
74|75	and nougt by silf wille|Than by this noble requysicioun	Et pour ce ie enclinez sans escusance pour votre requeste loable e enamoree	84
76|77	that is|to say bysechyng	laquele ne tieng en commandement	85
78	and honest	e por bien commun	86
79|80	that I acounte|to me precepte	que le pueple ipuet auou	87
81|82	and commandement|and also	qui est plus granz e plus dignes	88
83	for help of good men		
84	and of the comyn profit		
85|86	that is more godelich than eny synguler profite|I am inclyned	que nul bien singuler o laide de dieu faire cest liure delitablement	89
87	and ibend withoute recusacioun	si comme uotre glorieuse noblece	90
88|89	that is forsakyng|to voide	qui est digne de toute emeur	91
90|91	an auenture with likynge on this worke by helpe of God as youre worthi nobelte hath requyred|that is bysouʒt	et de toute reuerence ma requis	92
