0	To his special lord icome of kynges blood	Ex regia	0
1|2	and of most holy kyn|Ti Sire Phelyp the eldest sone	ac sanctissima prosapia oriundo suo Domino specialia Domino Philippo primogenito	1
3|4	and heire of the passyng clere man Sire Phelyp|by the grace of God most noble kyng of Frensch men	& haeredi praeclarissimi viri Domini Philippi Dei gratia Illustrissimi Regis francorum	2
5|6	his deuote frere Gyeles Romayn|of the ordre of frere heremytes of Seint Austeyn	Suus deuotus Fr Aegidius Romanus Ordinis Fratrum Eremitarum S Augustini	3
7	with recommendacioun hymself	cum recommendatione seipsum	4
8	and to al seruyce	et ad omnia famulatum	5
9|10	Politik sentence|that is sentens of resonable rule	Clamat Politicorum sententia	6
11|12	crieth that nougt alle principatus|that is	omnes principatus non esse aequaliter diuturnos	7
13	to say dignytees		
14	and hye astates		
15|16	duren ileche long|nother al gouernans bien imete with euene duryng of tyme	nec aequali periodo singula regimina mensurari	8
17	Bot som dureth		
18|19	for on ʒere|and som	sed aliqua sunt annualia	9
20	for terme of lyf	aliqua ad vitam	10
21	and som ben idemed perpetual by heritage	aliqua vero per haereditatem	11
22	and by successioun in children	et successionem in filiis	12
		quae quodammodo perpetua iudicantur	13
23	Than	Cum igitur	14
24	for nyʒ alle kyndeliche thynges witnesseth that non violent thyng is perpetual	nullum violentum esse perpetuum|fere omnia naturalia protestentur	15|16
25	he that desireth	qui in se	17
26|27	to make his principate perpetual in hymself|and in his children	et in suis posterioribus filiis suum principatuum perpetuari desiderat	18
28	and successours schal study with gret bysynesse that is gouernans be kyndelich	summopere studere debet|ut sit suum regimen naturale	19|20
29	Neuer man is made kyndelich rector	Nunquam autem naturalis quis rector efficitur	21
30	that is	si passione	22
31|32	to say gouernour|ʒif he desireth	aut voluntate cupiat principari	23
33|34	to be prince by passioun|that is by suffryng	sed si custos iusti existens absque ratione	24
35	other by wil		
36	Bot ʒif he is a kepere of rigt he schal ordeyne		
37	to commaunde no thing withoute resoun	et lege nihil statuat imperandum	25
38	and lawe	Nam	26
39	for as the philosofer seith	(ut testatur Philosophus	27
40	as he is kyndelich a seruant that is strong of body	) sicut est naturaliter seruus|qui pollens viribus	28|29
41	and faileth in wyt	deficit intellectu	30
42	so he that is strong of wit	sic vigens mentis industria	31
43	and sleigh of konnyng		
44	and redy of gouernans is kyndelich a lord	et regitiua prudentia|naturaliter dominatur	32|33
45|46	ther|for youre gloryous nobilte requyred me frendly	Quare si vestra generositas gloriosa me amicabiliter requisiuit	34
47	to compone or make a boke of loore of princes other of gouernans of kynges	ut de eruditione Principum|siue de regimine Regum quendam librum componerem	35|36
48	that ge myzt knowe	quatenus gubernatione regni secundum rationem	37
49|50	and se|and loke besilich gouernans of a regne by lawe	et legem diligentius circumspecta polleretis regimine naturali	38
51|52	and resoun|and be excellent	ut apparet ad liquidum	39
53	that is	non instinctu humano	40
54|55	to say hym passyng|in kynde gouernans	sed potius diuino	41
56|57	as it semeth clerelich that this peticion is iaxed by excityng of God|and nouʒt of man	huiusmodi petitio postulatur	42
58	It semeth that almygty God in whos hemme it is iwrete	Videtur enim Deus omnipotens|in cuius foemore scribitur	43|44
59	Lord of lordes	dominus dominantium	45
60	and Kyng of kynges	et rex regum	46
61|62	” hath special cure of ʒoure holy hous|for he inclyneth	vestrae domus sanctissimae curam gerere specialem	47
63|64	that is|to say aboweth	cum vestram pudicam	48
65|66	ʒoure chaste|and worthi childhode	ac venerabilem infantiam inclinauit	49
67	to folwe the fores of youre forfadres	ut sequens suorum patrum|ac praedecessorum vestigia	50|51
68	in the whiche was gret	in quibus peramplius	52
69	and parfite loue of the fey	et perfectius viget|et viguit zelus fidei	53|54
70	And Cristene religioun desireth	et religio christiana	55
71	to kepe	non passione	56
72	and saue rigtful rules of the regne by wit	et voluntate	57
73	and lawe	sed lege	58
74	and nougt by silf wille	et intellectu regulas regni iustissimas cupiat praeseruare	59
75|76	Than by this noble requysicioun|that is	Hac igitur requisitione laudabili	60
77	to say bysechyng		
78	and honest	et honesta	61
79|80	that I acounte|to me precepte	quam mihi reputo in praeceptum	62
81	and commandement		
82	and also	necnon	63
83	for help of good men	et suffragante bono gentis	64
84	and of the comyn profit	et communi	65
85	that is more godelich than eny synguler profite	quod est diuinius quam bonum ali|quod singulare	66|67
86|87	I am inclyned|and ibend withoute recusacioun	irrecusabiliter inclinatus	68
88	that is forsakyng	(auxiliante altissimo	69
89	to voide	) delectabiliter opus aggrediar	70
90|91	an auenture with likynge on this worke by helpe of God as youre worthi nobelte hath requyred|that is bysouʒt	ut vestra reuerenda nobilitas requisiuit	71
