,rome_W.txt,cat.txt,trevisa_norm.txt,Val_S.txt,gauchy.txt
0,Ex regia,Al seu especial senyor de reyal|e sant linatge natural,To his special lord icome of kynges blood,Al muy alto,Son especial seignour nez de ligniee roiale|et sainte
1,ac sanctissima prosapia oriundo suo Domino specialia Domino Philippo primogenito,En Philip primer|nat,and of most holy kyn|Ti Sire Phelyp the eldest sone,e muy noble Señor don philipe primogenito heredero fijo del muy noble|e muy santo Rey don philipe,Mon seignour phelippe Anz nez filz|et hoir
2,& haeredi praeclarissimi viri Domini Philippi Dei gratia Illustrissimi Regis francorum,e hereter del molt clar senyor En Philip|per la gràcia de Déu,and heire of the passyng clere man Sire Phelyp|by the grace of God most noble kyng of Frensch men,por la graçia de dios Rey de françia,mon seignour phelippe : tres noble roy de france|par la grace de dieu frere Gile de Rome son clere humble
,,rey dels franceses,,,
3,Suus deuotus Fr Aegidius Romanus Ordinis Fratrum Eremitarum S Augustini,lo seu devot frare Egidi de Roma|de l orde dels frares ermitans de Sent Agustí,his deuote frere Gyeles Romayn|of the ordre of frere heremytes of Seint Austeyn,muy deuoto frey gil Romano de la orden de sant agostin con muy Homillosa rrecomendaçion,et deuot|frere de lordre de sant augustin salut
4,cum recommendatione seipsum,si ab humil recomendació,with recommendacioun hymself,asi mesmo,et quanque il : de seruise
5,et ad omnia famulatum,e en totes coses servidor,and to al seruyce,para todo su seruiçio,et donneur
6,Clamat Politicorum sententia,Clama|e crida la sentència dels políthics,Politik sentence|that is sentens of resonable rule,La sentençia delas politicas,Li liures de gouuerner les citez nous enseigne
,,,,que quiere dezjr sciençia de gouernamjento delas çiudades,
7,omnes principatus non esse aequaliter diuturnos,que totes les senyories no són egualment perdurables,crieth that nougt alle principatus|that is,dize|asi que todos los prinçipados non son egualmente duraderos,que toutes seignories ne durent pas tant lune cõme lautre
8,nec aequali periodo singula regimina mensurari,ne|per egual durada quescuns regiments són mesurats,to say dignytees,njn se deuen mesurar todos los gouernamjen tos singulares|por egual mesura de tienpo,ne toz les gouuernemenz des seignours
9,sed aliqua sunt annualia,mas alguns regiments annuals,and hye astates|duren ileche long,Ca algunos gouernamjentos son mesurados|por vn año,et des princes ne sunt pas igaus:
10,aliqua ad vitam,altres a vida de persona,nother al gouernans bien imete with euene duryng of tyme|Bot som dureth for on ʒere,Otros|por vida de vn omne,quar aucunes seignories durent par lan
11,aliqua vero per haereditatem,e altres heretat,and som for terme of lyf|and som ben idemed perpetual by heritage,Otros,aucunes par la uie dun home
12|13|14,et successionem in filiis|quae quodammodo perpetua iudicantur|Cum igitur nullum violentum esse perpetuum,e successió en los fills en alguna perpertual manera són jutgats|E donques com quar totes les coses naturals protesten o confermen|que nenguna cosa violenta o forcívol no sia perpetual,and by successioun in children|Than for nyʒ alle kyndeliche thynges witnesseth that non violent thyng is perpetual,por heredaimjento|e por suçession de fijos|que son juzgados perpetuos|por la sucession,Aucunes seignories sunt|qui puent durer tousjors par aucune maniere|par heritage
15,fere omnia naturalia protestentur,aquell qui destga|que la sua senyoria sia perpetuada,,E maguera las mas de las cosas naturales muestren,et par succession de lour hoirs
16,qui in se,en|si mateix,he that desireth,e digan|que ninguna cosa non puede ser perpetua aqui en la tierra,Dont cil
17,et in suis posterioribus filiis suum principatuum perpetuari desiderat,e en los fills darrers,to make his principate perpetual in hymself|and in his children,aquel que mucho desea quel su prinçipado sea perpetuado en sy|e en los fijos,qui desirre sa seignorir a faire durer en soi|et en ses hoirs
,,,,que vienen enpos el,
,,,and successours,,
18|19,summopere studere debet|ut sit suum regimen naturale,sobiranament deu estudiar|que lo seu regne sia natural,schal study with gret bysynesse that is gouernans be kyndelich,deue afincadamente estudiar quel su gouernamiento sean natural,il doit diligenment entendre a ce|que il ait maniere naturel a gouerner son pueple|por ce que nature preuue
,,,,,que chose
20,Nunquam autem naturalis quis rector efficitur,E nuyl temps algú no serà natural regidor,Neuer man is made kyndelich rector,porque nunca puede ser ninguno natural ser sienpre quisiere gouernar con passion,que est faite a force etcontre nature nen puet durer tousjors|Et nuls nest naturel gouerneurres
21,si passione,si per passió o,that is|to say gouernour,e con uoluntad,Se il couoite a seienorir par maluaise uolente ou pour aucu malueis desirrer|[[
22,aut voluntate cupiat principari,per voluntat ell desiga senyoregiar,ʒif he desireth|to be prince by passioun,Mas,]] re le seignourie|si est a force
23,sed si custos iusti existens absque ratione,mas|si ell és guardador de la cosa justa,that is by suffryng|other by wil,aquel que es guardador de iustiçia non deue ordenar,et contre nature|Mes ell est gouerneur naturel
,,,Bot ʒif he is a kepere of rigt he schal ordeyne,,
24,et lege nihil statuat imperandum,e que no establesca ne ordon res sens rahó ne sens ley|ell serà natural regidor,to commaunde no thing withoute resoun,njn mandar ninguna cosa sin razon sin ley,qui nestablit ne ne commande fors ce|que loy
25,Nam,Car,and lawe,Ca segund,et raisons enseigne|et ce est ce
26,(ut testatur Philosophus,segons|que fa testimoni lo natural philòsoph,for as the philosofer seith,que dize el philosopho,que le phylosophe dient
27|28,) sicut est naturaliter seruus|qui pollens viribus,axí com aquell qui usa|e habunda en força,as he is kyndelich a seruant that is strong of body,asi commo es naturalmente sieruo|aquel que es fuerte en el cuerpo|e en las uirtudes corporales,que cil|qui a force de cõs
29,deficit intellectu,e defayll en lo seu enteniment és naturalment servent,and faileth in wyt,e falleçe en el entendimjento,et defaut de soutillete dentendement
30,sic vigens mentis industria,axí aquell qui ha indústria en la sua pensa,so he that is strong of wit,asi aquel|que es virtuoso,et dengni est sers par nature|Et cil
,,,,e poderoso en el entendimjento naturalmente es señor,
31|32,et regitiua prudentia|naturaliter dominatur,e prudència o saviesa regitiva naturalment és fet senyor,and sleigh of konnyng|and redy of gouernans is kyndelich a lord,por gouernamjento|e por sabiduria|que es rrazon derecha en todas las cosas|que a de fazer,qui a soutillete dentendement|et sens pour gouerner soi|et autrui doit estre seignour par nature
,,,,¶,
33,Quare si vestra generositas gloriosa me amicabiliter requisiuit,Perquè|si la vostra gloriosa generositat amicablement ha request o demanat a mi,therfor youre gloryous nobilte requyred me frendly,Por la qual rrazon|si la vuestra gloriosa nobleza me demando muy amorosa miente,Dont come uit gloriouse noblesce ait requis ammablement|que ie feisse
34|35,ut de eruditione Principum|siue de regimine Regum quendam librum componerem,que de la doctrina dels prínceps o del regiment dels reys yo ordanàs un libre,to compone or make a boke of loore of princes other of gouernans of kynges,que yo|que conposiese vn libro dela doctrina|e del gouernamjento de los rreyes,i|liure|qui ensegnast les roys
,,per lo qual,,,
36,quatenus gubernatione regni secundum rationem,guardada pus diligentment segons rahó|e ley la governació del regne,that ge myzt knowe,e de los prinçipes|por la qual doctrina,et les princes a gouuerner|et eus
37,et legem diligentius circumspecta polleretis regimine naturali,vós resplandissets|per regiment natural,and se|and loke besilich gouernans of a regne by lawe,e gouernamjento segund rrazon|segund ley pudiessedes ya naturalmente gouernar vuestro Reyno,et leur pueple|pour ce que uous puissiez gouerner naturelment nous
38|39,ut apparet ad liquidum|non instinctu humano,segons|que par clarament|no|per instrucció humanal,and resoun|and be excellent|that is,Asi commo manifiestamente pareçe|esta petiçion non vino,et uie pueple selonc raison
