,rome_W.txt,cat.txt,trevisa_norm.txt,Val_S.txt,gauchy.txt
0,0|1,0,0,0|1
1,2|3,1|2,1|2,2|3
2,4|5,3|4,3,4|5
,6,,,
3,7|8,5|6,4,6|7
4,9,7,5,8
5,10,8,6,9
6,11|12,9|10,7,10
,,,8,
7,13,11|12,9|10,11
8,14|15,13,11|12,12
9,16,14|15,13|14,13
10,17,16|17,15|16,14
11,18,18|19,17,15
12|13|14,19|20|21,20|21,18|19|20|21,16|17|18
15,22|23,,22,19
16,24|25,22,23|24,20
17,26,23|24,25|26,21|22
,,,27,
,,25,,
18|19,27|28,26,28,23|24|25
,,,,26
20,29,27,29,27|28
21,30,28|29,30,29|30
22,31,30|31,31,31|32
23,32|33,32|33,32,33|34
,,34,,
24,34|35,35,33,35|36
25,36,36,34,37|38
26,37|38,37,35,39
27|28,39|40,38,36|37|38,40|41
29,41,39,39,42
30,42,40,40|41,43|44
,,,42,
31|32,43,41|42,43|44|45|46,45|46|47
,,,47,
33,44|45,43,48|49,48|49
34|35,46,44,50|51|52,50|51|52
,47,,,
36,48|49,45,53|54,53|54
37,50|51,46|47,55|56,55|56
38|39,52|53|54|55,48|49|50,57|58,57
40,56,51|52,59,58|59
41,57|58,53|54,60,60
42|43|44,59|60,55|56,61,61|62|63|64
45,61,57,62,65
46,62|63,58|59,63,66|67
47,64|65,60|61,64,68
48,66,62|63,65,69|70
49|50,67|68,64,66|67|68,71|72
51|52|53|54,69|70|71|72,65|66|67,69|70|71|72,73|74
55,73|74,68,73|74,75
56|57,75|76,69|70,75|76,76
,77,,,
58,78|79,71,77,77|78
59|60,80|81|82|83,72|73|74|75,78|79|80,79
61|62,84|85,76|77|78|79,81|82,80
63|64,86|87,80|81,83|84,81
65|66|67|68|69|70,88|89|90|91|92,82|83|84|85|86|87|88,85|86|87|88|89,82|83|84|85|86|87
