A	B
0	
1	
2	
3	
4	
5|6	0
7	1
8	2|3
9	4
10|11	5
12	
13	6
14|15	7
16	8
17	9|10
18	11
19	12
20	13
	14
21	15|16
22	17|18
23	19
24	20|21
25	22
26	23
27	24
28	25|26
29|30	27
31	
32|33	28
34	
35	29|30
36|37	31
38	32
39	33|34
40	35|36
	37
41	38
42	39|40
	41
	42
43	43|44
44	45|46
45	47
46	48
47	
48|49	49
50|51	50
52|53	51
54|55	52
56	53|54
57	55|56
	57
58	58|59
59	60
60	61
61|62	62
63	
64|65	63
66	64
67	65
	66
68	67
69	68|69
70	70
71	71
72	72
73	73
74	74|75
75	76|77
	78
76	79
77	80
78	81
79	82
80	
81	83
82	84
83	85
84	86|87
85|86	88
87|88	89
89|90	90
91	91
