A	B
0	0
1	1
2	2|3
3	4
4	5|6
5	7
6	8
7	9
8	10
9	11
10	12
11|12	13
13|14	14
15|16	15
17	
18|19	16
20	17
21	18
22	19
23	20|21
24	22|23
25	24
26	25|26
	27
27	28
28	29|30
29	31
30|31	32
32|33	33
34|35	34
36	35
37	36|37
38	38
39	39|40
40	41|42
41	43
42	44
43|44	45
45	46
46	47
47|48	48
49	49
50	50|51
51	52
52	53
53	54
54	55
55	56|57
56	58|59
57	60
58	61
59	62
60	63
61	64|65
62	
63	66
64	67
65|66	68
67	69|70
68	71
69	72|73
70	74
71	75|76
72	77|78
73	79
	80
74|75	81
76	82
77	83|84
78	85
79|80	86
81	
82	87
83	88
84	89
85	90|91
86|87	92
88|89	93
90|91	94
