A	B
0	0
1	1
2	2
3	3
4	4
5	5
6	6|7
7	8
8	9
9|10	10
11|12	11
13	12
14|15	13
16	14|15
17	16|17
18	18
19|20	19
	20
21	21|22
22|23	23
24	24|25
25	26
26	27
27|28	28
29	29
30|31	30
32	31
33	32
34	33
35	34
36	35
37	36|37
	38
38	39
39	40|41
40	42|43
	44
41	45|46
42	47
43	48
44|45	49
46	50|51
47	52|53
48	54
	55
49	56
50	57|58
51|52	59
	60
53	61
54|55	62
56	63|64
57	65
58	66|67
	68
59	69
60|61	70
	71
62	72
63	73|74
64|65	75
66	76
67	77|78
68	79|80
69	81
70|71	82
72|73	83
74|75	84
76|77	85
78	86
79|80	87
81|82	88
83	
84	
85|86	89
87	90
88|89	91
90|91	92
