0	avoir trové	Sire fait elle pour ce|que ie le uoudroie auoir trouue	0|1
1	Si li conte tote s aventure issi com vos avés oi dire ça arrieres	si luy compte toute sauanture|ansi comme le comte la dit cy deuant	2|3
2	tant qu il conoist bien	tant que il cognoist bien	4
3	que c est il qu ele quiert a	que cest il quelle quiert	5
4	Mais por le coros de la mort al seneschal ne se volt fere conoistre ains li respont Certes damoisele chevalier	Mais pour le courroux quil a de la mort au seneschal ne se ueult il faire cognoistre Certes damoisele de celle mesmes matiere dessus dicte ie ne scay nul cheualier	6
5	qui porte escu blanc ne conois je nul	qui porte escu blanc	7
6	— En non Dieu sire fet ele ce poise moi chierement	Certes sire fait elle ce me poise	8
7	Et il n en tient plus a li parole ains part	et il ne tient plus parole a luy|ains sem part	9|10
8	si tost com il l ot commandee a Dieu a	si tost quil leut commandee a dieu	11
9	et chevalche en tel maniere jusqu a tierce tant qu il vint a l issue de la forest;	et cheuauche en telle maniere iucqua tierce tant quil uient a lissue de la fourest	12
10	et il torne a destre vers un chemin viés	et il tourne a destre vers ung chemin uieil	13
11	et ancien;	et ancien	14
12	si ne demora gueres qu il vint a une eve P lee	Si ne demoura gueres quil uient a une caue lee	15
13	et parfonde	et parfonde	16
14	mais il n i trueve pont ne gué ne passage nul	mais il ny treuue pont ne gue ne passage nul	17
15	Et il regarde d autre part de l eve	et il regarde de lautrepart de leaue	18
16|17	si voit I|petit chastel molt bien seant clos de mur bateillié tot entor a la roonde	si uoit ung petit chastel moult bien seant clos de mur bataille tout entour a la ronde	19
18	ll regarde grant piece le chastel	Il regarde grant piece le chastel	20
19	dont la façons li plest molt a regarder	dont la facon luy plaist moult a regarder	21
20|21	puis s en torne contreval la riviere|por savoir s il i peust trover ne pont ne gué	puis sen retourne tout contreual la riuiere pour sauoir sil pourroit trouuer ne pont ne gue	22
22	mais il n en trueve point	Mais il ny en treuue point	23
23	et quant il voit qu il n i passera	Et quant il uoit quil ne puet passer	24
24	si ne set	si ne scet	25
25	que fere	que faire	26
26	que retorner ne voldroit il mie	car retourner ne uouldroit il pas	27
		Adonc uoit yssir du chastel une damoisele	28
27	qui ert tote nue en sa chemise	qui estoit toute nue en sa chemise	29
28	si le menoient troi vilain molt vilainement a	si la menoyent quatre nibaux moult uilainement	30
29	et tenoit chescuns une hache en sa main;	et tenoit ch̃un une hache en sa main	31
30|31	et ele crioit quanque ele pooit crier|por els	et elle crioit tant quelle pouoit crier pour ceulx	32
32	qui li faisoient tel honte	qui luy faisoient tel honte	33
33	et tel laidure qu il la venoient batant tot contreval la riviere	et telle laidure|qui la uenoient batant tout contreual la riuiere	34|35
34	Et quant la damoisele vit le chevalier de l autre part de ! l eve	Et quant la damoisele uoit le cheualier de lautre part de leaue	36
35	si commence a crier Ha gentilz chevaliers secorés ceste damoisele	si luy commence a crier haa gentili cheualier secourez ceste damoisele	37
36	que cist ribaut vuelent ocirre	que ces ribaux ueulent occire	38
37	Ha frans hom ne m i laissiés morir se vos onques eustes pitié de nule gentil damoisele	Haa franc homme ne me lessez mourir|si uous eustes onc pitie de nulle gentilz damoisele	39|40
38	Quant Boors ot ce qu ele li prie	quant boort ouy celle|qui le prie	41|42
39|40	si pitousement qu'il la secore|si ne set	si piteusement quil la sequeure il ne scait	43
41	que fere	que faire	44
42	kar volentiers li aidast s il peust;	car uoulentiers luy alast aider sil peust	45
43	mais il voit l eve noire	mais il uoit leaue parfonde noire	46
44	et parfonde	et perilleuse	47
45	et si perilluse qu il cuide bien noier s il se met dedens;	que il cuide bien mourir sil|si mect dedans	48|49
46	et d'autre part il voit cele	Et dautre part il uoit celle	50
47	qui si durement crie merci;	qui si fort luy crie mercy	51
48	si l'em prent tels pitiés qu il en laisse totes poors	si luy en prent telle pitie quil en laisse toute paour	52
49	et fet le signe de la crois en mi son vis	si en fait le signe de la croix enmy son uis	53
50	puis enbrace l escu	puis embrace lescu	54
