0	avoir trové	Sire fait ele porce|que io le uodroie auoir troue	0|1
1	Si li conte tote s aventure issi com vos avés oi dire ça arrieres	Si li conte tote sauenture ainsi con li contes la retraite	2
2	tant qu il conoist bien	Tant que il quenoit bien	3
3	que c est il qu ele quiert a	que cest ele|que il le quiert	4|5
4	Mais por le coros de la mort al seneschal ne se volt fere conoistre ains li respont Certes damoisele chevalier	mais por le corrous quil auoit de la mort au seneschal: ne se wet faire quenoistre a li|si li dit	6|7
		Certes damoisele	8
5	qui porte escu blanc ne conois je nul	qui port escu blanc ne sai ie nul	9
6	— En non Dieu sire fet ele ce poise moi chierement	En no dieu fait ele de ce me poise il trop durement	10
7	Et il n en tient plus a li parole ains part	et il ne tient plus a li parole|Ains sen part	11|12
8	si tost com il l ot commandee a Dieu a	si tost comme il lot comandee a dieu	13
9	et chevalche en tel maniere jusqu a tierce tant qu il vint a l issue de la forest;	et cheuauche en tel maniere|tant quil uient a lissue de la forest	14|15
10	et il torne a destre vers un chemin viés	et il torne a destre uers lr chemin uiee	16
11	et ancien;	et acien	17
12	si ne demora gueres qu il vint a une eve P lee	Si ne demora gaires quil uient a une eue lee	18
13	et parfonde	et parfonde	19
14	mais il n i trueve pont ne gué ne passage nul	mais il ni trueue ne pont ne gue ne passaige nul	20
15	Et il regarde d autre part de l eve	et lors regarde il dautre part de leue	21
16	si voit I	Si uoit|i	22|23
17	petit chastel molt bien seant clos de mur bateillié tot entor a la roonde	petit chastelet moult bien feant|qui estoit clos de murs batilliez de toutes pars enuiron a la roonde Il esgarde Longuement le chastel	24|25
18	ll regarde grant piece le chastel		
19	dont la façons li plest molt a regarder	dont Ia fasons li plait moult a esgarder	26
20	puis s en torne contreval la riviere	et puis sen torne tot contreual la riuere	27
21	por savoir s il i peust trover ne pont ne gué	Por sauoir se il i troueroit ne pont ne gue	28
22	mais il n en trueve point	mais il nen i trurue point :	29
23	et quant il voit qu il n i passera		
24	si ne set	si ne sot	30
25	que fere	que faire	31
26	que retorner ne voldroit il mie	car retorner ne wet il mie atant uoit issir une damoisele dou chastel	32
27	qui ert tote nue en sa chemise	qui estoit tote nue en sa chemisse	33
		si la menoient	34
28	si le menoient troi vilain molt vilainement a	iiii|tre ribaus moult uilment	35|36
29	et tenoit chescuns une hache en sa main;	et tenoit chascuns une hache en sa main	37
30	et ele crioit quanque ele pooit crier	et ele crioit quantque le pooit crier	38
31	por els	por ciax	39
32	qui li faisoient tel honte	qui li fasoient tele honte	40
33	et tel laidure qu il la venoient batant tot contreval la riviere	et tel laidure|que il la menoient batant tout contrtual la riuiere t	41|42
34	Et quant la damoisele vit le chevalier de l autre part de ! l eve	quant la damoisele uoit le cheualier dautre part la riuiere	43
35	si commence a crier Ha gentilz chevaliers secorés ceste damoisele	si li comance a crier|ha: gentis cheualiers secores ceste damoisele	44|45
36	que cist ribaut vuelent ocirre	que ciz ribaut wellent ocire	46
37	Ha frans hom ne m i laissiés morir se vos onques eustes pitié de nule gentil damoisele	ha; frans hons ne mi laissiez morir se uos eutes onques pitie de franche damosele	47
38	Quant Boors ot ce qu ele li prie	Quant bohort|oit cele	48|49
39	si pitousement qu'il la secore	que si piteusement lapele|et li prie quil la sekeure	50|51
40	si ne set	Sire set	52
41	que fere	que faire	53
42	kar volentiers li aidast s il peust;	car uolentiers li alait aidier se il poist	54
43	mais il voit l eve noire	Mais il uoit leue	55
44	et parfonde	si parfonde	56
45	et si perilluse qu il cuide bien noier s il se met dedens;	et si perilleuse|que il cuide bien perir se il se met dedans	57|58
46	et d'autre part il voit cele	et dautre part il uoit cele	59
47	qui si durement crie merci;	qui si docement li prie nc|ci	60|61
48	si l'em prent tels pitiés qu il en laisse totes poors	Si len prent tes pitiez quil en laisse totes paours	62
49	et fet le signe de la crois en mi son vis	Si fait le signe de la crois enmi son uis	63
50	puis enbrace l escu	puis enbrace lescu	64
51	et broche le cheval des esperons	et broche le cheual des esperons	65
52	et se fiert en l eve	et se fiert en leue tot errantment	66
53	Et li chevals fu fors	Et li cheuaus fu fors	67
54	si commence a noer	si comance a noer	68
55	si tost com il ot terre perdue	si tost con il ot ntre perdue	69
56	si l enporte d autre part de la rive a quelque paine	si lenporte dautͤ part la riue a quelque painne	70
57	mais ançois ot beu de l eve li uns		
58	et li autre		
59	et se li chevals ne fust		
60	si buens noié fuissent ambedui		
61	kar li chevaliers estoit pesans		
62	por les armes qu il avoit vestues		
63	Quant il fu de l autre part de l eve		
64	si ne descendi pas ains cort vers cels	Si ne descendi pas ains cort uers ciax	71
65	qui la damoisele tenoient	qui la damoisele renoient	72
66|67	et fiert|si le premier qu il aconsieut qu il li met le glaive par mi le cors	que il consieut quil li met le glaiue parmi le cors	73
68	si l abat a terre	si labat mort aterre	74
69|70	et li autre s enfuient erraument|por ce	et li autre sen fuient porre q̾l estoient desarme	75
71	que desarmé estoient		
72	Et la damoisele	et la damaisele	76
73|74	qui delivree se voit se met a genols devant Boort|et dist Ha gentils chevaliers de Dieu soiés vos beneois	qui deliuree ce uoit se met a genous deuant bohort ha gentis cheualiers fait ele beneois soiez uos de dieu	77
75	quant vos m avés de mort rescosse	quant uos mauez de mort rescoce	78
76	et aorés en soit Diex	et aoures soit diex	79
77	quant il ceste part vos amena	quant ils amena ceste part	80
78	kar cist gloton m euissent ja morte	Car cil gloton meussent ia morte ce uos ne fussiez	81
79|80	— Damoisele fet il|por quoi	Damoisele fait il porcoi	82
81	? — Sire fet ele jel vos dirai bien	Sire fait ele ie le uos dirai bien	83
82	mais que vos m aiés mise a sauveté	mais que uos maiez misse a Sauuete	84
83	— Coment		
84|85	? fet il|Avés vos	Coument fait il auez uos	85
86	dont garde	dont garde	86
87	? — Certes fet ele ja asseur ne seraî fant com je sache laiens le seignor del chastel	Certes sire faic ele ia a seur ne sera tant com ie saiche laiens le signeur de cest chastel	87
88	kar c est li plus fel chevaliers del monde	Car cest li plus fel cheualiers dou monde	88
89	et li plus traîtres	et li plus traites	89
90|91	A ces paroles voient issir I|chevalier del chastel	a ces paroles uoit issir un cheualier del chastel	90
92	et la ou il vit Boort	et la ou il uoit behort	91
93	si li escrie Laissiés dans chevaliers la damoisele	si li est terre|Laissiez dans cheualiers la damoisele	92|93
94	que vos n enmenrois mie! Par mon chief mar le rescosistes	que uos nen meneroie|et par mon chief mar la rescousites	94|95
95	Si li cort quanqu il puet le glaive alongié;	Si li acort quanquil puet le glaiue alongnre	96
96	et Boors retrait son glaîve a lui del cors a celui qu il avoit ocis;	et behors retrait son glaiue del cors au ribaut|que il auoit ocis	97|98
97	si laisse le cheval corre	Si li laisse le cheual	99
98	et le fiert	et le fiert	100
99	si tres durement qu il l abat a terre	si durement quil labat a terre	101
100	si estordi qu il n a pooir de relever ains gist pasmés	si estordi|que cil na pooir de releuer	102|103
		Ains fu pasmes	104
101	kar il chai	Car il fu cheus	105
102|103	si felenessement qu a poi|que la canole del col n'avoit brisee	si uilainnement qua pou quil not la chenole dou col bͥsie	106
104	Et Boors li vet a cheval par desus le cors	et behors li ua a cheual par desus le cors	107
105	tant que tot le debrise	tant que tout le debrisse	108
106	Et lors est la damoisele	et lors est la damoisele	109
107	si liee qu ele ne puet plus	si lie|que ele ne puet plus	110|111
108	et dist a Boort Sire nos n avons mes garde	et dit a behort|Sire fait ele nous nauons	112|113
		mais garde ce cuige	114
109	kar je ne cuit qu il eust plus de chevaliers çaiens	Car ie ne cuit quil ait|mais cheualier laiens plus	115|116
110	que cestui;	que cestui	117
111	si vos dirai ore seurement ce	Si uus dirai ore seurement ce	118
112	que vos me demandastes n a encor gaires	que uos me demandates na gaires	119
113	— Dites fet il	Dites|dont damoisele fait il	120|121
		SIre fait ele par foi entre moi	122
114	et I	et|i	123|124
115	chevalier	cheualier	125
116	qui mes amis estoit chevalchions hui matin par mi cest chastel	qui mes amis estoit|cheuauchiens hui matin parmi cest chastelet illuec	126|127
117	et quant li freres a celui	et quant li freres a celui	128
118	que vos avés abatu me vit	que uos aues ore abatu: me uit	129
119	si me volt a force prendre	Si me uot a force prandre	130
120	kar il m avoit molt longuement amee;	Car il mauoit moult longuement amee	131
121	si me prist al frain	Si me prist|et me uost mener a force	132|133
122	et m en volt mener a force mes mes amis se combati a lui tant qu il l ocist	si tost comme il me tint au fraing|Mais mes amis se combati a lui	134|135
		tant que il locit	136
123	Et quant cist	et quant ciz	137
124	que vos veez ci ore vit son frere mort	que uos ueez ore ci uit son frere mort :	138
125	si fist mon ami prendre a force de vilains	si fist mon ami prandre a force de uilains	139
126	et de gens	et de gent	140
127	et l ocist en venjance de son frere	Et locit en la uangence de son frere	141
128|129	Mais de moi|por cui Ses freres avoit esté ocis dist il qu il se vengeroit sans main metre;	mais de moi par cui ses freres auoit este ocis dist il quil sen uangeroit sans main mestre	142
130	si me fist prendre a ces ribaus	Si me fist prandre a ses|iiii	143|144
		uilains	145
131	que vos veistes	que uos ueistes	146
132	et lor commanda qu il me noiaissent	si lor coumanda quil me noiassent	147
133	kar par armes dist il ne vueil je mie qu ele muire ;	Car par hommes ne uoeil ge gaie fait il quele morit	148
134|135	si m'enmenoient|si com vos veistes morir	Si ⟦cum⟧ amenerent ainsi com uos ueistes ⟦raqrir⟧	149
136	quant vos me venistes secorre par la volenté de Dieu	quant uos me ⟦uenistes⟧ secorre par la uolente de dieu	150
137	et par la vostre	et la uostre	151
		Sire fait la damoisele a behort	152
138	si voldroie des Ore mes se vostre plaisirs estoit	Or uous ai conte mon errement|Si uorroie desormais se uostres ⟦puisses⟧ estoit :	153|154
139	que vos me menissois a salveté en un mien chastel	que uos me menissiez a sauuete en|i	155|156
		mien chastel	157
140	qui est ci pres	qui est ci pres	158
141	— Volentiers fet il	uolentiers damoisele Sire a	159
142	Si le prent par les bras	si la prent par le bras	160
143	et le monte par devant lui sor le col de son cheval	et la mest deuant lui sur le col de son cheual	161
144	si a geté son escu derieres son dos	Si ageste erranment son escu derier son dos	162
145	si s en vet cele part ou la damoisele li enseigne	Si sen ua cele part ou la damoisele li ensangne|Si cheuaucherent ainsi	163|164
146	tant que ce vint aprés midi qu il voient en un tertre I	tant que ce uint apres midi|et lors uirent deuant aux en lor chemin	165|166
		i	167
		tertre	168
		Ou il auoit	169
147	bel a chastel	i|tres bel chastel	170|171
148	et lors ataignent Il	et lors ataignent|ii	172|173
149	escuiers	escuiers	174
150	qui issoient d un bossel	qui issoient dun boschet	175
151	et aportoit chescuns venoisons trosee detriers soi	et aportoit chascuns uenison trossee douant soi	176
152	Quant il virent la damoisele	et quant il uirent la damoisele	177
		qui behort auoit deuant luy	178
153	si descendent a pié	si sont dessendu a pie	179
154	et li font grant joie com a celi	et li font la plus grant ioie dou monde a cele	180
155	qui lor dame estoit	qui leur lige dame estoit	181
156	mais molt se merveillent de ce qu il la virent plorer:	Mais moult se merueillent|quant il la uirent	182|183
157	si li enquierent	si plorer	184
		et plus de son ami	185
		que il ne uerent pas mandent	186
158	que ele a	que ele a	187
159	Et ele lor dit comment ses amis avoit esté ocis	et ele lor dit|et conte coment ueuir auecques li	188|189
		Si li en quierent	190
		et de ses amis auoit este ocis	191
		au chastel ou il trespasoient	192
160|161	et je meismes euisse esté morte|se ne fust cis frans chevaliers	Sire meismes fait ele eusse este morte : Ce ne fust ciz frans cheualiers ci	193
162	qui par sa debonaireté me resqueust	qui par sa debonairete|et par sa franchisse marescosse des mains a mes anemis	194|195
163	et se mist em peril de mort	et se mist en peril de mort	196
164	por ma vie sauver	por moi sauuer	197
		et se ne lauoie ie pas deserui	198
		et diex doint	199
165	Et lors conseille a l un de ses escuierset cil se destrosse maintenant de sa venoison	que ie li puisse guerredoner|Lors conseille maintenant la damoisele a	200|201
		i	202
		des escuiers	203
		et il destrore maintenant sa uenisson	204
166	si la baille a son compaignon	et la baille a lautre	205
167	por porter	por portee	206
168	si s en vet vers le chastel quanqu il puet traire del roncin	Si sen ua uers le chastel Quanque il puet de roncin traire	207
169	Et Boors demande a la damoisele comment li chastials a non ou ses amis a esté ocis	et behors demande a la damoisele comment li chastiax auoit non ou ses amis|auoit este ocis	208|209
170	Sire fet ele il a non Galedon	Sire fait ele il a non Galedon	210
171	et l eve par ou vos passastes a non Galede	et leue par ou uos pasates a non banllete	211
172	Ensi parolent tant qu il sont venu jusqu al chastel	Ainsi parole|tant que il sont uenu ducau chastel	212|213
173	si le voit Boors bien seant	Sire uoit behort moult bel	214
174	et fort	et moult bien sains	215
175	Et quant il montent ! le tertre	et quant il ont monte le tertre	216
176	si voient de laiens issir dames	si uoient issir de laiens dames	217
177	et damoiseles a grant plenté	et damoiseles gñt plante	218
178	dont les unes karolent	dont les unes dancent	219
179	et les autres dancent	et les autre ⟦	220
		⟧	221
180	et les autres joent de divers geus;	et ⟦lulent⟧|et les autre iouent de diuers gex	222|223
181	si estoient acesmees	si estoient totes acemees	224
182	et vestues richement	et moult richement uestues	225
183	et avec venoient chevaliers jusqu a X	et auec elles uenoient cheualier iusqua|xx	226|227
184	qui molt faisoient grant joie;	qui moult fassoient gnnt ioe	228
185	et quant il voient Boort	et quant il uoient bohort	229
186	si crient tuit encontre lui Bien viengniés sire	si crient tuit encontre lui bien uiengne li sires	230
187	qui nostre dame avez delivres de mort	qui nostre dame a deliuree de mort	231
188	et rescosse des mains a ses enemis	et rescousse des mains a ses anemis	232
189	Et lors font descendre lor dame	et lors font dessendre lor dame	233
190	et lui avec :	et lui auec	234
191	si ne vos porroit nus conter la joie	Si ne uos porroit nus comper la ioie	235
192	qui li fu fete	qui li fu faite	236
		A tel ioie	237
193	et a tel feste enmainent Boort jusqu al palés del chastel	et a tal faite en mainnent behort|ducau palais dou chastel	238|239
194	si le font desarmer ou il volsist ou non	Si le font desarmer uossist ou non	240
195	et il le fist a envis	et il le fait moult enuiz	241
196	kar il n estoit encore mie tens de herbergier	Car il nestoit mie eure ne tans de h̾bregier	242
197	Ensi remist Boors laiens	ensi remest laiens	243
198	si li firent grant joie li un	si li firont grant ioie|et li un	244|245
199	et li autre	et li autre	246
