,,micha_ii-48.txt,sommer_tome_4-ii-48.txt,lanzarote-ii-48.txt,lancellotto-ii-48.txt,inc-ii-48.txt,fr111-ii-48.txt,fr751-ii-48.txt
0,0,avoir trové,auoir troue fait elle,queria fallar muy de grado|e luego le conto todo,avere trovato,Sire fait elle enuellopee quil ne la pouoit cengnoistre pour pour ce|que ie le uouldroie auoir trouue,Sire fait elle pour ce|que ie le uoudroie auoir trouue,Sire fait ele porce|que io le uodroie auoir troue
1,1|2|3,Si li conte tote s aventure issi com vos avés oi dire ça arrieres|tant qu il conoist bien|que c est il qu ele quiert a,si li conte toute sauenture|si com li contes la retrait cha en arriere|Tant que il connoist bien quele le quiert,como le auia conel contesçido|asi como el cuento lo a deuisado|e luego entendio boores|que ael andaua ella buscando,Si gli conta tutta sua aventura|si come el libro l à trattato qua adietro|tanto che conosce bene|che ciò est elli quelli cui ella chiede ma per lo cruccio,si luy compte toute son auanture tant quil cengnoit bien|que cest celle|qui le quiert,si luy compte toute sauanture|ansi comme le comte la dit cy deuant|tant que il cognoist bien|que cest il quelle quiert,Si li conte tote sauenture ainsi con li contes la retraite|Tant que il quenoit bien|que cest ele|que il le quiert
2,4,Mais por le coros de la mort al seneschal ne se volt fere conoistre ains li respont Certes damoisele chevalier,Mais pour le courous quil a del senescal|ne se volt il faire aconnoistre,mas porel pesar dela muerte del senescal no se quiso fazer conosçer antele rrespondio çierto donçella al cauallero,ch egli à della morte del siniscalco non|si vuole fare cognoscere anzi le risponde,Mais pour le couroust quil a du sencchal|et de sa mort ne se uoult faire congnoistre,Mais pour le courroux quil a de la mort au seneschal ne se ueult il faire cognoistre Certes damoisele de celle mesmes matiere dessus dicte ie ne scay nul cheualier,mais por le corrous quil auoit de la mort au seneschal: ne se wet faire quenoistre a li|si li dit
3,,,,,,,,Certes damoisele
4,,,,,,mes leur respont certes damoiselle ie ne cengnois mie le cheualier,,
5,,,,,: 'Certo damigella il cavaliere,,,
6,,,Ains li respont,,,,,
7,,,Certes damoisele le cheualier,,,,,
8,5|6,qui porte escu blanc ne conois je nul|— En non Dieu sire fet ele ce poise moi chierement,qui porte blanches armes ne connois iou mie|Enon dieu sire fait elle che poise moi moult durement,que traia blancas armas no conozco yo Pardios dixo la donçella mucho me Pesa caramjente,che porta lo scudo bianco non ne so io nulla|—A nome di Dio dis ella ciò pesa a mes,qui porte les blances armes|En nen dieu fait elle il me poyse monlt chierement,qui porte escu blanc|Certes sire fait elle ce me poise,qui port escu blanc ne sai ie nul|En no dieu fait ele de ce me poise il trop durement
9,7,Et il n en tient plus a li parole ains part,,e boores non quiso conella|mas estar,E non tenne più a llei parole anzi|si parti,A|donc sen part,et il ne tient plus parole a luy|ains sem part,et il ne tient plus a li parole|Ains sen part
10,8,si tost com il l ot commandee a Dieu a,ors le commande a dieu|& puis sen part de li,e acomendo la a dios|e fuese,si tosto come l à comandata a dDio,et ne uoult plus parler il la commandee a dieu|et sen ua,si tost quil leut commandee a dieu,si tost comme il lot comandee a dieu
11,9,et chevalche en tel maniere jusqu a tierce tant qu il vint a l issue de la forest;,& cheuauche en tel maniere iusques a tierce|Tant que il vint a lissue de la forest,e andubo tanto|que salio dela floresta,e cavalca tanto in tale maniera infino qua a terza|tanto che viene a l uscita della foresta,et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies tant quil uint a lissue de la forest,et cheuauche en telle maniere iucqua tierce tant quil uient a lissue de la fourest,et cheuauche en tel maniere|tant quil uient a lissue de la forest
12,10|11,et il torne a destre vers un chemin viés|et ancien;,et torne a destre en vn petit chemin viez,e dexo el camino|e tomo a mano derecha vn camino pequeño|e biejo lleno de yerba|e non andubo mucho,e torna a destra inverso uno camino vecchio|e antico,et il tourna a destre uers ung petit chemyn uieil:,et il tourne a destre vers ung chemin uieil|et ancien,et il torne a destre uers lr chemin uiee|et acien
13,12,si ne demora gueres qu il vint a une eve P lee,Si ne demora gaires quil vint en vne moult grant ualee ou il couroit vne aigue grant|et roide,porque llego a vn valle|Por do corria vn agua muy negra,si non dimora guari|che viene a una acqua lata,si ne demoura gueres quil uint en une uallee,Si ne demoura gueres quil uient a une caue lee,Si ne demora gaires quil uient a une eue lee
14,,,,,,ou il couroit une eau monlt roidde la quelle estoit grande,,
15,13|14,et parfonde|mais il n i trueve pont ne gué ne passage nul,et parfunde|mais il ni troeue ne pont ne passage,e fea|e fonda|e non fallo puente|por do Pudiese pasar,e perfonda ma e' non vi truova né ponte né guado né passaggio nullo,et parfonde|et ne treuue ne pont ne planche par ou il puisse passer,et parfonde|mais il ny treuue pont ne gue ne passage nul,et parfonde|mais il ni trueue ne pont ne gue ne passaige nul
16,15|16|17,Et il regarde d autre part de l eve|si voit I|petit chastel molt bien seant clos de mur bateillié tot entor a la roonde,Et il regarde de lautre part de laigue|si y uoit|j|castel moult bien seant|clos de mur bateillie tout entor a la reonde,e cato dela otra parte Del agua|e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor,Ed elli isguarda d altra parte dell acqua|si vide uno piccolo castello molto ben sedente chiuso d uno muro battagliato tutto intorno alla ritonda,Sy regarde de laultre part de leaue|et uoit ung beau chastel monlt bien seant|et bien cloz de muraille tout entour,et il regarde de lautrepart de leaue|si uoit ung petit chastel moult bien seant clos de mur bataille tout entour a la ronde,et lors regarde il dautre part de leue|Si uoit|i|petit chastelet moult bien feant|qui estoit clos de murs batilliez de toutes pars enuiron a la roonde Il esgarde Longuement le chastel
