0	— Naie par foi fist Joseph ains sui crestiens	Et estes vous fet il lsarsal sarrazins|Nenil voir fait il ie sui crestiens	0|1
1	et croj el Pere	et croi le pere	2
2	et el Fiz	& le fil	3
3	et el Saint Esperit; n a fors un Dieu	& le saint esperit	4
4	et cil est	& que il nest	5
5|6	si poissans qu il puet fere les mors a resusciter|et de cels	que vns seuls diex	6
7|8	qui ont esté malvés|et desloials puet il fere buens	et cil puet toutes choses faire uenir	7
9|10	et droituriers ne nus n est tant pecheor se il s acorde a lui qu il ne le face venir al desus de tos ses I anuis|Et il a bien mostré voiant vos tos qu il est Diex	Ne nuls nest	8
11	et puissans sor tos autres ne a la	si pechierres	9
12	puis sance de lui ne se puet nus pooirs prendre	sil se veult racorder a lui	10
13|14	et ce poés vos bien veoir par ces ymages|que vos clamiez diex	quil ne le face uenir al desus de tous Sses anemis	11
15|16	et en cui vos creez qu il a|si acraventés	Ne a la poissance de lui ne se puet nus prendre	12
17|18	et afondrés qu il sont tuit ars|— Certes fet Mategrant je voi bien qu il est assés plus puissans	Ieaszal Nertes fait mathagrans iou voi bien quil est plus poissans	13
19	que je ne cuidoie	que iou ne|qui U doie	14|15
20	et se il raisoit	Et sil faisoit	16
21	tant que mes freres fust resuscités	tant que mes freres fust resuscites	17
22	si qu il parlast a moi jamés ne croiroie en autre dieu se en lui non	& quil parlast a moi|iamais ne creroie en autre dieu quen lui	18|19
23	Quant Joseph or ce	Et quant ioseph oi chou	20
24	que Mategrant disoit	que mathagrans disoit	21
25	si s agenoille a terre	Il sagenoille maintenant	22
26	et dist Diex	& dist|biau sire diex	23|24
27	qui estoras le monde	qui estoras le monde	25
28	qui feis la lune	et qui feis la lune	26
29	et le soleil	et le soleil	27
30	et les	et lez	28
31	III	iiij	29
32	elemens	elemens	30
33	qui deignas nestre de la Virge pucele	& daignastes naistre de la virgene marie	31
34	qui fus pendus en la sainte Crois	et fustes pendus en la crois	32
35	et te laissas escopir	& te laissas batre	33
36	et batre	& ferir	34
37	et ferir as felons Juis	et loier a lestache	35
38	et volsis goster de la mort	& uolsis: goster mort en la sainte vraie crois pour ton puele rachater de la mort denfer	36
39	por ton pueple raiembre des paines d enfer sire ensi vraiement com tu resuscitas de mort ensi faces i tu miracle de cest mort apertement voiant tos cels	Si vraiement com tu resuscitas au tierc ior de mort|si vraiement com ce fu voirs ensi faces tu miracles de cest mort	37|38
40	qui ci sont	vraiement	39
41	et aprés ce ne demora gueres		
42	que li mors se leva de terre sains		
43	et haitiés	& apertement	40
