a	b	c	d	e
0	— Naie par foi fist Joseph ains sui crestiens	Et estes vous fet il lsarsal sarrazins|Nenil voir fait il ie sui crestiens	no|por buena fee dixo el antes soy xpistiano	Padre	Nenny par ma fop fait il ains suis chrestien
1|2|3	et croj el Pere|et el Fiz|et el Saint Esperit; n a fors un Dieu	et croi le pere|& le fil|& le saint esperit	e creo enel padre|e enel hijo y enel espirtu santo	e uno Spirito Santo|si è una cosa|e non v à fõrse uno solo lddio|	⁊ crops le pere le filz|⁊ le saĩt esperit
4	et cil est	& que il nest	que es vn dios	si possente	qui nest
5	si poissans qu il puet fere les mors a resusciter		que puede toda cosa fazer|e faze el viuo morir	che può fare gli uomini risucitare da morte a vita	que ung seul dr̃eu Celui peut toutes choses faire uenir:
6|7	et de cels|qui ont esté malvés	que vns seuls diex	e el muerto rresuçitar|e de malo	e di quelli|ch ânno stati malvagi	⁊ nul ne est
8|9|10	et desloials puet il fere buens|et droituriers ne nus n est tant pecheor se il s acorde a lui qu il ne le face venir al desus de tos ses I anuis|Et il a bien mostré voiant vos tos qu il est Diex	et cil puet toutes choses faire uenir|Ne nuls nest	e desleal puede façer bueno|e leal|e no ay tal|por pecador	e disleali può elli fare buoni|s elli s acorda con lui|ch elli nol faccia venire al di suso de' suoi animici|E elli à ciò ben mostrato|vegendone tutti	si pecheur sil se accorde a lui quil ne faceue nir au dessus de ses ennemis ne a la puissan ce de lui ne se peut nul piendre
				e diritti	
				né nullo non è tanto peccatore	
11	et puissans sor tos autres ne a la	si pechierres	que sea|que si ael se torna	ch egli è lddio possente sopra tutti gli altri	
12	puis sance de lui ne se puet nus pooirs prendre	sil se veult racorder a lui	que le no faga veer todo plazer	né alla possanza di lui non|si può nulla cosa aguagliare	
13|14	et ce poés vos bien veoir par ces ymages|que vos clamiez diex	quil ne le face uenir al desus de tous Sses anemis	e bien mostro agora|que es poderoso sobre todos los poderosos|e asu poder non se puede otro acostar	; 'e ciò potete vo' ben vedere per queste immagini|che vo' chiamate lddio	
15|16	et en cui vos creez qu il a|si acraventés	Ne a la poissance de lui ne se puet nus prendre	e esto podedes vien ver|e por estas ymagines	in cui vo' crede'|ch egli à|si isfracelati	
17|18|19	et afondrés qu il sont tuit ars|— Certes fet Mategrant je voi bien qu il est assés plus puissans|que je ne cuidoie	Ieaszal Nertes fait mathagrans iou voi bien quil est plus poissans|que iou ne|qui U doie	que llamades dioses|que quemo çierto dixo matagrant yo veo bien	e fenduti|che sono tutti arsi|io veggio bene|ch egli à assa' più possanza|ch io non credeva	Certes dit ma thagrans ie uop hbien quil est plus puissant q̃ ie ne cuidoie
				—Certo	
				disse Mategranz	
20	et se il raisoit	Et sil faisoit	que es	e s e' facesse	⁊ sil faisoit tãt
21	tant que mes freres fust resuscités	tant que mes freres fust resuscites	ansi poderoso|que si el rresuçita ami hermano	tanto che mio fratello fosse risucitato	que mon frere fut resuscite
22	si qu il parlast a moi jamés ne croiroie en autre dieu se en lui non	& quil parlast a moi|iamais ne creroie en autre dieu quen lui	que me pudiese fablar jamas non creeria en otro dios sino enel	sicch elli parlasse a me|giamai non crederei in altro lddio se none in lui	⁊ quil parlast a moy iamais ne croi¬ roie en autre dieu|que en lui
23	Quant Joseph or ce	Et quant ioseph oi chou	Quando josepe oyo aquello	Quando Giuseppo udi ciò	Dant ioseph ouist ce
24|25	que Mategrant disoit|si s agenoille a terre	que mathagrans disoit|Il sagenoille maintenant	que matagran deçia finco los ynojos	che Metagranz diceva|sissi inginocchiò in terra	que matagrãs di Hsoit il se agenoulla incontinent
26	et dist Diex	& dist|biau sire diex	e dixo dios	e disse|Al	et dist
					Sir̃ẽ dieu
				bel dolze Sire lddio	
27	qui estoras le monde	qui estoras le monde	que el mundo criaste	che criasti el mondo	qui creas le monde
28	qui feis la lune	et qui feis la lune	e feçiste alos malos judios	e facesti	⁊ fiz la lune
29|30	et le soleil|et les	et le soleil|et lez	e feçiste el sol	e l sole|e la luna	et le sol cil
31|32	III|elemens	iiij|elemens	e la luna|e los quatro elementos	e quatro alimenti	⁊ feir les quatre elemens
33	qui deignas nestre de la Virge pucele	& daignastes naistre de la virgene marie	e quisiste naçer dela virgen sancta maria	e che degnasti nascere della Vergine Pulcella	⁊ uouluz naistre de la uierge marie:
34	qui fus pendus en la sainte Crois	et fustes pendus en la crois	e fuiste puesto enla cruz|e sufristes alos malos judios	e che fosti messo nella Santa Croce	⁊ qͥ suz pendu en la croix:
35	et te laissas escopir	& te laissas batre	que te firiesen	e ti lasciasti scopare	⁊ te laissas batre
36	et batre	& ferir	e escupiesen	e battere	⁊ ferir
37|38	et ferir as felons Juis|et volsis goster de la mort	et loier a lestache|& uolsis: goster mort en la sainte vraie crois pour ton puele rachater de la mort denfer	e quisiste morir enla cruz	e fedire a' fellon Giudei|e volesti gustare della morte per tuo popolo ricomperare di pene dello inferno	⁊ lier a la tache pour ton peuple rachater des peines dẽfer
			por saluar todo el pueblo delas penas del ynfierno señor		
