A	B
0|1	0
2|3	1
4|5	2
6	
7	3
8	4
9	5
10	6
11|12	7
13	
14|15	8
16	9
17	10
18	11
19	12
20	13
21|22	14
23	15
24	16
	17
25	18|19
26	20|21
27	22
28|29	23
30|31	24
32	25
33|34	26
35	27|28
36	29
37	30|31
38	32|33
39	34|35
40	36|37
41	
42	
43|44	38
45	
46	39
47	40
48|49	41
50	42
51	43
52	44|45
53|54	46
55|56	47
57|58	48
59	
60	49
61	50
62	51
63	52
64	53|54
65|66	55
67	56
68	57|58
69	59
70|71	60
72|73	61
74	62
75	63
76	64
77	65
78|79	66
80|81	67
82|83	68
84	69
85	70
86	71
87|88	72
89	73
90	74|75
91	76|77
92	78|79
93	80
94	81|82
95	83
96	84
	85
	86
97	87
98|99	88
100|101	89
102	90|91
103	92
104|105	93
106	94
107	95
108	96
109	97
110|111	98
112	99|100
113	101
114	102
115	103|104
116	105
	106
117	107|108
	109
	110
118	111|112
119	113
120|121	114
122	115
123	116
124	117
125|126	118
127|128	119
129	120
130	121
131|132	122
133|134	123
135	
136|137	124
138	
139|140	125
141|142	126
143	
144	127
145	
146|147	128
148|149	129
