A	B
0	
1	
2|3	0
4	1|2
5	3|4
6	5|6
	7
7	8|9
	10
8	11|12
9	13|14
10	15|16
11	17|18
12	19|20
	21
13	22|23
	24
	25
14	26|27
15	28|29
16	30|31
17	32
18	33|34
19	35|36
20	37|38
	39
	40
21	41|42
22	43|44
23	45|46
24	47
25	48|49
26	50
27	51|52
	53
28	54|55
29	56|57
30	58|59
	60
31	61|62
	63
	64
32	65|66
33	67|68
34	69|70
	71
	72
35	73|74
	75
	76
36	77|78
37	79
38	80|81
	82
	83
	84
39	85|86
40	87|88
	89
	90
41	91|92
	93
	94
42	95|96
43	97|98
44	99
45	100|101
46	102|103
	104
47	105|106
	107
48	108|109
49	110
	111
50	112|113
51	114|115
52	116|117
	118
	119
53	120
	121
54	122|123
55	124|125
56|57	126
58	127
59	128
60	129
61	130|131
62	132
63	133
	134
64	135|136
65	137|138
	139
	140
66	141|142
67	143
68	144
	145
69	146|147
70	148|149
71	150|151
72	152|153
73	154
74	155|156
	157
	158
	159
	160
	161
	162
	163
	164
	165
75	166|167
76	168|169
77	170|171
78	172|173
79	
80	174|175
81	176|177
	178
	179
	180
82	181|182
	183
	184
83	185|186
	187
	188
84	189
	190
	191
85	192|193
86	194|195
	196
87	197
88	
