A	B
0	
1	
2	
3	
4|5	0
6	1
7|8	2
9	3
10|11	4
12	5
13	6
14	7
15	8
16|17	9
18	10
19	11
20|21	12
22	13|14
23|24	15
25|26	16
27	17
28|29	18
30|31	19
32	20
33	21
34	22
35|36	23
37	24|25
	26
	27
38	28
39|40	29
41|42	30
43	31
44	32
45	33
46	34|35
47	36
48	37
49	38
50	39
	40
51	41|42
52|53	43
54	44|45
55|56	46
57	47
58|59	48
60|61	49
62|63	50
64	51
65	52
66	53
67	54
68	55
69	56
70	57
71	58
72	59|60
73	61
74	62
75	63
76	64|65
77	66
78	67|68
79	69
80	70
81	71
82	72
83	73
84	74|75
85	76
86|87	77
88	78
89|90	79
91	80|81
92	82|83
93|94	84
95|96	85
97	86
98	87
99	88
100	89
101	90|91
102	92
	93
	94
103	95
104	96|97
105	98
106|107	99
108	100|101
	102
109|110	103
111	104
112	105
113|114	106
115	107
116	108
117	109
118	110
119	111
120	112
121|122	113
123	114|115
124|125	116
126	117
127	118|119
128	120
129	121
130	122
131	123
132	124
133|134	125
135|136	126
137|138	127
139|140	128
141|142	129
143|144	130
145|146	131
147	132
148|149	133
150	134
151|152	135
153	136
154|155	137
156|157	138
158|159	139
160	140
161|162	141
163	
164|165	142
166|167	143
168|169	144
170	145|146
171|172	147
173|174	148
	149
175	150|151
176|177	152
178	153
179	154|155
180	156
181	157|158
182	159
183|184	160
185|186	161
187	162|163
188	164|165
189|190	166
191	167
192	168
193|194	169
195	170
196|197	171
198	
199	172
200|201	173
202	174
203|204	175
205|206	176
207|208	177
209	178
210	179
	180
211	181|182
212	183|184
213	185
214|215	186
216	187|188
217	189|190
218|219	191
220	192
221|222	193
223	194
224	195|196
225	197
226	
