		Of alle dredful thyng	0
0|1	Mors est quid terribilissimum|et finis omnium terribilium	deÞ is most dredful and ende of al dredful ‡ thinges	1
2	ut dicitur Ethicor	a[s] it is iseid|iii Ethicorum	2|3
3|4	Ubi ergo quaeritur mors populi|et ubi hostes insidiantur morti ciuium	Panne where enemyes ben | aboute to slee men and liggen in awayte	4
5|6	est omnis cautela adhibenda|ut exercitus seruetur illaesus	for to slee citeseyns nedeķ al maner cautel so	5
7|8	et|ut vita ciuium conseruetur	ķat ķe oost be Þept hool and sond and lif of citeseyns isaued	6
			7
9	Non ergo sufficit considerare ea quae sunt consideranda in pugna publica committenda nisi sciantur cautelae ad remouendum impedimenta viarum	ķat scholde be iknowe in figtynge in bataille but me knowe|also cautels to putte of lettes of weyes and to be waar of boschementes	8|9
10|11	ne exercitus|per insidias hostium periclitetur in via	ķat ķe oost falle not in peril by boschementes of enemyes isette in ķe wey oķer by sides ķe wey	10
12|13	Possumus autem|quantum ad praesens spectat	And as it longeķ to ķis doynge we may reÞene eigte cautels	11
14|15	octo cautelas enumerare|: quas debet dux belli retinere memoriter	ķat ķe duk of a bataille scholde haue in mynde	12
16	ut saluetur vita pugnatorum	for to saue ķe wey of figtynge men	13
17	qui sunt sub ipso	ķat ben vnder hym	14
18		Firste	15
19|20	ut sciat itinera regionum|per quae exercitus proficisci debet	ķei scholde haue iwrete ķe weyes of contrées by ķe whiche ķe oost schal passe	16
21	: et interualla locorum	and ķe space betweyne place	17
22	et qualitates viarum	and ķe manere of weyes and paķes and turnynges and wyndynges|and ķe monteyns and reuersķat ben inķe wey	18|19
23	compendia et diuerticula	And gif he mygte|[ķ]e [duk of ķe oost] scholde haue ķe paas	20|21
24	et montes	(mounteyns	22
25|26	et flumina existentia in itinere illo debet habere conscripta|Immo	) and reuers	23
27|28	si viae illae|et passus	(tornynges and wendynges	24
29	et flumina dux exercitus haberet depicta	) discreued and ipeynt in parchement oķer in a clooķ	25
30|31	quasi oculorum aspectu prospiceret qualiter exercitus deberet pergere|tutius posset suum exercitum ducere	ķat he mygte as it were isee wiÞhis eyge how Þe oste scholde passe and how he mygte beste lede his oost saafliche	26
32	Sic etiam marinarii faciunt	For so doķ schip men	27
33	qui videntes maris pericula	ķat seig ķe periles of ķe see	28
34|35	ne eorum naues patiantur naufragium|descripserunt maris mappam ubi portus marini	For to saue here schippes fro schip breche ķe[i] hauen a clooķ	29
36	discrimina maris	ķat hatte mappa maris	30
37|38	et cetera talia proportionaliter sunt descripta|qui marinarii intuentes	ķe clooķ of ķe see and lettes and periles ķerof and oķere suche thinges	31
39|40	statim percipiunt qualiter debeant pergere|et in quo loco existant	And schip men loÞen ķeron and knowen anon how ķei scholde wende and in what place ķei ben and where of ķei mote be waar	32
41	et a quibus debeant se cauere	Panne	33
42|43	Quare propter insidias hostium exercitus tot quasi|vel etiam pluribus periculis exponatur in via quam nautae in mari	for boschementg of enemyes an oost is in as manye perils oķer in mo perils in Þe wey ķan schip men in ķe see	34
44|45	nullo modo debet exercitus pergere|per viam aliquam in qua pati possit insidias	in no wise an oost scholde passe by a wey in Þe ļ whiche may be perel but ķe duÞe of Þe oost haue discreued and ipeynt ķe manere of weyes	35
46	nisi qualitates viarum		
47	montes	mounteyns	36
48|49	flumina|et cetera reperta in ipso itinere habeat dux conscripta etiam et depicta	and reueres	37
50|51	|ut simul cum hoc quod habet vias et qualitates viarum conscriptas et depictas	and oķere thinges	38
52	ducat dux belli conductores aliquos bene scientes vias illas	ķat ben in Þe wey|Pe seconde cautel is	39|40
53	qui pluries	ķat Þerwik	41
54|55	per vias illas perexerint|et experti sint illas	ķat he haķ weyes and manere weyes discreued and ipeynt	42
56	Nam videre aliqua conscripta et depicta non sunt ita nota		
57	sicut		
58|59	si per seipsa sensibiliter videmus ipsa|Nam potior est cognitio rei	[ķ]e duk of bataylle scholde haue guydes	43
60|61	per quam cognoscitur in se ipsa|quam cognoscitur in pictura	ķat knowen wel Þe weyes and hauen ofte ipassed Þerby	44
62|63	vel in alio simili|Ne tamen conductores moliantur fraudes aliquas	For sigt of thinges	45
64|65	debet circa eos dux belli bonas apponere custodias ne possint fugere|	ķat ben discreued and ipeynt maÞen not thinges so wel iknowe as ķei ben iknowe by hemself gif we seen hem in dede	46
66	si in aliquo fraudulenter se habeant	for kynges ben iknowe bettere by hemself gif ķei ben iseye in dede ķanne by peynture and liknesse ķerof|Neķķelees leste ķe gydes caste fraude and gyle	47|48
67	et promittere dona	ķe duÞe schal sette aboute hym good Þepynge and warde	49
68|69	si se fideliter gesserint|	ķat he mowe not scape and flee	50
70	habere secum plures sapientes fideles principi	Also he schal manase to slee hem gif ķei don eny gyle and byhoote hem good giftes gif ķei doun wel and treweliche|Pe ķridde	51|52
71|72	exercitatos in bellis|de quorum consilio agat quicquid viderit ipse dux belli esse fiendum	ķei scholde haue wik hem manye wis men and trewe to ķe prince and ivsed to bataille	53
73	Nam ubi tantum currit periculum	and do by here counsaille al	54
74	nullus debet inniti proprio capiti	ķat is to doynge	55
75|76	nec credere sibi soli|	For in so greet perel no man scholde triste to his owne witte noķer in hemself alone	56
77|78	ut itinera ignorentur ab hostib|per quae debet exercitus proficisci	The Governance of Kings and Princes Pe ferķe cautel is Þat Þe weyes scholde be vnknowe by Þe whiche Þe oost scholde passe	57
79|80	Nam consilium ducis|quanto minus est publicum	For ķe more preueye ķe duÞes counsaile is	58
81|82	tanto quae sunt in consiliis deliberata minus impediuntur|et citius fini debito mancipantur	Þe lasse ķerof ķe ordinaunce is ilette and comeķ ķe bettre and Þe sonere to good ende	59
83	Postquam igitur deliberatum est		
84|85	per quas vias debet exercitus pergere|et vias illas Dux habet conscriptas et depictas	And whanne it is iordeyned in what weyes Þe oost scholde passe and Þe duÞe haķ thulÞe weyes discreued and ipeynt and haķ goode gydes and trewe	60
86	et habentur conductores aliqui fideles	Þe more preueye	61
87	quanto hoc minus est publicum et magis celatur ab hostib	ķat is	62
88|89	tanto exercitus magis secure proficiscitur|	andÞe lasse iknowe to ķe enemyes	63
90|91	in quolibet munimine|et in qualibet acie habere aliquos equites fidelissimos et strenuissimos	Þe | more siÞereliche Þe oost may passe Pe fifte [i]s to haue in eche ward and in eche schiltrom trewe hors men and strong and orpede	64
92	habentes equos veloces et fortes	ķat hauen swift hors and stronge	65
93	; qui ante et a tergo	ķat scholde priÞe forkward and bakward	66
94	et a dextra et a leua percurrant	li[ft]som and rigtsom|and in eche side a discouere[n] Þe contrey and buschementes leste som enemy ligge in awayte to aspye in what side Þei mygte greue Þe oost	67|68
95		For Þei no men knewe Þe duÞes counsaile|gut	69|70
96	ne hostes aliqui latitantes ex aliqua parte molestent exercitum	for ķe oost begynnek to passe by som weyes|som man may gesse by what weyes ķei scholde passe	71|72
97			73
98	eo tamen ipso quod	for it is to trowynge	74
99	per aliquas vias incipit exercitus iter arripere	ķat alwey in suche doynge ben spies|ķe duÞe of ķe bataille scholde thenÞe	75|76
100	coniecturari quis potest	ķat it mygt	77
101	per quas partes debeat proficisci	also be knowe to ķe enemyes	78
102	Et quia probabile est semper in talibus aliquos exploratores adesse cogitare debet dux belli quod et hoc posset	Also	79
103	ad aures hostium peruenire Itaque cum pericula visa minus noceant	for ķe forseide perels scholde greue ķe lasse	80
104|105	per velocissimos equites sunt detegendae insidiae|ne exercitus circa aliquam partem ex improuiso patiatur molestias	ķe contrey and buschements scholde be discouered by most swift hors men leste ķe oost myte be greued vnwaar in eny side	81
106			82
		ķat] % alwey in	83
107|108	ut semper ex illa parte exercitus probiores milites et magis bellicosi pedites apponantur|ex qua creditur maius periculum imminere	ķat side in ķe whiche is most drede of perel scholde be ordeyned best knytes and best fityng foot men	84
109|110	: quod|si ex omni parte de periculo dubitatur	And gif drede is of perel in eche side	85
111	undique sunt remedia adhibenda	[in eche side] scholde remedie be ordeyned	86
112		Pe seuenķe	87
113	ne exercitus disparsim vadat	ķat ķe oost goo not out of ordre	88
114	Nam interrupta acie facilius debellatur	For gif ķe schiltrom is disarayed	89
115	In qualibet enim hora sic exercitus se debet habere	it is ķe sonnere ouercome|And alwey an oost scholde goo in suche aray so	90|91
116	ut si et tunc hostes praesentes adessent	ķat gif ķe enemyes were present	92
117	ei non possent efficere nocumentum	ķei myte not greue ķe oost	93
118	Unde et prouerbialiter dicitur	Perfore it is iseid in a prouerbe	94
119|120	quod qui est munitus|non est derisus	Qui est munitus non est derisus	95
121	Semper ergo dux belli cui commissa est tantorum vita	: he	96
122	debet esse attentus et vigilans	ķat is iwarned and istrengķed is not iscorned	97
		Panne alwey ķe duÞe of bataille	98
		ķat haķ Þe charge of Þe lif of so manye men scholde be besi liehe iwaar	99
123	ne hostes eum inuadere possent quasi negligentem et dormientem	ķat enemyes falle | not as it were on oon Þat is negligent and slepynge	100
124	Debet etiam dux exercitus centuriones	Also ķe duÞe of an oost	101
125|126	et decani|et alii	centuriones and decani	102
127	qui operibus bellicis praeponuntur	and oķere leders in dedes of bataille	103
128|129	semper monere milites pedites|ut sint parati ad arma	scholde alwey menge and charge knytes and foot men to be alwey redy to fite so	104
130	;	ķat gif ķer happeķ eny rees	105
131	ut si contingeret aliqua inuasio subita	Þat Þei mowe sodeynliche|withstondehem	106|107
132		ķat|reseķ	108|109
133	Sic enim dicendo	And gif ķei doun so	110
134	dato quod accideret aliquis repentinus insultus	ķei ķer falle a sodeyn rees oķer asaugt	111
135|136	esset quasi prouisus|et minus praestaret nocumentum	ķe ost is alwey as it were avised and enemyes scholde greue Þe lasse	112
137			
138|139	considerare exercitum in quibus sit copiosior|utrum magis abundet peditibus	Pe eigte cautel is to taÞe heede wheÞer in Þe ost be mo foot men oķer hors men	113
140	vel equitibus		
141|142	Nam equites melius se defendunt in campis|Pedites vero in locis syluestribus et montuosis	for hors men defendeķ hymself best in feldes and foot men in wodes and in mounteyns	114
143|144	Itaque prout viderit dux belli se abundare in equitibus|vel in peditibus	And so as Þe duk of Þe batayle knowek Þat he haķ manye hors men oÞer foot men	115
145|146	eligere poterit vias campestres et amplas|vel montanas	he may chese large weyges by feldes oÞer by wodes and monteyns and oķer as he knowek Þat it is to doynge	116
147	syluestres		
148	et nemorosas		
149	et alia prout nouerit expedire		
