0|1	Mors est quid terribilissimum|et finis omnium terribilium	NOn solamente deuen los cabdillos auer cautelas	0
2|3	ut dicitur Ethicor|Ubi ergo quaeritur mors populi	:	1
4|5	et ubi hostes insidiantur morti ciuium|est omnis cautela adhibenda	quando han de acometer las faziendas	2
6	ut exercitus seruetur illaesus		
7	et	:	3
8	ut vita ciuium conseruetur	porque el nin los suyos non rescibandaño	4
9	Non ergo sufficit considerare ea quae sunt consideranda in pugna publica committenda nisi sciantur cautelae ad remouendum impedimenta viarum	mas avn en el camino pordo van deuenser apercebidos	5
10	ne exercitus	:	6
11|12	per insidias hostium periclitetur in via|Possumus autem	e guardarse mucho de los enemigos	7
13	quantum ad praesens spectat		
14|15	octo cautelas enumerare|: quas debet dux belli retinere memoriter	E deue el cabdillo de la fazienda tener en su memoria ocho cautelas	8
16	ut saluetur vita pugnatorum	para guardar a sy	9
17	qui sunt sub ipso	e a los suyos de los enemigos	10
18			11
19	ut sciat itinera regionum	que deue saber los lugares	12
20	per quae exercitus proficisci debet	e los caminos pordo ha de passar	13
21|22	: et interualla locorum|et qualitates viarum	: elas calidades de las carreras	14
23	compendia et diuerticula	:	15
24	et montes	e los montes	16
		:	17
25	et flumina existentia in itinere illo debet habere conscripta	e los rios|: elas encruzijadas	18|19
26	Immo	:|e los lugares sospechosos	20|21
27	si viae illae	E sy puede ser	22
28|29	et passus|et flumina dux exercitus haberet depicta	todo lodeue tener escripto epintado	23
30|31	quasi oculorum aspectu prospiceret qualiter exercitus deberet pergere|tutius posset suum exercitum ducere	: assy	24
32	Sic etiam marinarii faciunt	como lo fazen los marineros	25
33|34	qui videntes maris pericula|ne eorum naues patiantur naufragium	quando han de passar la mar	26
35	descripserunt maris mappam ubi portus marini	por lugares peligrosos|Tienen pintada la marca del mundo	27|28
36	discrimina maris	e de la mar	29
37	et cetera talia proportionaliter sunt descripta	:|do estan los puertos escriptos	30|31
38	qui marinarii intuentes	:|e los malos passos de la mar	32|33
39	statim percipiunt qualiter debeant pergere	E teniendo mientes al Mappa mundi saben|como han de yr porla mar	34|35
40	et in quo loco existant	e en|que lugar estan	36|37
41	et a quibus debeant se cauere		
42	Quare propter insidias hostium exercitus tot quasi		
43|44	vel etiam pluribus periculis exponatur in via quam nautae in mari|nullo modo debet exercitus pergere	: ecomose han de guardar de los peligros	38
45	per viam aliquam in qua pati possit insidias		
46	nisi qualitates viarum	bien assy los	39
47	montes	que van en la hueste deuentener todos los lugares peligrosos en su memoria o escriptos	40
48|49	flumina|et cetera reperta in ipso itinere habeat dux conscripta etiam et depicta	por que los non puedan saltear los enemigos ni fazerles daño en los caminos	41
50			42
51	ut simul cum hoc quod habet vias et qualitates viarum conscriptas et depictas	:	43
52	ducat dux belli conductores aliquos bene scientes vias illas	que deuenauer consigo guiadores|que sepan bien todas aquellas carreras	44|45
53|54	qui pluries|per vias illas perexerint	e los passos peligrosos	46
55|56	et experti sint illas|Nam videre aliqua conscripta et depicta non sunt ita nota	Ca maguera ellos lo sepan o los tengan escriptos	47
57|58	sicut|si per seipsa sensibiliter videmus ipsa	: mejor los sabra aquéllos	48
59	Nam potior est cognitio rei		
60	per quam cognoscitur in se ipsa	que los han andado	49
61	quam cognoscitur in pictura	e prouado muchas vezes	50
62	vel in alio simili	E porque	51
63	Ne tamen conductores moliantur fraudes aliquas	por estos guiadores a las vezes podrian ser engañados	52
64	debet circa eos dux belli bonas apponere custodias ne possint fugere	: deuen enbiar con ellos buenas guardas|que los non dexen fuyr	53|54
65|66	|si in aliquo fraudulenter se habeant	E deuenlos amenazar de muerte sy alguna falsedad fiziesen	55
67	et promittere dona	E deuenles prometer muchos bienes	56
68	si se fideliter gesserint	si fueren buenos|e fieles	57|58
69			59
70|71	habere secum plures sapientes fideles principi|exercitatos in bellis	e muy fieles	60
72|73	de quorum consilio agat quicquid viderit ipse dux belli esse fiendum|Nam ubi tantum currit periculum	e muy vsados en las faziendas de cuyo consejo faga todo lo	61
74	nullus debet inniti proprio capiti	que deuiere fazer	62
75	nec credere sibi soli	Ca do tan grand peligro aycomo en la fazienda nin gund principe non deue creer a symesmo nin a su cabeça	63
76			64
77	ut itinera ignorentur ab hostib	que el cabdillo de la faziendadeue guardar en grandporidad todas las cosas	65
78|79	per quae debet exercitus proficisci|Nam consilium ducis	que ordenare con sus sabios	66
80|81	quanto minus est publicum|tanto quae sunt in consiliis deliberata minus impediuntur	: en manera	67
82|83	et citius fini debito mancipantur|Postquam igitur deliberatum est	que non sea sabido	68
84	per quas vias debet exercitus pergere	que camino han de tener	69
85	et vias illas Dux habet conscriptas et depictas	E asy se podra mejor guardar del daño	70
86	et habentur conductores aliqui fideles	que les podria venir	71
87|88	quanto hoc minus est publicum et magis celatur ab hostib|tanto exercitus magis secure proficiscitur	quando los enemigos non supieren sus caminos	72
89			73
90	in quolibet munimine	que deue auer en cadahaz algunos caualleros muy sabios|e muy buenos	74|75
91	et in qualibet acie habere aliquos equites fidelissimos et strenuissimos	e muy fieles|:	76|77
92	habentes equos veloces et fortes	que ayan cauallos muy fuertes|e muy ligeros	78|79
93	; qui ante et a tergo	que vayan en la delantera	80
94	et a dextra et a leua percurrant	e en la çaguera|e en las costaneras	81|82
95		: descubriendo tierra	83
96	ne hostes aliqui latitantes ex aliqua parte molestent exercitum	por que los enemigos non esten en algunas çeladas	84
		por fazer Del tercero libro	85
		ccxxxiii daño a la hueste	86
97			87
98|99	eo tamen ipso quod|per aliquas vias incipit exercitus iter arripere	:	88
100|101	coniecturari quis potest|per quas partes debeat proficisci	que el cabdillo de aquella partedeue poner los mejores	89
102	Et quia probabile est semper in talibus aliquos exploratores adesse cogitare debet dux belli quod et hoc posset	e mas fuertes caualleros donde cuyda|que puede venir mayor peligro a la hueste	90|91
103	ad aures hostium peruenire Itaque cum pericula visa minus noceant	E si de cadaparte temen auer peligro de cadapartedeuenponer los mayores remedios	92
104|105	per velocissimos equites sunt detegendae insidiae|ne exercitus circa aliquam partem ex improuiso patiatur molestias	que pudieren	93
106			94
107	ut semper ex illa parte exercitus probiores milites et magis bellicosi pedites apponantur	:	95
108	ex qua creditur maius periculum imminere	que sienpre la hueste vaya apercebida	96
109	: quod	:	97
110|111	si ex omni parte de periculo dubitatur|undique sunt remedia adhibenda	e para esto deue el principe apercebir a todos los cabdillos	98
112		e a todos los mayorales|:	99|100
113	ne exercitus disparsim vadat	que amonesten a sus caualleros	101
114	Nam interrupta acie facilius debellatur	e a sus peones	102
115	In qualibet enim hora sic exercitus se debet habere	que vayan siempre armados|e aparejados	103|104
116	ut si et tunc hostes praesentes adessent	porque si a desora vinieren los enemigos	105
		que los fallen aparejados	106
117	ei non possent efficere nocumentum	e no les puedan empescer|	107|108
		:	109
		que sienpre deue el cabdillo tener mientes en toda su hueste	110
118	Unde et prouerbialiter dicitur	si ha|mas caualleros	111|112
119	quod qui est munitus	que peones	113
120|121	non est derisus|Semper ergo dux belli cui commissa est tantorum vita	: o	114
122	debet esse attentus et vigilans	mas peones	115
123	ne hostes eum inuadere possent quasi negligentem et dormientem	que caualleros	116
124	Debet etiam dux exercitus centuriones	E segund	117
125|126	et decani|et alii	que viere	118
127|128	qui operibus bellicis praeponuntur|semper monere milites pedites	que cumple	119
129	ut sint parati ad arma	asi los deue ordenar	120
