0	Qualiter construenda est nauis et qualiter committendum nauale bellum et ad quae bella singula ordinantur		
1	Cap		
2|3	XXIII|In hoc ultimo capitulo tractare volumus aliqua de nauali bello	Chapter XXIII In þis laste chapitre we wol trete som what of bataille of schippes	0
4	non tamen oportet circa hoc tantum insistere quia multa quae dicta sunt in aliis generibus bellorum applicari poterunt ad naualem pugnam	but it nedeþ not to abyde longe þere aboute|for manye kynges þat ben iseid of oþere manere batailles mowe helpe in batailles in schippes	1|2
5	Circa hoc autem pugnandi genus primo videndum est qualiter fabricanda fit nauis	And touchynge þat manere of figtynge|first it is to wetynge how a schip scholde be maad	3|4
6	nam nauis male fabricata ex modica impugnatione hostium de facili perit	For gif a schip is euel imaad|it is sone ilost by a litel asaillyng of enemyes	5|6
		Panne as Vigesius seith	7
7	Sciendum ergo quod secundum Vegetium ligna ex quibus construenda est nauis non sunt de quolibet tempore incidenda	it is to wetyng þat treen|and tymber of þe whiche a schip scholde be maad scholde not be ifeld in eche tyme of þe gere	8|9
		For in March	10
8	Nam tempore Martii et Aprilis in quo humor incipit in arboribus abundare non est bonum incidere arbores ex quibus fabricanda est nauis	and in Auerel whan moche hemour is in treen|it is not good to feile treen of þe whiche a schip scholde be maad	11|12
9	Sed tempore Iulii et Augusti vel aliquo alio tempore in quo humor arborum desiccatur ad huiusmodi fabricam incidenda sunt ligna	But in Iule|and in Agust oþer in som oþer tyme whanne þe humour in treen is fordryed	13|14
10	Rursus non statim incisis lignis est ex eis fabricanda nauis	it is good to feile treen of þe whiche a schip scholde be maad|Also a schip scholde not be made of treen anoon as þei ben ifeld	15|16
11	sed primo arbores sunt diuidendae per tabulas	but first treen scholde be isawed|and imaad bordes þerof	17|18
12	et per aliquod tempus dimittendae ut desiccari possint	and abyde a certeyne tyme þat þei mowe drye|and clynge	19|20
		For gif a schip is imaad of grene tymber	21
13	Nam	whanne þe kynde humour passeþ|and failleþ	22|23
		þe tymber schrynÞek	24
		and maÞeþ in þe schip chynes	25
14	si ex lignis viridibus construatur nauis quando naturalis eorum humor expirauerit contrahuntur ligna et faciunt in nauibus rimas quibus in nauibus nihil periculosius esse potest	and cliftes|and no kyng mowe be more perilous þan þat	26|27
15	Durum est enim intendere simul bellis naualibus et exponere se periculis ne puppis per rimas naufragium patiatur	And it is hard to taÞe hede at ones to batailles of schippes|and to putte hemself to peril lest þe schippe be broÞe oþer sonk	28|29
16	Viso qualiter incidenda sunt ligna et quomodo reseruanda ut ex eis nauis debite valeat fabricari	For it is iknowe how schip tymber schulde be feld|and be let abyde	30|31
17	restat videre	for to dryge	32
18	quomodoin naui bene fabricata committenda sunt bella	and clynge|for to maÞe wel a schip þerof	33|34
19	Habet autem nauale bellum quantum ad aliqua similem modum bellandi cum ipsa pugna terrestri	it is to wetynge how in a schip so imaad a bataille scholde be geue|And touchynge som doynge a bataille of schippes haþ som manere doynge liehe to manere doynge of bataille of þe feld	35|36
20	Nam sicut terrestri pugna oportet pugnantes bene armatos esse et bene se scire a persecutionibus protegere et hostibus vulnera infligere	For as in bataille of þe feld it nedeþ þat figtynge men be wel iarmed|and cunne wel defende hemself fro stroÞes	37|38
		and geuen enemyes sore stroÞes	39
		and woundes	40
21	sic et haec requiruntur in bello nauali	and so þis nedeþ in bataille of þe see|And	41|42
22	Immo in huiusmodi pugna oportet homines melius esse armatos quam in terrestri	also in suche figtynge it nedede þat men be betere iarmed Þan in figtynge in londe|Panne	43|44
23	quia cum pugnatores marini quasi fixi stent in naui et quasi modicum se moueant melius sustinere possunt armorum pondera	for men þat figten in þe see stondeþ as it were ipigt|and meuen but a lite þei mowe þe better bere heuy armer	45|46
24	quare eorum armatura grauior esse debet	wherfore here ärmere scholde be þe more heuy	47
25	Possumus tamen quantum ad praesens decem enumerare per quae marini pugnatores hostes impugnare debent	But as it longeþ to þis doynge|we may reÞene ten by þe whiche see figtynge men scholde assaylle here enemyes	48|49
26	Primum est ignis quem Incendiarium vocant	Þe firste is fuyre þat is icleped incendiarius	50
27	Expedit enim eis habere multa vasa plena pice sulphure rasina oleo	For it scholde haue wik hem manye vesselles ful of pich|of brymston	51|52
		of roseyn	53
28	quae omnia sunt cum stupa conuoluenda	of oyle|and aile þes scholde be wrapped wik herdene	54|55
29	Haec enim vasa sic repleta sunt succendenda et proiicienda ad nauem hostium	And þese vesselles so ful scholde be isette afuyre|and iþrowe in to þe schippe of enemyes	56|57
30	Ex qua proiectione vas frangitur et illud incendiarium comburitur et succendit nauem	And þe vessel breÞe|and sette afuyre þe mater of þe brennynge	58|59
		and setteþ þe schip afuyre	60
31	Sunt enim multa talia in naui proiicienda ut ex multis partibus possit nauis succendi	And manye suche scholde be þrowe in to þe schip|for to sette þe schip afuyre in manye places	61|62
		And whanne suche thingges ben iþrowe	63
		it is to doynge	64
32	et cum proiiciuntur talia tunc est contra nautas committendum durum bellum ne possint currere ad extinguendum ignem	for to figte harde|and sore wik þe schip men so þat þei mowe not a while quenche þe fuyre	65|66
33	Secundo ad committendum marinum bellum multum valent insidiae	Þe seconde|buschements helpeþ moche in batailles of þe see	67|68
34	Nam sicut in terra ponuntur insidiae militum qui ex improuiso inuadentes hostes eos terrent et de facili vincunt	For as in þe lond ben isette boschementes of knygtes þat fallen|and resen on enemyes vnwaar	69|70
		and affrayen hem	71
		and ouercomen hem sone	72
35	sic in mari post aliquas insulas fiunt insidiae ut marini pugnatores ex improuiso irruentes in hostes eos facilius vincant	so in þe see byhynde som ilondes ben imaad boschementes so þat þe figtynge men breÞen out|and fallen on enemyes vnwaar	73|74
		and ouercome hem þe sonnere	75
		Þe þridde	76
36	Tertio est circa marinum bellum attendendum ut semper pugnantes nauem suam faciant circa profundum aquarum et nauem hostium impingant ad littus	in bataille of þe see it is to doynge þat Þey þat sayllen haue alwey here schip in deep water|and dryue þe schip of enemyes to þe clyfward	77|78
37	quia pugnandi impetum perdunt qui detrahuntur ad terram	for Þey þat ben idrawe to lond lesen þe rees of asayllynge	79
38	Quarto ad arborem nauis suspendendum est lignum quoddam longum ex utraque parte ferratum quod ad percutiendum tam nauem quam nautas se habeat quasi aries cum quo teruntur muri ciuitatis obsessae	Þe ferþe|to þe mast of þe schip scholde be honged a long tree iheled wik ire in eyÞer ende	80|81
		for to smyte bothe schip	82
		and schip men	83
		as þe instrument þat hatte þe wether smytek þe walles of a cyte þat is byseged	84
39	Debet autem sic ordinari lignum illud ut ligamentum retinens ipsum possit deprimi et eleuari	And þat tre scholde be ordeyned in þis wise so þat þe bond þat holdeþ it may be meued vpward|and dounward	85|86
40	quia hoc facto maior habetur commoditas ut cum ipso percuti possit tam nauis quam etiam existentes in ipsa	and so is þe more avantage|for to smyte þenviþ boþe þe schippe	87|88
		and men þat ben þerinne	89
		Þe fifte	90
41	Quinto in bello nauali habenda est copia ampliarum sagittarum cum quibus scindenda sunt vela hostium	in bataille of schippes scholde be many brood arwes|for to Þerue þe sailles of enemyes	91|92
		and maÞe þerinne many greet holes	93
		and col slettes	94
42	Nam velis eorum perforatis et non valentibus retinere ventum	For whanne in þe sailles ben many holes|and slittes	95|96
43	non tantum possunt ipsi hostes impetum habere pugnandi nec etiam possunt sic faciliter recedere	and mowe not holde wynd|þan þe enemyes mowe not holde ful cours	97|98
44	si volunt declinare a bello	for to smyte noþer mow sone flee gif Þey wol wikdrawe out of þe bataille	99
45	Sexto consueuerunt nautae habere ferrum quoddam curuatum ad modum falcis bene incidens quod applicatum ad funes retinentes vela	Þe sixte|schip men vse to haue a croÞed ire as it were an hook ful scharp	100|101
46	statim incidit ipsa	and Þeruyng|and Þerueþ þenviþ anoon ropes þat holdeþ þe sailles	102|103
		And whan þe sayles ben so iÞet	104
47	Velis autem sic incisis et cadentibus ab arbore subtrahitur ab hostibus ne sic pugnare possint	and þe maste ben ifalle|me wikdrawen fro þe enemyes so þat þei mowe not figte	105|106
		For by suche kyttynge of saylles	107
48	quia per talem incisionem velorum redditur nauis pigrior et quodammodo inutilior ad pugnandum	and of ropes þe schip is þe more slow|and þe lasse mygty to figte	108|109
49	Septimo consueuerunt	Þe seuenþe	110
		schip men vsen to haue strong yren croÞes þat þei mowe	111
50	e iam nautae habere uncos ferreos fortes ut cum vident se esse plures hostibus cum illis uncis capiunt eorum naues ut non permittant eos discedere	whanne Þey ben among enemyes|wik þilÞe croÞes taÞe here schippes þat þei mowe not passe awey þeig þei wolde	112|113
51	Octauo in nauali bello est haec cautela attendenda	Þe eigte|in bataille of schippes þis cautel scholde be knowe	114|115
52	ut de calce alba puluerizata habeant multa vasa plena quae ex alto sunt proiicienda in naues hostium quibus ex impetu proiectis et fractis eleuatur puluis	Þat Þei scholde haue manye vessels ful of whigt lyme oþer of chalk þat schold be þrowe fro hiyg place in to schippes of enemyes|And whanne þei ben stronglich iþrowe	116|117
		and ibroÞe	118
		pouder ariseþ	119
53	(ut supra diximus in bello terrestri	as we seide tofore in bataille in londe	120
		and comeþ in to þe eygen of enemyes	121
54	) et subintrat hostium oculos et adeo offendit eos ut quasi caeci videre non possint	and greueþ hem so þat þei ben as it were iblynded|and mowe not see	122|123
55	quod in bello nauali est valde periculosum quia ex omni parte bellantes in tali bello vident sibi imminere mortem	And þat is ful perelous in bataille of schippes|for in suche a bataille figtyng men ben in peril of deeþ in eche side	124|125
56|57	quare|si oculi bellantium in tali pugna ex puluere calcis sic offenduntur ut videre non possint	Wherfore gif eyen of figtynge men in suche a bataille ben so igreued wik poudre of lyme oþer of chalÞe so þat þei mowe not isee	126
58	de facili vel perimuntur ab hostibus vel submerguntur in aquis	þei mowe ligtliche be spilde of here enemyes oþer adreynt in þe see	127
59	Nona cautela est habere multa vasa plena ex molli sapone quae cum impetu proiicienda sunt ad naues hostium	Þe nynÞe cautel is to haue manye vessels ful of nesche soope þat scholde be strongliche iþrowe in to þe schippes of enemyes	128
60	et hoc super loca illa in quibus contingit hostes existere ad defendendum naues	and þat on þe place in Þe whiche þe enemyes stonden inne to defende þe schippes	129
61	Nam vasis illis confractis in huiusmodi locis loca illa per saponem liquidam reddunturadeo lubrica quod hostes ibi ponentes pedes statim labuntur in aquis	For whanne þilÞe vessels ben ibroÞe|þilÞe places ben imaad so slidere by nesche sope þat whanne enemyes setten here feet þerinne anon Þey fallen in to þe see	130|131
62	Est etiam et decima cautela quasi pernitiosior omnibus aliis	Þe tenþe is as it were worst of alle	132
63	Nam reperiuntur aliqui marinarii qui diu sub aquis durare possunt	For som schip men mowe dure longe vnder water	133
		þanne schip men scholde ordeyne som what agenst þe schip of enemyes	134
64	nautae igitur debent se serio ordinare contra nauem hostium et clam post tergum debent aliquem emittere diu valentem durare sub aquis	and sende oon byhynde pryueiliche þat may longe abyde vnder water|and maÞe hooles wik a gymelot oþer with an augeer in þe schip of enemyes in þe neþer side	135|136
65	qui accepto penetrali sub aquis debet accedere ad hostilem nauem et eam in profundo perforare faciendo ibi plura foramina quae foramina ab hostibus reperiri non poterunt cum per ipsa coeperit abundare aqua qua abundante et hostes et nauem periclitabit	and maÞe manye hooles þerinne þat þe enemyes may not fynde|And whanne moche water comeþ in at þilÞe hooles	137|138
		þe enemyes ben ilost	139
		and þe schip also	140
66	Sunt autem in bello nauali alia obseruanda ut sit ibi copia lapidum et etiam ferrorum acutorum quae quasi lapides iaciuntur cum quibus hostes nimium offenduntur	Also it is to wetyng þat in a bataille of schippes scholde be manye stoones|and manye scharpe ires þat may be þrowe riʒt as stones wik þe whiche enemyes ben soone igreued	141|142
67	Sed caetera talia quia nimis particularia sunt sub narratione non cadunt	But þer ben so manye suche particuler doynges þat þei mowe not alle be ireÞened	143
68	Sufficiant ergo cautelae quas tradidimus erga nauale bellum	Panne ben þer cautels inowe þat we hauen itauʒt touchinge batailles of schippes	144
		For it is declared how treen	145
69	Ostenso qualiter incidenda sunt ligna ex quibus construenda est nauis et quomodo bellandum est in nauali bello	and tymber scholde be feld of þe whiche schippes scholde be maad|and how me scholde fiʒte in batailles of schippes	146|147
70	Reliquum est ut declaremus ad quid bella omnia ordinantur	it is to doynge þat we declare wherto aile batailles ben iordeyned|Panne it is to wetyng	148|149
71	Sciendum ergo quod secundum philosophum non bellamus ut bellemus sed ut pacem habeamus	as þe philosofer meneþ|þat we werryeth not	150|151
72	Potest ergo bellum ex nequitia hominum et ex cupiditate eorum ordinari ad lucrum vel ad aliquam aliam satifactionem irae vel concupiscentiae	for to haue werre but|for to haue pees	152|153
73	Bella tamen	And bataille	154
74	si iuste gerantur et debite fiant ordinanda sunt ad pacem et ad quietem hominum et ad commune bonum	and werre may be ordeyned of malice of men|and by coueityse	155|156
		for to haue wynnynge	157
		oþer wreche	158
		for wrathe	159
		oþer som likynge	160
		But netful batailles ben iordeyned	161
		for pees	162
		and quyete of men	163
		and	164
		for þe comune profit	165
75	Nam sic se debent habere bella in societate hominum sicut se habent potiones et phlebotomiae in corpore humano	for batailles scholde be among men as drenches|and blood letynge in þe bodye of mankynde	166|167
76	Nam sicut in humano corpore sunt plures humores sic in conuersatione et societate hominum est dare plures personas et plures homines	For in þe bodye of man ben manye humours|so among men ben manye persones	168|169
77	Et sicut quamdiu humores sunt aequati in corpore et non est ibi humorum excessus non indigemus potione nec phlebotomia	and manye men|And as while þe humours ben accordynge in þe bodye vs nedeþ noþer drenche ne bledyng while þer is no passyng of humours	170|171
78	sic quamdiu homines debite se habent et unus non iniuriatur alteri	so while men beren hem wel|and non doþ oþer wrong scholde no werre be noþer bataille	172|173
79	non sunt committenda bella		
80	Quare sicutper phlebotomiam et potionem superfluitas humorum est eiicienda per quam turbatur sanitas corporis	Wherfore as by bledynge|and by drenches superfluyte of humours is iþrowe out þe whiche superfluyte letteþ heele of þe body	174|175
81	sic per bella sunt hostes conculcandi et occidendi per quos impeditur commune bonum et pax ciuium et eorum qui sunt in regno	so by batailles enemyes scholde be bore adoon|and isleyne þat leiten þe comune profit	176|177
		and pees of citeseynes	178
		and of hem þat ben in þe regne	179
		Panne gif kynges	180
82	Supposito ergo Reges et Principes habere iustum bellum et hostes eorum iniuste perturbare pacem et commune bonum	and princes hauen riʒtful werre|and bataille	181|182
		and ʒif here enemyes disturblen wrongfulliche þe pees	183
		and þe comyn profit	184
83	non est inconueniens docere eos omnia genera bellandi et omnem modum per quem possint suos hostes vincere quod totum ordinare debent ad commune bonum et pacem ciuium	it is not inconuenyent to teche hem al maner fiʒtynge of bataille|and al maner doynge by þe whiche þei mow ouercome here enemyes	185|186
		And al suche doynge þei scholde ordeyne	187
		for þe comyn profit	188
84	Nam	and	189
		for pees of citeseyns	190
		For gif þei desiren þe comyn profit	191
85	si intendant commune bonum et pacem ciuium merebuntur pacem illam aeternam in qua est suprema requies	and pees of þe citeseyns|þei schulle haue þat perpetual pees in þe whiche is cheef quiete	192|193
86	quam Deus ipse suis promisit fidelibus qui est benedictus in saecula saeculorum	and reste þe whiche pees God graunteþ|and byhotek to his owne trewe seruantes þat is iblessed	194|195
		for eueremore	196
87	Amen	Amen	197
88	FINIS		
