0	Qualiter construenda est nauis		
1	et qualiter committendum nauale bellum		
2	et ad quae bella singula ordinantur		
3	Cap		
4|5	XXIII|In hoc ultimo capitulo tractare volumus aliqua de nauali bello	Chapter XXIII In this laste chapitre we wol trete som what of bataille of schippes	0
6	non tamen oportet circa hoc tantum insistere	but it nedeth not to abyde longe there aboute	1
7|8	quia multa quae dicta sunt in aliis generibus bellorum|applicari poterunt ad naualem pugnam	for manye kynges that ben iseid of othere manere batailles mowe helpe in batailles in schippes	2
9	Circa hoc autem pugnandi genus	And touchynge that manere of figtynge	3
10|11	primo videndum est|qualiter fabricanda fit nauis	first it is to wetynge how a schip scholde be maad	4
12	nam nauis male fabricata	For gif a schip is euel imaad	5
13	ex modica impugnatione hostium de facili perit	it is sone ilost by a litel asaillyng of enemyes	6
14	Sciendum ergo	Panne as Vigesius seith	7
15	quod secundum Vegetium	it is to wetyng that treen	8
16|17	ligna ex quibus construenda est nauis|non sunt de quolibet tempore incidenda	and tymber of the whiche a schip scholde be maad scholde not be ifeld in eche tyme of the gere	9
18	Nam tempore Martii et Aprilis	For in March	10
19	in quo humor incipit in arboribus abundare	and in Auerel whan moche hemour is in treen	11
20|21	non est bonum incidere arbores|ex quibus fabricanda est nauis	it is not good to feile treen of the whiche a schip scholde be maad	12
22	Sed tempore Iulii et Augusti vel aliquo alio tempore	But in Iule|and in Agust other in som other tyme whanne the humour in treen is fordryed	13|14
23|24	in quo humor arborum desiccatur|ad huiusmodi fabricam incidenda sunt ligna	it is good to feile treen of the whiche a schip scholde be maad	15
25|26	Rursus|non statim incisis lignis est ex eis fabricanda nauis	Also a schip scholde not be made of treen anoon as thei ben ifeld	16
27	sed primo arbores sunt diuidendae	but first treen scholde be isawed	17
28|29	per tabulas|et	and imaad bordes therof	18
30|31	per aliquod tempus dimittendae|ut desiccari possint	and abyde a certeyne tyme that thei mowe drye	19
32	Nam	and clynge	20
33	si ex lignis viridibus construatur nauis	For gif a schip is imaad of grene tymber	21
34	quando naturalis eorum humor expirauerit	whanne the kynde humour passeth	22
35|36	contrahuntur ligna|et faciunt in nauibus rimas	and failleth	23
37	quibus in nauibus nihil periculosius esse potest	the tymber schrynthek|and matheth in the schip chynes	24|25
		and cliftes	26
		and no kyng mowe be more perilous than that	27
38	Durum est enim intendere simul bellis naualibus	And it is hard to tathe hede at ones to batailles of schippes	28
39|40	et exponere se periculis|ne puppis	and to putte hemself to peril lest the schippe be brothe other sonk	29
41|42	per rimas naufragium patiatur|Viso qualiter incidenda sunt ligna	For it is iknowe how schip tymber schulde be feld	30
43	et quomodo reseruanda	and be let abyde	31
44	ut ex eis nauis debite valeat fabricari	for to dryge	32
45	restat videre	and clynge	33
46	quomodoin naui bene fabricata committenda sunt bella	for to mathe wel a schip therof|it is to wetynge how in a schip so imaad a bataille scholde be geue	34|35
47	Habet autem nauale bellum quantum ad aliqua similem modum bellandi cum ipsa pugna terrestri	And touchynge som doynge a bataille of schippes hath som manere doynge liehe to manere doynge of bataille of the feld	36
48	Nam sicut terrestri pugna oportet pugnantes bene armatos esse	For as in bataille of the feld it nedeth that figtynge men be wel iarmed	37
49	et bene se scire a persecutionibus protegere	and cunne wel defende hemself fro strothes	38
50	et hostibus vulnera infligere	and geuen enemyes sore strothes	39
		and woundes	40
51	sic et haec requiruntur in bello nauali	and so this nedeth in bataille of the see|And	41|42
52|53	Immo in huiusmodi pugna oportet homines melius esse armatos|quam in terrestri	also in suche figtynge it nedede that men be betere iarmed than in figtynge in londe	43
54	quia cum pugnatores marini quasi fixi stent in naui	Panne|for men that figten in the see stondeth as it were ipigt	44|45
55|56	et quasi modicum se moueant|melius sustinere possunt armorum pondera	and meuen but a lite thei mowe the better bere heuy armer	46
57	quare eorum armatura grauior esse debet	wherfore here ärmere scholde be the more heuy	47
58|59	Possumus tamen|quantum ad praesens	But as it longeth to this doynge	48
60|61	decem enumerare|per quae marini pugnatores hostes impugnare debent	we may rethene ten by the whiche see figtynge men scholde assaylle here enemyes	49
62|63	Primum est ignis|quem Incendiarium vocant	the firste is fuyre that is icleped incendiarius	50
64	Expedit enim eis habere multa vasa plena pice	For it scholde haue wik hem manye vesselles ful of pich	51
65	sulphure	of brymston	52
66	rasina	of roseyn	53
67	oleo	of oyle	54
68	quae omnia sunt cum stupa conuoluenda	and aile thes scholde be wrapped wik herdene	55
69	Haec enim vasa sic repleta sunt succendenda	And these vesselles so ful scholde be isette afuyre	56
70	et proiicienda ad nauem hostium	and ithrowe in to the schippe of enemyes	57
71	Ex qua proiectione vas frangitur	And the vessel brethe	58
