0	Qualiter construenda est nauis		
1	et qualiter committendum nauale bellum		
2	et ad quae bella singula ordinantur		
3	Cap		
4|5	XXIII|In hoc ultimo capitulo tractare volumus aliqua de nauali bello	Chapter XXIII In þis laste chapitre we wol trete som what of bataille of schippes	0
6	non tamen oportet circa hoc tantum insistere	but it nedeþ not to abyde longe þere aboute	1
7|8	quia multa quae dicta sunt in aliis generibus bellorum|applicari poterunt ad naualem pugnam	for manye kynges þat ben iseid of oþere manere batailles mowe helpe in batailles in schippes	2
9	Circa hoc autem pugnandi genus	And touchynge þat manere of figtynge	3
10|11	primo videndum est|qualiter fabricanda fit nauis	first it is to wetynge how a schip scholde be maad	4
12	nam nauis male fabricata	For gif a schip is euel imaad	5
13	ex modica impugnatione hostium de facili perit	it is sone ilost by a litel asaillyng of enemyes	6
14	Sciendum ergo	Panne as Vigesius seith	7
15	quod secundum Vegetium	it is to wetyng þat treen	8
16|17	ligna ex quibus construenda est nauis|non sunt de quolibet tempore incidenda	and tymber of þe whiche a schip scholde be maad scholde not be ifeld in eche tyme of þe gere	9
18	Nam tempore Martii et Aprilis	For in March	10
19	in quo humor incipit in arboribus abundare	and in Auerel whan moche hemour is in treen	11
20|21	non est bonum incidere arbores|ex quibus fabricanda est nauis	it is not good to feile treen of þe whiche a schip scholde be maad	12
22	Sed tempore Iulii et Augusti vel aliquo alio tempore	But in Iule|and in Agust oþer in som oþer tyme whanne þe humour in treen is fordryed	13|14
23|24	in quo humor arborum desiccatur|ad huiusmodi fabricam incidenda sunt ligna	it is good to feile treen of þe whiche a schip scholde be maad	15
25|26	Rursus|non statim incisis lignis est ex eis fabricanda nauis	Also a schip scholde not be made of treen anoon as þei ben ifeld	16
27	sed primo arbores sunt diuidendae	but first treen scholde be isawed	17
28|29	per tabulas|et	and imaad bordes þerof	18
30|31	per aliquod tempus dimittendae|ut desiccari possint	and abyde a certeyne tyme þat þei mowe drye	19
32	Nam	and clynge	20
33	si ex lignis viridibus construatur nauis	For gif a schip is imaad of grene tymber	21
34	quando naturalis eorum humor expirauerit	whanne þe kynde humour passeþ|and failleþ	22|23
35	contrahuntur ligna	þe tymber schrynþek	24
36	et faciunt in nauibus rimas	and maþeþ in þe schip chynes|and cliftes	25|26
37	quibus in nauibus nihil periculosius esse potest	and no kyng mowe be more perilous þan þat	27
38	Durum est enim intendere simul bellis naualibus	And it is hard to taþe hede at ones to batailles of schippes	28
39|40	et exponere se periculis|ne puppis	and to putte hemself to peril lest þe schippe be broþe oþer sonk	29
41|42	per rimas naufragium patiatur|Viso qualiter incidenda sunt ligna	For it is iknowe how schip tymber schulde be feld	30
43	et quomodo reseruanda	and be let abyde	31
		for to dryge	32
44	ut ex eis nauis debite valeat fabricari	and clynge|for to maþe wel a schip þerof	33|34
45|46	restat videre|quomodoin naui bene fabricata committenda sunt bella	it is to wetynge how in a schip so imaad a bataille scholde be geue	35
47	Habet autem nauale bellum quantum ad aliqua similem modum bellandi cum ipsa pugna terrestri	And touchynge som doynge a bataille of schippes haþ som manere doynge liehe to manere doynge of bataille of þe feld	36
48	Nam sicut terrestri pugna oportet pugnantes bene armatos esse	For as in bataille of þe feld it nedeþ þat figtynge men be wel iarmed	37
49	et bene se scire a persecutionibus protegere	and cunne wel defende hemself fro stroþes	38
50	et hostibus vulnera infligere	and geuen enemyes sore stroþes	39
51	sic et haec requiruntur in bello nauali	and woundes|and so þis nedeþ in bataille of þe see	40|41
52	Immo in huiusmodi pugna oportet homines melius esse armatos	And|also in suche figtynge it nedede þat men be betere iarmed þan in figtynge in londe	42|43
53	quam in terrestri	Panne	44
54	quia cum pugnatores marini quasi fixi stent in naui	for men þat figten in þe see stondeþ as it were ipigt	45
55|56	et quasi modicum se moueant|melius sustinere possunt armorum pondera	and meuen but a lite þei mowe þe better bere heuy armer	46
57	quare eorum armatura grauior esse debet	wherfore here ärmere scholde be þe more heuy	47
58|59	Possumus tamen|quantum ad praesens	But as it longeþ to þis doynge	48
60|61	decem enumerare|per quae marini pugnatores hostes impugnare debent	we may reþene ten by þe whiche see figtynge men scholde assaylle here enemyes	49
62|63	Primum est ignis|quem Incendiarium vocant	þe firste is fuyre þat is icleped incendiarius	50
64	Expedit enim eis habere multa vasa plena pice	For it scholde haue wik hem manye vesselles ful of pich	51
65	sulphure	of brymston	52
66	rasina	of roseyn	53
67	oleo	of oyle	54
68	quae omnia sunt cum stupa conuoluenda	and aile þes scholde be wrapped wik herdene	55
69	Haec enim vasa sic repleta sunt succendenda	And þese vesselles so ful scholde be isette afuyre	56
