a	b	c	d	e
0|1	Mors est quid terribilissimum|et finis omnium terribilium	lA muerte es cosa muy espantable|e fin de todas las cosas espantables	Of alle dredful thyng|deÞ is most dredful and ende of al dredful ‡ thinges	la mort és alguna cosa fort terrible|e fi de totes les coses terribles|La	NOn solamente deuen los cabdillos auer cautelas
				Capítol xi	
				De quals cauteles deu usar lo guiador o	
				·l regidor de la batayla o de la guerra	
				per ço	
				que la sua companya no sia naffrada o injuriada en lo camí Segons	
				que és dit en lo iii libre de les Èthiques	
2|3|4|5|6	ut dicitur Ethicor|Ubi ergo quaeritur mors populi|et ubi hostes insidiantur morti ciuium|est omnis cautela adhibenda|ut exercitus seruetur illaesus	asi commo dize el philosofo en el terçero libro de las Ethicas|· Et|por ende alli|do paresçen la muerte del pueblo|e do los enemigos assechan a la muerte de los çibdadanos es de buscar toda cautela|por que la hueste sea guardada sin danno	a[s] it is iseid|iii Ethicorum|Panne where enemyes ben | aboute to slee men and liggen in awayte|for to slee citeseyns nedeķ al maner cautel so	donques|hon és cercada la mort del poble|e la on los enamichs espien la mort dels ciutadans deu hom donar o posar tota cautela|que la host sia servada salva|e segura|e la vida dels ciutadans sia conservada|aquelles coses les quals deuen ésser gardats en la batayla qui deu ésser feta|si hom no sap maneres o cauteles a remoure los empatxaments dels camins|nós podem nombrar viii cauteles les quals lo guiador o|·l regidor de la batayla deu retenir en memòria	:|quando han de acometer las faziendas
				per ço	
				que sia salva de la vida dels batayladors	
				per tal	
				que la host no peresca en lo camp	
				per les espècies dels enamichs	
				quant al present se pertany	
				No basta pensar	
				donques	
7|8	et|ut vita ciuium conseruetur	e por|que sea guardada la uida de los çibdadanos	ķat ķe oost be Þept hool and sond and lif of citeseyns isaued	que són dejús ell|La primera és|que ell deu haver	:|porque el nin los suyos non rescibandaño
					
		· Et			
9	Non ergo sufficit considerare ea quae sunt consideranda in pugna publica committenda nisi sciantur cautelae ad remouendum impedimenta viarum	pues que assi es non abasta de penssar aquellas cosas|que son de cuydar en acometer la batalla publicamente	ķat scholde be iknowe in figtynge in bataille but me knowe|also cautels to putte of lettes of weyes and to be waar of boschementes	per escrit lo camins de les regions	mas avn en el camino pordo van deuenser apercebidos
				per los quals la host deu passar o anar en los entreballs dels lochs	
		si non fueren sabidas las cautelas			
		para tirar los enbargos de los enemigos			
